gene_id	pfam_ids	go_ids	bin_id
gene-K505DRAFT_331005		NA	100
gene-K505DRAFT_354979	PF06159.19,PF23647.3	NA	100
gene-K505DRAFT_28	PF00856.34	GO:0005515	100
gene-K505DRAFT_291227	PF10303.15,PF10303.15	NA	100
gene-K505DRAFT_262351	PF00428.25	NA	100
gene-K505DRAFT_369668	PF00153.33,PF00153.33	NA	100
gene-K505DRAFT_262355		NA	100
gene-K505DRAFT_319911	PF00070.34,PF02852.29,PF07992.21,PF13738.13	GO:0016491	8
gene-K505DRAFT_99		NA	100
gene-K505DRAFT_319912	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-K505DRAFT_319913		NA	100
gene-K505DRAFT_319914	PF01487.23	GO:0003855	8
gene-K505DRAFT_354987		NA	100
gene-K505DRAFT_227120	PF00106.32,PF00106.32,PF13561.13	NA	100
gene-K505DRAFT_354989		NA	100
gene-K505DRAFT_194055		NA	100
gene-K505DRAFT_412418		NA	100
gene-K505DRAFT_172		NA	100
gene-K505DRAFT_187		NA	100
gene-K505DRAFT_354992		NA	100
gene-K505DRAFT_227161	PF00610.28,PF00615.25,PF25889.1	GO:0035556	3
gene-K505DRAFT_215		NA	100
gene-K505DRAFT_214		NA	100
gene-K505DRAFT_331018	PF00069.32,PF07714.24,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
gene-K505DRAFT_227173	PF02441.26	GO:0003824	8
gene-K505DRAFT_354996	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-K505DRAFT_412423	PF03572.24,PF23658.2	GO:0006508,GO:0008236	5
gene-K505DRAFT_354998	PF17050.11	GO:0042407,GO:0044284,GO:0061617	100
gene-K505DRAFT_380920		NA	100
gene-K505DRAFT_227098	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-K505DRAFT_262390	PF01264.27	GO:0004107,GO:0009073	8
gene-K505DRAFT_227100	PF00620.33,PF13716.12	GO:0007165	3
gene-K505DRAFT_291276	PF04910.21	NA	100
gene-K505DRAFT_319923	PF00481.27	NA	100
gene-K505DRAFT_412430	PF19527.5	NA	100
gene-K505DRAFT_227038		NA	100
gene-K505DRAFT_412431	PF08450.19,PF08450.19	NA	100
gene-K505DRAFT_227235		NA	100
gene-K505DRAFT_276		NA	100
gene-K505DRAFT_262408	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K505DRAFT_412433	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-K505DRAFT_291296	PF05730.17,PF20684.4	NA	100
gene-K505DRAFT_412435	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-K505DRAFT_227244	PF07690.22	GO:0022857,GO:0055085	6
gene-K505DRAFT_355013		NA	100
gene-K505DRAFT_331036	PF18647.8	NA	100
gene-K505DRAFT_262423	PF02935.23,PF04762.19,PF23797.2,PF23878.2,PF23925.2,PF23936.2	GO:0006123	8
gene-K505DRAFT_262426	PF00270.36,PF00271.38,PF04851.22,PF08148.18,PF13234.13,PF21408.3,PF22527.3	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-K505DRAFT_227176	PF08559.16	GO:0005634,GO:0031144,GO:0071630	8
gene-K505DRAFT_330		NA	100
gene-K505DRAFT_412439	PF25534.1	NA	100
gene-K505DRAFT_380938	PF25534.1	NA	100
gene-K505DRAFT_341	PF12850.13	NA	100
gene-K505DRAFT_319929	PF00459.31	NA	100
gene-K505DRAFT_342		NA	100
gene-K505DRAFT_344		NA	100
gene-K505DRAFT_380940		NA	100
gene-K505DRAFT_227059	PF12855.13	NA	100
gene-K505DRAFT_391		NA	100
gene-K505DRAFT_331046		NA	100
gene-K505DRAFT_396	PF00266.26	NA	100
gene-K505DRAFT_369704	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-K505DRAFT_369705	PF01756.25,PF02770.25,PF14749.12,PF22924.2	GO:0003997,GO:0005777,GO:0006635,GO:0016627	8
gene-K505DRAFT_403570	PF00481.27	NA	100
gene-K505DRAFT_291332	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-K505DRAFT_344684	PF03915.19,PF23153.2	NA	100
gene-K505DRAFT_555		NA	100
gene-K505DRAFT_355032	PF06741.19,PF14438.13	NA	100
gene-K505DRAFT_355033	PF00412.29	NA	100
gene-K505DRAFT_369712	PF13350.12	GO:0004721	8
gene-K505DRAFT_262465	PF01459.29	GO:0005741,GO:0055085	6
gene-K505DRAFT_319947	PF00226.37	NA	100
gene-K505DRAFT_369715	PF00557.30	NA	100
gene-K505DRAFT_619	PF06041.18	NA	100
gene-K505DRAFT_617	PF00743.26,PF07992.21,PF13434.13,PF13450.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
gene-K505DRAFT_262475	PF22998.3	NA	100
gene-K505DRAFT_227227	PF00326.28,PF02230.23,PF02230.23	GO:0006508,GO:0008236,GO:0016787	5
gene-K505DRAFT_190426	PF12937.13	GO:0005515	100
gene-K505DRAFT_403580	PF01636.30	NA	100
gene-K505DRAFT_640		NA	100
gene-K505DRAFT_319953	PF13640.13	NA	100
gene-K505DRAFT_227211	PF00085.27,PF13848.13	NA	100
gene-K505DRAFT_355049		NA	100
gene-K505DRAFT_655	PF20684.4	NA	100
gene-K505DRAFT_319955	PF04006.18	GO:0005634,GO:0005732,GO:0006364,GO:0034457	8
gene-K505DRAFT_369725	PF10294.16	NA	100
gene-K505DRAFT_412465	PF24476.2	NA	100
