gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-RQP46_000001	rna-LPCVPPM00000000001		None	None
gene-RQP46_000002	rna-LPCVPPM00000000002	PF00505.26	Partial	None
gene-RQP46_000003	rna-LPCVPPM00000000003		None	None
gene-RQP46_000004	rna-LPCVPPM00000000004		None	None
gene-RQP46_000005	rna-LPCVPPM00000000005		None	None
gene-RQP46_000006	rna-LPCVPPM00000000006		None	None
gene-RQP46_000007	rna-LPCVPPM00000000007		None	None
gene-RQP46_000008	rna-LPCVPPM00000000008	PF00995.29	Partial	None
gene-RQP46_000009	rna-LPCVPPM00000000009		None	None
gene-RQP46_000010	rna-LPCVPPM00000000010		None	None
gene-RQP46_000011	rna-LPCVPPM00000000011		None	None
gene-RQP46_000012	rna-LPCVPPM00000000012		None	None
gene-RQP46_000013	rna-LPCVPPM00000000013		None	None
gene-RQP46_000014	rna-LPCVPPM00000000014	PF08118.17	Partial	None
gene-RQP46_000015	rna-LPCVPPM00000000015	PF01753.25	Partial	None
gene-RQP46_000016	rna-LPCVPPM00000000016		None	None
gene-RQP46_000017	rna-LPCVPPM00000000017	PF00071.29,PF00071.29,PF08477.20	Partial	None
gene-RQP46_000018	rna-LPCVPPM00000000018	PF03372.30	Partial	None
gene-RQP46_000019	rna-LPCVPPM00000000019		None	None
gene-RQP46_000020	rna-LPCVPPM00000000020	PF08389.19,PF19282.6	Partial	None
gene-RQP46_000021	rna-LPCVPPM00000000021	PF00137.27,PF00137.27	Partial	None
gene-RQP46_000022	rna-LPCVPPM00000000022	PF07690.22	Partial	None
gene-RQP46_000023	rna-LPCVPPM00000000023	PF00083.31,PF07690.22	Partial	None
gene-RQP46_000024	rna-LPCVPPM00000000024	PF00128.32	Partial	None
gene-RQP46_000025	rna-LPCVPPM00000000025		None	None
gene-RQP46_000026	rna-LPCVPPM00000000026	PF04646.19	Partial	None
gene-RQP46_000027	rna-LPCVPPM00000000027	PF00615.25,PF27892.1	Complete	None
gene-RQP46_000028	rna-LPCVPPM00000000028	PF03330.25	Partial	None
gene-RQP46_000029	rna-LPCVPPM00000000029	PF00177.28	Partial	None
gene-RQP46_000030	rna-LPCVPPM00000000030		None	None
gene-RQP46_000031	rna-LPCVPPM00000000031		None	None
gene-RQP46_000032	rna-LPCVPPM00000000032	PF00773.26	Partial	None
