gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-K402DRAFT_366167	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA366167	PF04117.18	Complete	None
gene-K402DRAFT_458619	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA458619		None	None
gene-K402DRAFT_399318	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA399318		None	None
gene-K402DRAFT_253	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA253	PF00005.34,PF01061.30,PF19055.7,PF19055.7	Complete	None
gene-K402DRAFT_208	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA208		None	None
gene-K402DRAFT_399320	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA399320	PF01546.34	Partial	None
gene-K402DRAFT_128	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA128	PF11807.14	Partial	None
gene-K402DRAFT_415873	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA415873	PF00122.26,PF13246.13,PF23143.2	Complete	None
gene-K402DRAFT_387836	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387836	PF00749.28,PF03950.24,PF20974.3	Complete	None
gene-K402DRAFT_306	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA306		None	None
gene-K402DRAFT_449575	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA449575		None	None
gene-K402DRAFT_366181	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA366181	PF07992.21	Partial	None
gene-K402DRAFT_319069	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA319069	PF00581.26	Partial	None
gene-K402DRAFT_321236	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA321236	PF06609.19,PF07690.22	Partial	None
gene-K402DRAFT_366189	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA366189	PF00172.24,PF04082.24	Partial	None
gene-K402DRAFT_315046	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA315046	PF01328.23	Partial	None
gene-K402DRAFT_321368	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA321368	PF25539.2,PF25539.2	Partial	None
gene-K402DRAFT_387844	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387844		None	None
gene-K402DRAFT_321279	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA321279	PF01026.28	Partial	None
gene-K402DRAFT_485	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA485		None	None
gene-K402DRAFT_457	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA457		None	None
gene-K402DRAFT_551	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA551		None	None
gene-K402DRAFT_426182	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA426182		None	None
gene-K402DRAFT_320915	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA320915	PF00249.38,PF00249.38,PF13921.13	Partial	None
gene-K402DRAFT_543	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA543		None	None
gene-K402DRAFT_320588	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA320588	PF25506.2	Partial	None
gene-K402DRAFT_399337	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA399337		None	None
gene-K402DRAFT_304175	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA304175	PF06985.18	Partial	None
gene-K402DRAFT_415890	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA415890		None	None
gene-K402DRAFT_645	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA645		None	None
gene-K402DRAFT_449593	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA449593	PF00891.25,PF08242.19	Complete	None
gene-K402DRAFT_399342	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA399342		None	None
gene-K402DRAFT_387852	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387852		None	None
gene-K402DRAFT_409087	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA409087	PF00450.29	Partial	None
gene-K402DRAFT_344309	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA344309	PF11790.15	Partial	None
gene-K402DRAFT_344311	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA344311	PF01423.29	Partial	None
gene-K402DRAFT_458646	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA458646		None	None
gene-K402DRAFT_387861	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387861	PF00561.27,PF00756.27,PF12146.16,PF12697.14	Complete	None
gene-K402DRAFT_300582	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA300582	PF03907.19	Partial	None
gene-K402DRAFT_300827	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA300827	PF01535.27,PF23276.3	Complete	None
gene-K402DRAFT_321340	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA321340	PF00128.32	Partial	None
gene-K402DRAFT_861	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA861		None	None
gene-K402DRAFT_321347	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA321347	PF00083.31,PF07690.22	Partial	None
gene-K402DRAFT_415902	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA415902	PF00004.36,PF22942.2,PF23232.2	Complete	None
gene-K402DRAFT_t1	gene-K402DRAFT_t1		None	None
gene-K402DRAFT_387871	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387871	PF08616.16,PF09794.15	Complete	None
gene-K402DRAFT_366245	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA366245	PF13460.13	Partial	None
gene-K402DRAFT_409095	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA409095	PF00083.31,PF07690.22	Partial	None
gene-K402DRAFT_344345	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA344345	PF00069.32,PF07714.24	Partial	None
gene-K402DRAFT_387875	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387875		None	None
gene-K402DRAFT_321232	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA321232		None	None
gene-K402DRAFT_415909	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA415909	PF00155.28,PF00266.26	Partial	None
gene-K402DRAFT_320668	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA320668	PF00083.31,PF06609.19,PF07690.22	Partial	None
gene-K402DRAFT_320515	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA320515	PF17304.10	Partial	None
gene-K402DRAFT_344359	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA344359		None	None
gene-K402DRAFT_320897	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA320897	PF00106.32,PF08659.17	Partial	None
gene-K402DRAFT_1293	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA1293		None	None
gene-K402DRAFT_458665	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA458665	PF00067.28	Partial	None
gene-K402DRAFT_387883	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387883		None	None
gene-K402DRAFT_415917	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA415917		None	None
gene-K402DRAFT_320975	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA320975	PF01565.29	Partial	None
gene-K402DRAFT_426249	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA426249		None	None
gene-K402DRAFT_458669	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA458669		None	None
gene-K402DRAFT_344372	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA344372	PF00205.29,PF02775.27,PF02776.24	Complete	None
gene-K402DRAFT_387886	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387886		None	None
gene-K402DRAFT_1396	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA1396		None	None
gene-K402DRAFT_387888	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387888		None	None
gene-K402DRAFT_387889	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA387889	PF02678.23	Partial	None
gene-K402DRAFT_399376	rna-gnl|WGS:JAADKJ|K402DRAFT_mRNA399376	PF03595.23	Partial	None
