gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005	PF26113.1,PF26113.1,PF26113.1,PF26113.1	NA	100
GML000006	PF03747.21	NA	100
GML000007		NA	100
GML000008		NA	100
GML000009	PF00487.31,PF08557.16	GO:0006629	8
GML000010	PF01266.31	NA	100
GML000011	PF00208.28,PF02812.24	GO:0006520,GO:0016491	8
GML000012		NA	100
GML000013		NA	100
GML000014	PF00097.32,PF00097.32,PF28440.1,PF28440.1	GO:0046872	100
GML000015	PF00156.34,PF00156.34	NA	100
GML000016	PF02656.21	NA	100
GML000017	PF20152.5	NA	100
GML000018	PF09295.17	NA	100
GML000019		NA	100
GML000020		NA	100
GML000021		NA	100
GML000022	PF00696.34,PF00696.34,PF01842.32,PF01842.32,PF13840.13,PF13840.13,PF22468.3,PF22468.3	NA	100
GML000023	PF02133.22,PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
GML000024	PF00097.32,PF01485.28,PF01485.28,PF13445.13,PF22191.3,PF22605.3,PF28723.1	GO:0008270,GO:0046872	100
GML000025	PF04163.17,PF04163.17,PF04163.17,PF04163.17	GO:0000742,GO:0048288	100
GML000026		NA	100
GML000027	PF00270.36	GO:0003676,GO:0005524	4
GML000028		NA	100
GML000029		NA	100
GML000030	PF12776.14	NA	100
GML000031	PF27041.1	NA	100
GML000032		NA	100
GML000033		NA	100
GML000034	PF00078.33,PF00078.33,PF08284.17,PF08284.17,PF17917.8,PF17917.8,PF17919.8,PF17919.8,PF17921.8,PF17921.8,PF30863.1,PF30863.1	NA	1
GML000035		NA	100
GML000036		NA	100
GML000037		NA	100
GML000038	PF11093.14	GO:0042720	100
GML000039	PF08293.17,PF08293.17	NA	100
GML000040		NA	100
GML000041	PF00670.28,PF00670.28,PF02826.26,PF02826.26,PF05221.24,PF05221.24,PF05221.24,PF05221.24,PF07991.19,PF07991.19	GO:0051287	100
GML000042	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000043	PF02668.23	GO:0016491	8
GML000044		NA	100
GML000045	PF01636.30	NA	100
GML000046		NA	100
GML000047	PF01636.30	NA	100
GML000048		NA	100
GML000049		NA	100
GML000050	PF00043.31,PF02798.27,PF13409.13,PF13417.13	NA	100
GML000051		NA	100
GML000052		NA	100
GML000053		NA	100
GML000054	PF05729.19,PF05729.19,PF05729.19,PF05729.19,PF24883.3,PF24883.3,PF24883.3,PF24883.3,PF24883.3,PF24883.3,PF24883.3	NA	100
GML000055	PF00248.28	NA	100
GML000056	PF01652.25	GO:0003723,GO:0003743,GO:0006413	4
GML000057	PF00107.33,PF08240.18	NA	100
GML000058	PF00248.28	NA	100
GML000059	PF00106.32,PF13561.13	NA	100
GML000060		NA	100
GML000061	PF00734.24,PF22244.3	GO:0005576,GO:0005975,GO:0030248	8
GML000062		NA	100
GML000063		NA	100
GML000064		NA	100
GML000065		NA	100
GML000066	PF11563.15	GO:0019825,GO:0020037	100
GML000067		NA	100
GML000068	PF00248.28,PF00248.28	NA	100
GML000069	PF04884.21,PF24160.2	NA	100
GML000070		NA	100
GML000071		NA	100
GML000072		NA	100
GML000073	PF00010.32	GO:0046983	100
GML000074		NA	100
GML000075	PF20149.5	NA	100
GML000076		NA	100
GML000077		NA	100
GML000078		NA	100
GML000079	PF01569.28	NA	100
GML000080		NA	100
GML000081		NA	100
GML000082		NA	100
GML000083		NA	100
GML000084	PF10544.16,PF10544.16,PF10544.16,PF10544.16,PF13455.14,PF13455.14,PF13455.14,PF13455.14	NA	100
GML000085		NA	100
GML000086		NA	100
GML000087		NA	100
GML000088		NA	100
GML000089		NA	100
GML000090		NA	100
GML000091	PF00248.28	NA	100
GML000092		NA	100
GML000093		NA	100
GML000094	PF10544.16,PF10544.16,PF13455.14,PF13455.14	NA	100
GML000095	PF10544.16,PF10544.16,PF13455.14,PF13455.14	NA	100
GML000096		NA	100
GML000097		NA	100
GML000098		NA	100
GML000099		NA	100
GML000100	PF10544.16,PF10544.16,PF13455.14,PF13455.14	NA	100
GML000101	PF00135.35,PF07859.20,PF20434.6	GO:0016787	8
GML000102	PF05729.19,PF05729.19,PF24883.3,PF24883.3	NA	100
GML000103	PF00400.39,PF00400.39	GO:0005515	100
GML000104	PF02515.23	GO:0003824	8
GML000105	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000106	PF13391.13	NA	100
GML000107	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000108		NA	100
GML000109	PF03029.24	NA	100
GML000110		NA	100
GML000111	PF00270.36,PF00271.38,PF16124.11	GO:0003676,GO:0005524	4
GML000112		NA	100
GML000113	PF03178.22,PF10433.16,PF23726.2	GO:0003676,GO:0005634	4
GML000114	PF02798.27,PF13409.13,PF13417.13	NA	100
GML000115		NA	100
GML000116		NA	100
GML000117	PF03184.26,PF03184.26,PF03221.23,PF03221.23	NA	1
GML000118	PF05729.19,PF24883.3	NA	100
GML000119		NA	100
GML000120	PF02128.22,PF02128.22,PF07504.20,PF07504.20	GO:0004222,GO:0005615,GO:0008270	8
GML000121	PF02128.22,PF02128.22	GO:0004222,GO:0005615,GO:0008270	8
GML000122	PF03081.23,PF03081.23	GO:0000145,GO:0005546,GO:0006887	6
GML000123	PF00808.30	NA	100
GML000124	PF02128.22,PF02128.22	GO:0004222,GO:0005615,GO:0008270	8
GML000125	PF05183.18,PF05183.18,PF13086.13,PF13086.13,PF13086.13,PF13086.13,PF13087.13,PF13087.13,PF13245.13,PF13245.13	GO:0004386	8
GML000126	PF13521.13,PF13521.13	NA	100
GML000127	PF29139.1	NA	100
GML000128		NA	100
GML000129	PF00004.36,PF00023.37,PF00023.37,PF07724.21,PF07728.21,PF10431.16,PF13606.13,PF13637.13	GO:0005515,GO:0005524,GO:0016887	8
GML000130		NA	100
GML000131	PF18885.7	NA	100
GML000132		NA	100
GML000133		NA	100
GML000134	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000135	PF03184.26,PF03184.26,PF03221.23,PF03221.23	NA	1
GML000136	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000137	PF01498.25,PF01498.25,PF13358.13	GO:0003677,GO:0006313,GO:0015074	1
