gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-SPI_00001	rna-gnl|WGS:AZHD|SPI_mRNA00001	PF02668.23,PF02668.23	Partial	None
gene-SPI_00002	rna-gnl|WGS:AZHD|SPI_mRNA00002		None	None
gene-SPI_00003	rna-gnl|WGS:AZHD|SPI_mRNA00003	PF00018.35,PF07653.24,PF14604.13	Complete	None
gene-SPI_00004	rna-gnl|WGS:AZHD|SPI_mRNA00004	PF04410.21	Complete	None
gene-SPI_00005	rna-gnl|WGS:AZHD|SPI_mRNA00005	PF00734.24	Partial	None
gene-SPI_00006	rna-gnl|WGS:AZHD|SPI_mRNA00006	PF00653.28,PF00653.28	Complete	None
gene-SPI_00007	rna-gnl|WGS:AZHD|SPI_mRNA00007	PF13499.13,PF13833.13,PF13833.13	Complete	None
gene-SPI_00008	rna-gnl|WGS:AZHD|SPI_mRNA00008	PF01432.27	Partial	None
gene-SPI_00009	rna-gnl|WGS:AZHD|SPI_mRNA00009	PF00085.27	Partial	None
gene-SPI_00010	rna-gnl|WGS:AZHD|SPI_mRNA00010		None	None
gene-SPI_00011	rna-gnl|WGS:AZHD|SPI_mRNA00011	PF00082.28,PF05922.22	Partial	None
gene-SPI_00012	rna-gnl|WGS:AZHD|SPI_mRNA00012	PF01793.24,PF01793.24	Partial	None
gene-SPI_00013	rna-gnl|WGS:AZHD|SPI_mRNA00013	PF00920.28,PF24877.2	Partial	None
gene-SPI_00014	rna-gnl|WGS:AZHD|SPI_mRNA00014		None	None
gene-SPI_00015	rna-gnl|WGS:AZHD|SPI_mRNA00015	PF00249.38,PF13921.13	Complete	None
gene-SPI_00016	rna-gnl|WGS:AZHD|SPI_mRNA00016	PF00722.29	Partial	None
gene-SPI_00017	rna-gnl|WGS:AZHD|SPI_mRNA00017	PF15377.12	Partial	None
gene-SPI_00018	rna-gnl|WGS:AZHD|SPI_mRNA00018	PF01215.25	Partial	None
gene-SPI_00019	rna-gnl|WGS:AZHD|SPI_mRNA00019	PF00400.39,PF00400.39,PF08606.17,PF12894.14	Complete	None
gene-SPI_00020	rna-gnl|WGS:AZHD|SPI_mRNA00020	PF18922.6	Partial	None
gene-SPI_00021	rna-gnl|WGS:AZHD|SPI_mRNA00021	PF01694.29	Complete	None
gene-SPI_00022	rna-gnl|WGS:AZHD|SPI_mRNA00022	PF00702.33	Partial	None
gene-SPI_00023	rna-gnl|WGS:AZHD|SPI_mRNA00023	PF12271.15	Partial	None
gene-SPI_00024	rna-gnl|WGS:AZHD|SPI_mRNA00024	PF12511.14	Complete	None
gene-SPI_00025	rna-gnl|WGS:AZHD|SPI_mRNA00025	PF03556.22	Partial	None
gene-SPI_00026	rna-gnl|WGS:AZHD|SPI_mRNA00026	PF00248.28	Partial	None
gene-SPI_00027	rna-gnl|WGS:AZHD|SPI_mRNA00027	PF11790.15	Partial	None
gene-SPI_00028	rna-gnl|WGS:AZHD|SPI_mRNA00028	PF00172.24	Complete	None
gene-SPI_00029	rna-gnl|WGS:AZHD|SPI_mRNA00029		None	None
gene-SPI_00030	rna-gnl|WGS:AZHD|SPI_mRNA00030	PF06772.17	Partial	None
gene-SPI_00031	rna-gnl|WGS:AZHD|SPI_mRNA00031	PF00300.28,PF01591.25,PF01591.25	Complete	None
gene-SPI_00032	rna-gnl|WGS:AZHD|SPI_mRNA00032	PF00383.30	Complete	None
gene-SPI_00033	rna-gnl|WGS:AZHD|SPI_mRNA00033	PF00075.31,PF01693.24,PF01693.24	Complete	None
gene-SPI_00034	rna-gnl|WGS:AZHD|SPI_mRNA00034		None	None
gene-SPI_00035	rna-gnl|WGS:AZHD|SPI_mRNA00035	PF00999.27	Partial	None
gene-SPI_00036	rna-gnl|WGS:AZHD|SPI_mRNA00036	PF00023.37,PF01833.31,PF12796.14,PF13606.13,PF13637.13,PF13857.13,PF25603.2,PF25603.2	Complete	None
gene-SPI_00037	rna-gnl|WGS:AZHD|SPI_mRNA00037		None	None
gene-SPI_00038	rna-gnl|WGS:AZHD|SPI_mRNA00038	PF11754.15,PF11754.15	Partial	None
gene-SPI_00039	rna-gnl|WGS:AZHD|SPI_mRNA00039		None	None
gene-SPI_00040	rna-gnl|WGS:AZHD|SPI_mRNA00040		None	None
gene-SPI_00041	rna-gnl|WGS:AZHD|SPI_mRNA00041	PF08613.17	Complete	None
gene-SPI_00042	rna-gnl|WGS:AZHD|SPI_mRNA00042		None	None
gene-SPI_00043	rna-gnl|WGS:AZHD|SPI_mRNA00043	PF09649.16	Complete	None
gene-SPI_00044	rna-gnl|WGS:AZHD|SPI_mRNA00044	PF30871.1	Partial	None
gene-SPI_00045	rna-gnl|WGS:AZHD|SPI_mRNA00045	PF05841.17	Partial	None
gene-SPI_00046	rna-gnl|WGS:AZHD|SPI_mRNA00046	PF00310.27,PF01493.26,PF01593.31,PF01645.24,PF04898.21,PF07992.21,PF13450.13,PF14691.12	Complete	None
gene-SPI_00047	rna-gnl|WGS:AZHD|SPI_mRNA00047	PF02656.21,PF09359.16	Complete	None
gene-SPI_00048	rna-gnl|WGS:AZHD|SPI_mRNA00048	PF09441.16	Partial	None
gene-SPI_00049	rna-gnl|WGS:AZHD|SPI_mRNA00049	PF00397.33	Partial	None
gene-SPI_00050	rna-gnl|WGS:AZHD|SPI_mRNA00050	PF09430.17	Partial	None
gene-SPI_00051	rna-gnl|WGS:AZHD|SPI_mRNA00051	PF00155.28,PF00266.26,PF01041.24,PF01053.27,PF01212.28	Partial	None
gene-SPI_00052	rna-gnl|WGS:AZHD|SPI_mRNA00052	PF01284.29	Partial	None
gene-SPI_00053	rna-gnl|WGS:AZHD|SPI_mRNA00053	PF00501.35	Partial	None
gene-SPI_00054	rna-gnl|WGS:AZHD|SPI_mRNA00054	PF00069.32,PF07714.24	Partial	None
gene-SPI_00055	rna-gnl|WGS:AZHD|SPI_mRNA00055	PF00400.39	Complete	None
gene-SPI_00056	rna-gnl|WGS:AZHD|SPI_mRNA00056	PF00122.26,PF00690.32,PF00702.33	Complete	None
gene-SPI_00057	rna-gnl|WGS:AZHD|SPI_mRNA00057	PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-SPI_00058	rna-gnl|WGS:AZHD|SPI_mRNA00058	PF00285.27	Partial	None
gene-SPI_00059	rna-gnl|WGS:AZHD|SPI_mRNA00059	PF00076.29,PF21380.3	Complete	None
gene-SPI_00060	rna-gnl|WGS:AZHD|SPI_mRNA00060	PF00153.33,PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-SPI_00061	rna-gnl|WGS:AZHD|SPI_mRNA00061	PF04112.19,PF25789.2	Partial	None
gene-SPI_00062	rna-SPI_00062	PF00731.27,PF02222.28,PF17769.8,PF22660.3	Complete	None
gene-SPI_00063	rna-gnl|WGS:AZHD|SPI_mRNA00063		None	None
gene-SPI_00064	rna-gnl|WGS:AZHD|SPI_mRNA00064	PF00675.26	Partial	None
gene-SPI_00065	rna-gnl|WGS:AZHD|SPI_mRNA00065	PF00890.31,PF01266.31,PF13450.13	Partial	None
gene-SPI_00066	rna-gnl|WGS:AZHD|SPI_mRNA00066	PF01636.30	Partial	None
gene-SPI_00067	rna-gnl|WGS:AZHD|SPI_mRNA00067	PF00069.32,PF06293.21	Partial	None
gene-SPI_00068	rna-gnl|WGS:AZHD|SPI_mRNA00068		None	None
gene-SPI_00069	rna-gnl|WGS:AZHD|SPI_mRNA00069	PF00107.33,PF08240.18	Partial	None
gene-SPI_00070	rna-gnl|WGS:AZHD|SPI_mRNA00070	PF00069.32,PF00069.32	Partial	None
gene-SPI_00071	rna-gnl|WGS:AZHD|SPI_mRNA00071		None	None
gene-SPI_00072	rna-gnl|WGS:AZHD|SPI_mRNA00072	PF01753.25	Partial	None
gene-SPI_00073	rna-gnl|WGS:AZHD|SPI_mRNA00073	PF00069.32,PF07714.24	Partial	None
gene-SPI_00074	rna-gnl|WGS:AZHD|SPI_mRNA00074	PF05645.20,PF08221.18,PF22536.3	Complete	None
gene-SPI_00075	rna-gnl|WGS:AZHD|SPI_mRNA00075	PF00022.27	Partial	None
gene-SPI_00076	rna-gnl|WGS:AZHD|SPI_mRNA00076	PF00752.24,PF00867.24,PF18380.8	Complete	None
gene-SPI_00077	rna-gnl|WGS:AZHD|SPI_mRNA00077		None	None
gene-SPI_00078	rna-gnl|WGS:AZHD|SPI_mRNA00078		None	None
gene-SPI_00079	rna-gnl|WGS:AZHD|SPI_mRNA00079		None	None
gene-SPI_00080	rna-gnl|WGS:AZHD|SPI_mRNA00080	PF00069.32,PF07714.24	Partial	None
gene-SPI_00081	rna-gnl|WGS:AZHD|SPI_mRNA00081	PF02201.24,PF29592.1	Complete	None
gene-SPI_00082	rna-gnl|WGS:AZHD|SPI_mRNA00082	PF00106.32,PF13561.13	Partial	None
gene-SPI_00083	rna-gnl|WGS:AZHD|SPI_mRNA00083		None	None
gene-SPI_00084	rna-gnl|WGS:AZHD|SPI_mRNA00084	PF04515.19	Complete	None
