protein_id	length
GML000001_mRNA1	242
GML000101_mRNA1	274
GML000201_mRNA1	725
GML000301_mRNA1	2141
GML000401_mRNA1	2133
GML000499_mRNA1	1037
GML000601_mRNA1	574
GML000701_mRNA1	588
GML000801_mRNA1	1048
GML000901_mRNA1	439
GML001001_mRNA1	418
GML001101_mRNA1	405
GML001201_mRNA1	104
GML001301_mRNA1	419
GML001401_mRNA1	434
GML001501_mRNA1	2458
GML001601_mRNA1	627
GML001701_mRNA1	377
GML001801_mRNA1	94
GML001901_mRNA1	813
GML002001_mRNA1	170
GML002101_mRNA1	324
GML002201_mRNA1	92
GML002301_mRNA1	375
GML002401_mRNA1	261
GML002501_mRNA1	884
GML002601_mRNA1	302
GML002701_mRNA1	155
GML002801_mRNA1	383
GML002901_mRNA1	799
GML003001_mRNA1	575
GML003101_mRNA1	477
GML003200_mRNA1	394
GML003301_mRNA1	152
GML003401_mRNA1	410
GML003501_mRNA1	68
GML003601_mRNA1	122
GML003701_mRNA1	239
GML003801_mRNA1	148
GML003901_mRNA1	505
GML004001_mRNA1	439
GML004101_mRNA1	1142
GML004201_mRNA1	397
GML004301_mRNA1	898
GML004401_mRNA1	682
GML004502_mRNA1	52
GML004601_mRNA1	132
GML004701_mRNA1	197
GML004801_mRNA1	157
GML004901_mRNA1	340
GML005002_mRNA1	202
GML005101_mRNA1	146
GML005201_mRNA1	521
GML005301_mRNA1	567
GML005401_mRNA1	78
GML005501_mRNA1	266
GML005601_mRNA1	156
GML005699_mRNA1	322
GML005800_mRNA1	833
GML005901_mRNA1	152
GML006001_mRNA1	3085
GML006101_mRNA1	223
GML006201_mRNA1	1550
GML006301_mRNA1	1102
GML006401_mRNA1	327
GML006501_mRNA1	541
GML006601_mRNA1	114
GML006701_mRNA1	790
GML006801_mRNA1	199
GML006901_mRNA1	218
GML007002_mRNA1	351
GML007101_mRNA1	846
GML007201_mRNA1	694
GML007301_mRNA1	2349
GML007401_mRNA1	393
GML007501_mRNA1	1256
GML007601_mRNA1	371
GML007701_mRNA1	545
GML007801_mRNA1	404
GML007901_mRNA1	1144
GML008001_mRNA1	2410
GML008101_mRNA1	268
GML008201_mRNA1	308
GML008301_mRNA1	103
GML008401_mRNA1	110
GML008501_mRNA1	205
GML008601_mRNA1	432
GML008701_mRNA1	98
GML008800_mRNA1	605
GML008901_mRNA1	163
GML009001_mRNA1	237
GML009100_mRNA1	623
GML009201_mRNA1	533
GML009301_mRNA1	279
GML009401_mRNA1	752
GML009501_mRNA1	180
GML009601_mRNA1	589
GML009700_mRNA1	840
GML009801_mRNA1	116
GML009901_mRNA1	446
GML010001_mRNA1	1203
GML010101_mRNA1	1156
GML010200_mRNA1	789
GML010301_mRNA1	2038
GML010401_mRNA1	182
GML010501_mRNA1	338
GML010601_mRNA1	351
GML010701_mRNA1	351
GML010801_mRNA1	660
GML010901_mRNA1	752
GML011001_mRNA1	297
GML011101_mRNA1	288
GML011201_mRNA1	129
GML011301_mRNA1	165
GML011401_mRNA1	195
GML011501_mRNA1	155
GML011601_mRNA1	358
GML011701_mRNA1	180
GML011801_mRNA1	278
GML011901_mRNA1	379
GML012001_mRNA1	231
GML012101_mRNA1	1038
GML012201_mRNA1	377
GML012301_mRNA1	758
GML012401_mRNA1	475
GML012501_mRNA1	210
GML012601_mRNA1	318
GML012701_mRNA1	573
GML012801_mRNA1	313
GML012901_mRNA1	112
GML013001_mRNA1	102
GML013101_mRNA1	123
GML013201_mRNA1	407
GML013301_mRNA1	32
GML013401_mRNA1	144
GML013501_mRNA1	289
GML013601_mRNA1	70
GML013701_mRNA1	365
GML013801_mRNA1	230
GML013901_mRNA1	428
GML014001_mRNA1	504
GML014101_mRNA1	114
GML014201_mRNA1	211
GML014301_mRNA1	124
GML014401_mRNA1	548
GML014501_mRNA1	274
GML014601_mRNA1	410
GML014701_mRNA1	505
GML014801_mRNA1	466
GML014901_mRNA1	377
GML015001_mRNA1	294
GML015101_mRNA1	1178
GML015201_mRNA1	285
GML015301_mRNA1	81
GML015401_mRNA1	36
GML015501_mRNA1	166
GML015601_mRNA1	296
GML015701_mRNA1	187
GML015801_mRNA1	126
GML015901_mRNA1	253
GML016001_mRNA1	183
GML016101_mRNA1	150
GML016201_mRNA1	587
GML016301_mRNA1	1203
GML016401_mRNA1	141
GML016501_mRNA1	230
GML016601_mRNA1	221
GML016701_mRNA1	172
GML016802_mRNA1	207
GML016901_mRNA1	533
GML017001_mRNA1	903
GML017101_mRNA1	182
GML017201_mRNA1	340
GML017301_mRNA1	319
GML017401_mRNA1	348
GML017501_mRNA1	57
GML017601_mRNA1	263
GML017701_mRNA1	358
GML017801_mRNA1	171
GML017901_mRNA1	2580
GML018001_mRNA1	100
GML018101_mRNA1	637
GML018201_mRNA1	591
GML018301_mRNA1	103
GML018401_mRNA1	150
GML018501_mRNA1	502
GML018601_mRNA1	120
GML018701_mRNA1	96
GML018801_mRNA1	332
GML018901_mRNA1	794
GML019001_mRNA1	142
GML019101_mRNA1	244
GML019201_mRNA1	746
GML019301_mRNA1	218
GML019401_mRNA1	139
GML019501_mRNA1	153
GML019601_mRNA1	302
