gene_id	pfam_ids	go_ids	bin_id
gene-BD410DRAFT_833376		NA	100
gene-BD410DRAFT_797703		NA	100
gene-BD410DRAFT_847363	PF20231.4	NA	100
gene-BD410DRAFT_701155	PF00270.36,PF00271.38	GO:0003676,GO:0005524	4
gene-BD410DRAFT_797706		NA	100
gene-BD410DRAFT_42		NA	100
gene-BD410DRAFT_797708		NA	100
gene-BD410DRAFT_710112		NA	100
gene-BD410DRAFT_702115		NA	100
gene-BD410DRAFT_695207		NA	100
gene-BD410DRAFT_833385		NA	100
gene-BD410DRAFT_t1		NA	100
gene-BD410DRAFT_779280	PF06333.18,PF11597.14	GO:0003712,GO:0006357,GO:0016592	100
gene-BD410DRAFT_779281	PF27676.2	NA	100
gene-BD410DRAFT_779282	PF01238.28,PF20511.5,PF20512.4	GO:0004476,GO:0008270	8
gene-BD410DRAFT_306	PF09748.15	GO:0003712,GO:0006357,GO:0016592	100
gene-BD410DRAFT_779283		NA	100
gene-BD410DRAFT_779284	PF00106.32,PF01370.28,PF08659.17,PF13561.13	NA	100
gene-BD410DRAFT_779285	PF00561.27,PF04083.23	GO:0006629	8
gene-BD410DRAFT_368	PF10937.14	GO:0006103	8
gene-BD410DRAFT_892403	PF00227.32,PF10584.15	GO:0005839,GO:0006511,GO:0019773,GO:0030163	8
gene-BD410DRAFT_779287	PF00623.26,PF04983.24,PF04997.18,PF04998.23,PF05000.23	GO:0003677,GO:0003899,GO:0006351	4
gene-BD410DRAFT_391		NA	100
gene-BD410DRAFT_779289	PF00557.30,PF05195.23	GO:0030145,GO:0070006	8
gene-BD410DRAFT_810858	PF00009.34,PF00324.28,PF01926.30,PF11987.14,PF13520.13,PF14578.13	GO:0003924,GO:0005525,GO:0016020,GO:0022857,GO:0055085	6
gene-BD410DRAFT_779294	PF00025.28,PF00071.29,PF08477.20	GO:0003924,GO:0005525	8
gene-BD410DRAFT_735751	PF00651.38	GO:0005515	100
gene-BD410DRAFT_833399	PF00106.32,PF13561.13	NA	100
gene-BD410DRAFT_779297	PF01764.32	GO:0006629	8
gene-BD410DRAFT_847420	PF05285.18,PF08158.19,PF21638.3	NA	100
gene-BD410DRAFT_695414	PF10250.16	NA	100
gene-BD410DRAFT_1003		NA	100
gene-BD410DRAFT_1042	PF20411.4	NA	100
gene-BD410DRAFT_1000	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-BD410DRAFT_779302	PF00441.30,PF02770.25,PF02771.22,PF08028.17	GO:0016627,GO:0050660	8
gene-BD410DRAFT_1164		NA	100
gene-BD410DRAFT_1206	PF20411.4	NA	100
gene-BD410DRAFT_735770	PF06093.20	NA	100
gene-BD410DRAFT_823284	PF20411.4	NA	100
gene-BD410DRAFT_833407	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-BD410DRAFT_779311		NA	100
gene-BD410DRAFT_779313	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-BD410DRAFT_833409	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-BD410DRAFT_1382	PF26617.1	NA	100
gene-BD410DRAFT_1487	PF01753.25,PF26617.1	NA	100
gene-BD410DRAFT_797730	PF01753.25,PF24324.2,PF26617.1	NA	100
gene-BD410DRAFT_1461		NA	100
gene-BD410DRAFT_833413		NA	100
gene-BD410DRAFT_1463		NA	100
gene-BD410DRAFT_779325		NA	100
gene-BD410DRAFT_1543		NA	100
gene-BD410DRAFT_779330		NA	100
gene-BD410DRAFT_1916		NA	100
gene-BD410DRAFT_892425		NA	100
gene-BD410DRAFT_1922		NA	100
gene-BD410DRAFT_833418	PF12192.13	NA	100
gene-BD410DRAFT_847462	PF12192.13	NA	100
gene-BD410DRAFT_833420	PF12192.13	NA	100
gene-BD410DRAFT_833421	PF12192.13	NA	100
gene-BD410DRAFT_833422	PF12192.13	NA	100
gene-BD410DRAFT_2076		NA	100
gene-BD410DRAFT_2080		NA	100
gene-BD410DRAFT_735783	PF00692.25,PF22769.2	GO:0006229,GO:0008829	8
gene-BD410DRAFT_779337		NA	100
gene-BD410DRAFT_2136		NA	100
gene-BD410DRAFT_2171		NA	100
gene-BD410DRAFT_779340		NA	100
gene-BD410DRAFT_757726	PF01733.25	GO:0005337,GO:0016020,GO:1901642	6
gene-BD410DRAFT_779342	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-BD410DRAFT_797749		NA	100
gene-BD410DRAFT_757730		NA	100
gene-BD410DRAFT_892437	PF17667.8	NA	100
gene-BD410DRAFT_797752	PF12192.13	NA	100
gene-BD410DRAFT_833432		NA	100
gene-BD410DRAFT_2429		NA	100
gene-BD410DRAFT_2373		NA	100
gene-BD410DRAFT_797755		NA	100
gene-BD410DRAFT_797756		NA	100
gene-BD410DRAFT_779352	PF24016.2	NA	100
gene-BD410DRAFT_797759		NA	100
gene-BD410DRAFT_823310		NA	100
gene-BD410DRAFT_2663		NA	100
gene-BD410DRAFT_2701	PF12192.13	NA	100
gene-BD410DRAFT_823313		NA	100
gene-BD410DRAFT_2805		NA	100
gene-BD410DRAFT_779366		NA	100
gene-BD410DRAFT_779368		NA	100
gene-BD410DRAFT_847534	PF01406.26	NA	100
gene-BD410DRAFT_833442	PF00135.35,PF20434.6	NA	100
gene-BD410DRAFT_823318		NA	100
gene-BD410DRAFT_680454	PF20153.5	NA	100
gene-BD410DRAFT_757743	PF00173.34,PF00441.30,PF02770.25,PF02771.22,PF08028.17	GO:0016627,GO:0050660	8
gene-BD410DRAFT_779372	PF00169.36,PF00225.30,PF00498.32,PF12423.14,PF12473.14,PF16183.11,PF16796.12	GO:0003777,GO:0005515,GO:0005524,GO:0007018,GO:0008017	7
gene-BD410DRAFT_735813	PF02353.27,PF08241.19,PF13649.13	GO:0008757	8
gene-BD410DRAFT_710183	PF00173.34,PF00487.31	GO:0006629	8
gene-BD410DRAFT_779380	PF00023.37,PF00023.37,PF04383.20,PF12796.14,PF13606.13,PF13606.13,PF13637.13,PF13637.13	GO:0005515	100
gene-BD410DRAFT_779381	PF00144.30	NA	100
gene-BD410DRAFT_779382	PF00144.30	NA	100
gene-BD410DRAFT_757759	PF00102.33,PF00782.26,PF14671.12,PF22741.2,PF22784.2,PF22785.2	GO:0004725,GO:0006470,GO:0016311	8
gene-BD410DRAFT_710962	PF01208.24	GO:0004853,GO:0006779	8
gene-BD410DRAFT_3435	PF05205.18	NA	100
gene-BD410DRAFT_823327		NA	100
gene-BD410DRAFT_847566		NA	100
gene-BD410DRAFT_847582	PF01391.24	NA	100
