gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BDQ12DRAFT_717201	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA717201		None	None
gene-BDQ12DRAFT_594722	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA594722		None	None
gene-BDQ12DRAFT_660835	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA660835		None	None
gene-BDQ12DRAFT_701673	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA701673	PF29556.1	Partial	None
gene-BDQ12DRAFT_717205	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA717205		None	None
gene-BDQ12DRAFT_77	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA77		None	None
gene-BDQ12DRAFT_730142	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA730142		None	None
gene-BDQ12DRAFT_672226	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA672226		None	None
gene-BDQ12DRAFT_405	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA405	PF00025.28,PF00503.27	Partial	None
gene-BDQ12DRAFT_342	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA342		None	None
gene-BDQ12DRAFT_672238	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA672238		None	None
gene-BDQ12DRAFT_672243	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA672243	PF20152.5	Complete	None
gene-BDQ12DRAFT_594105	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA594105		None	None
gene-BDQ12DRAFT_568	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA568		None	None
gene-BDQ12DRAFT_562	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA562		None	None
gene-BDQ12DRAFT_694673	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA694673	PF00005.34,PF00005.34,PF00664.29,PF00664.29	Complete	None
gene-BDQ12DRAFT_662	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA662	PF02656.21	Partial	None
gene-BDQ12DRAFT_594815	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA594815	PF12770.13	Complete	None
gene-BDQ12DRAFT_717216	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA717216		None	None
gene-BDQ12DRAFT_708074	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA708074		None	None
gene-BDQ12DRAFT_660852	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA660852		None	None
gene-BDQ12DRAFT_672253	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA672253	PF01979.27,PF07969.18	Partial	None
gene-BDQ12DRAFT_701677	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA701677	PF01344.32	Complete	None
gene-BDQ12DRAFT_717221	rna-gnl|WGS:QPFR|BDQ12DRAFT_mRNA717221	PF00172.24	Complete	None
