protein_id	length
rna-XM_046182309.1	539
rna-XM_046182323.1	401
rna-XM_046178748.1	870
rna-XM_046178783.1	910
rna-XM_046182340.1	322
rna-XM_046176718.1	178
rna-XM_046178888.1	530
rna-XM_046177183.1	641
rna-XM_046182675.1	403
rna-XM_046182693.1	345
rna-XM_046182186.1	129
rna-XM_046181452.1	706
rna-XM_046183642.1	110
rna-XM_046182742.1	207
rna-XM_046184201.1	684
rna-XM_046182766.1	1193
rna-XM_046181901.1	527
rna-XM_046184256.1	1009
rna-XM_046184280.1	719
rna-XM_046177344.1	78
rna-XM_046182844.1	141
rna-XM_046178246.1	582
rna-XM_046180269.1	205
rna-XM_046183898.1	707
rna-XM_046180325.1	171
rna-XM_046184415.1	732
rna-XM_046184441.1	156
rna-XM_046180402.1	796
rna-XM_046180441.1	345
rna-XM_046180476.1	287
rna-XM_046180510.1	1191
rna-XM_046178594.1	549
rna-XM_046183937.1	479
rna-XM_046184582.1	1057
rna-XM_046177532.1	247
rna-XM_046177540.1	266
rna-XM_046179023.1	474
rna-XM_046179058.1	323
rna-XM_046180607.1	338
rna-XM_046183009.1	391
rna-XM_046177453.1	470
rna-XM_046176447.1	716
rna-XM_046178618.1	1269
rna-XM_046183676.1	544
rna-XM_046180792.1	582
rna-XM_046183080.1	666
rna-XM_046178635.1	446
rna-XM_046178637.1	450
rna-XM_046180900.1	523
rna-XM_046177330.1	174
rna-XM_046182286.1	561
rna-XM_046181732.1	253
rna-XM_046176683.1	635
rna-XM_046181057.1	803
rna-XM_046176723.1	564
rna-XM_046181759.1	196
rna-XM_046184060.1	317
rna-XM_046176785.1	504
rna-XM_046179164.1	877
rna-XM_046176845.1	123
rna-XM_046182303.1	775
rna-XM_046181165.1	113
rna-XM_046178675.1	827
rna-XM_046183354.1	856
rna-XM_046183364.1	659
rna-XM_046179295.1	84
rna-XM_046179336.1	352
rna-XM_046179359.1	146
rna-XM_046182511.1	226
rna-XM_046177009.1	80
rna-XM_046182535.1	331
rna-XM_046178442.1	356
rna-XM_046179500.1	677
rna-XM_046177096.1	508
rna-XM_046179562.1	611
rna-XM_046179598.1	370
rna-XM_046179631.1	230
rna-XM_046179662.1	400
rna-XM_046179703.1	948
rna-XM_046179744.1	267
rna-XM_046177680.1	296
rna-XM_046177255.1	1598
rna-XM_046177276.1	973
rna-XM_046181418.1	763
