protein_id	length
rna-HPULCUR_000001	564
rna-HPULCUR_000123	908
rna-HPULCUR_000225	299
rna-HPULCUR_000327	446
rna-HPULCUR_000428	146
rna-HPULCUR_000531	527
rna-HPULCUR_000632	101
rna-HPULCUR_000733	361
rna-HPULCUR_000835	79
rna-HPULCUR_000938	226
rna-HPULCUR_001039	373
rna-HPULCUR_001139	185
rna-HPULCUR_001239	504
rna-HPULCUR_001342	392
rna-HPULCUR_001446	560
rna-HPULCUR_001546	365
rna-HPULCUR_001647	123
rna-HPULCUR_001748	277
rna-HPULCUR_001849	162
rna-HPULCUR_001950	733
rna-HPULCUR_002052	274
rna-HPULCUR_002152	234
rna-HPULCUR_002255	85
rna-HPULCUR_002355	394
rna-HPULCUR_002456	107
rna-HPULCUR_002556	462
rna-HPULCUR_002657	212
rna-HPULCUR_002761	307
rna-HPULCUR_002863	694
rna-HPULCUR_002965	1270
rna-HPULCUR_003068	312
rna-HPULCUR_003172	195
rna-HPULCUR_003273	107
rna-HPULCUR_003375	218
rna-HPULCUR_003477	385
rna-HPULCUR_003577	182
rna-HPULCUR_003677	234
rna-HPULCUR_003779	417
rna-HPULCUR_003881	119
rna-HPULCUR_003982	1960
rna-HPULCUR_004082	370
rna-HPULCUR_004183	428
rna-HPULCUR_004284	321
rna-HPULCUR_004386	206
rna-HPULCUR_004486	454
rna-HPULCUR_004587	1117
rna-HPULCUR_004687	184
rna-HPULCUR_004791	78
rna-HPULCUR_004893	355
rna-HPULCUR_004993	603
rna-HPULCUR_005094	736
rna-HPULCUR_005195	225
rna-HPULCUR_005298	558
rna-HPULCUR_005398	115
rna-HPULCUR_005499	236
rna-HPULCUR_005602	979
rna-HPULCUR_005703	970
rna-HPULCUR_005806	110
rna-HPULCUR_005907	183
rna-HPULCUR_006013	321
rna-HPULCUR_006113	378
rna-HPULCUR_006215	206
rna-HPULCUR_006316	169
rna-HPULCUR_006417	393
rna-HPULCUR_006519	109
rna-HPULCUR_006620	387
rna-HPULCUR_006723	1656
rna-HPULCUR_006823	587
rna-HPULCUR_006925	276
rna-HPULCUR_007025	353
rna-HPULCUR_007127	177
rna-HPULCUR_007230	86
rna-HPULCUR_007334	450
rna-HPULCUR_007437	630
rna-HPULCUR_007537	368
rna-HPULCUR_007638	159
rna-HPULCUR_007740	347
rna-HPULCUR_007841	345
rna-HPULCUR_007942	353
rna-HPULCUR_008047	184
rna-HPULCUR_008151	263
rna-HPULCUR_008252	299
rna-HPULCUR_008352	440
rna-HPULCUR_008452	409
rna-HPULCUR_008552	251
rna-HPULCUR_008653	724
rna-HPULCUR_008756	488
rna-HPULCUR_008856	267
rna-HPULCUR_008959	633
rna-HPULCUR_009060	145
rna-HPULCUR_009160	80
rna-HPULCUR_009262	199
rna-HPULCUR_009362	154
rna-HPULCUR_009462	461
rna-HPULCUR_009563	100
rna-HPULCUR_009664	133
rna-HPULCUR_009764	926
rna-HPULCUR_009865	387
rna-HPULCUR_009972	92
rna-HPULCUR_010078	679
rna-HPULCUR_010180	434
rna-HPULCUR_010284	222
rna-HPULCUR_010386	148
rna-HPULCUR_010487	210
rna-HPULCUR_010590	169
rna-HPULCUR_010691	723
rna-HPULCUR_010792	510
rna-HPULCUR_010893	285
rna-HPULCUR_010993	412
rna-HPULCUR_011096	131
rna-HPULCUR_011200	204
rna-HPULCUR_011302	101
rna-HPULCUR_011403	121
rna-HPULCUR_011504	618
rna-HPULCUR_011605	145
rna-HPULCUR_011707	145
rna-HPULCUR_011808	546
rna-HPULCUR_011910	400
rna-HPULCUR_012011	364
rna-HPULCUR_012116	480
