gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-AGABI2DRAFT_189137	rna-XM_006453700.1		None	None
gene-AGABI2DRAFT_175561	rna-XM_006454916.1	PF00176.30,PF00270.36,PF00271.38,PF04851.22,PF09110.17,PF09111.17,PF11496.15	Complete	None
gene-AGABI2DRAFT_113535	rna-XM_006453701.1		None	None
gene-AGABI2DRAFT_62215	rna-XM_006453702.1		None	None
gene-AGABI2DRAFT_189140	rna-XM_006453703.1	PF00884.29,PF01663.28,PF01676.24,PF06415.19	Partial	None
gene-AGABI2DRAFT_189141	rna-XM_006453704.1		None	None
gene-AGABI2DRAFT_147179	rna-XM_006453705.1	PF13911.13	Partial	None
gene-AGABI2DRAFT_181818	rna-XM_006453706.1	PF01565.29	Partial	None
gene-AGABI2DRAFT_196303	rna-XM_006453707.1	PF01636.30	Partial	None
gene-AGABI2DRAFT_189143	rna-XM_006453708.1	PF00335.27	Partial	None
gene-AGABI2DRAFT_113543	rna-XM_006453709.1		None	None
gene-AGABI2DRAFT_189145	rna-XM_006453710.1		None	None
gene-AGABI2DRAFT_181822	rna-XM_006453711.1		None	None
gene-AGABI2DRAFT_113547	rna-XM_006453712.1	PF20153.5	Partial	None
gene-AGABI2DRAFT_189147	rna-XM_006453713.1		None	None
gene-AGABI2DRAFT_60514	rna-XM_006453714.1	PF00651.38	Partial	None
gene-AGABI2DRAFT_113550	rna-XM_006453715.1		None	None
gene-AGABI2DRAFT_196313	rna-XM_006453716.1	PF00651.38	Partial	None
gene-AGABI2DRAFT_213246	rna-XM_006453717.1	PF00240.30,PF00627.38,PF10302.16,PF11976.15	Complete	None
gene-AGABI2DRAFT_60662	rna-XM_006453718.1	PF00962.29,PF19326.6	Partial	None
gene-AGABI2DRAFT_189149	rna-XM_006453719.1		None	None
gene-AGABI2DRAFT_62224	rna-XM_006453720.1	PF00724.27	Partial	None
gene-AGABI2DRAFT_181830	rna-XM_006453721.1	PF20152.5	Complete	None
gene-AGABI2DRAFT_189151	rna-XM_006453722.1	PF00118.30	Partial	None
gene-AGABI2DRAFT_213259	rna-XM_006453723.1	PF00067.28	Partial	None
gene-AGABI2DRAFT_113560	rna-XM_006453724.1		None	None
gene-AGABI2DRAFT_181833	rna-XM_006453725.1	PF01207.24	Partial	None
gene-AGABI2DRAFT_189154	rna-XM_006453726.1	PF15370.12	Partial	None
gene-AGABI2DRAFT_175580	rna-XM_006453727.1	PF01764.32	Partial	None
gene-AGABI2DRAFT_113564	rna-XM_006453728.1		None	None
gene-AGABI2DRAFT_189155	rna-XM_006453729.1		None	None
gene-AGABI2DRAFT_139973	rna-XM_006453730.1		None	None
gene-AGABI2DRAFT_189156	rna-XM_006453731.1		None	None
gene-AGABI2DRAFT_239453	rna-XM_006454915.1	PF00067.28	Partial	None
gene-AGABI2DRAFT_175584	rna-XM_006453732.1	PF03370.19	Complete	None
gene-AGABI2DRAFT_189160	rna-XM_006453733.1		None	None
gene-AGABI2DRAFT_181840	rna-XM_006453734.1		None	None
gene-AGABI2DRAFT_132565	rna-XM_006453735.1		None	None
gene-AGABI2DRAFT_61842	rna-XM_006453736.1		None	None
gene-AGABI2DRAFT_139979	rna-XM_006453737.1		None	None
gene-AGABI2DRAFT_189163	rna-XM_006453738.1		None	None
gene-AGABI2DRAFT_189164	rna-XM_006453739.1	PF00467.36,PF01929.24	Partial	None
gene-AGABI2DRAFT_132568	rna-XM_006453740.1		None	None
gene-AGABI2DRAFT_196347	rna-XM_006453741.1	PF00067.28,PF00067.28	Partial	None
gene-AGABI2DRAFT_175592	rna-XM_006453742.1	PF10186.15	Partial	None
gene-AGABI2DRAFT_189168	rna-XM_006453743.1	PF00561.27,PF12697.14	Partial	None
gene-AGABI2DRAFT_175594	rna-XM_006453744.1	PF03171.27,PF14226.13	Complete	None
gene-AGABI2DRAFT_181849	rna-XM_006453745.1		None	None
gene-AGABI2DRAFT_196353	rna-XM_006453746.1	PF10345.16	Partial	None
gene-AGABI2DRAFT_139988	rna-XM_006453747.1		None	None
gene-AGABI2DRAFT_113582	rna-XM_006453748.1		None	None
gene-AGABI2DRAFT_189173	rna-XM_006453749.1		None	None
gene-AGABI2DRAFT_113583	rna-XM_006453750.1		None	None
gene-AGABI2DRAFT_175596	rna-XM_006453751.1		None	None
gene-AGABI2DRAFT_113585	rna-XM_006453752.1		None	None
gene-AGABI2DRAFT_113586	rna-XM_006453753.1		None	None
gene-AGABI2DRAFT_62120	rna-XM_006453754.1	PF00083.31,PF06609.19,PF07690.22	Partial	None
gene-AGABI2DRAFT_132581	rna-XM_006453755.1		None	None
gene-AGABI2DRAFT_189178	rna-XM_006453756.1		None	None
gene-AGABI2DRAFT_189180	rna-XM_006453757.1	PF02284.22	Partial	None
gene-AGABI2DRAFT_132586	rna-XM_006453758.1	PF07716.21	Partial	None
gene-AGABI2DRAFT_132587	rna-XM_006453759.1	PF00883.27	Partial	None
gene-AGABI2DRAFT_113593	rna-XM_006453760.1		None	None
gene-AGABI2DRAFT_113594	rna-XM_006453761.1	PF00172.24,PF04082.24	Partial	None
gene-AGABI2DRAFT_213298	rna-XM_006453762.1		None	None
gene-AGABI2DRAFT_181860	rna-XM_006453763.1	PF01066.27	Partial	None
gene-AGABI2DRAFT_189185	rna-XM_006453764.1		None	None
gene-AGABI2DRAFT_132590	rna-XM_006453765.1		None	None
gene-AGABI2DRAFT_189187	rna-XM_006453766.1	PF00076.29,PF00076.29,PF13893.13,PF13893.13	Complete	None
gene-AGABI2DRAFT_132592	rna-XM_006453767.1		None	None
gene-AGABI2DRAFT_139997	rna-XM_006453768.1	PF00125.31	Partial	None
gene-AGABI2DRAFT_189191	rna-XM_006453769.1		None	None
gene-AGABI2DRAFT_196377	rna-XM_006453770.1	PF03171.27,PF14226.13	Complete	None
gene-AGABI2DRAFT_189193	rna-XM_006453771.1		None	None
gene-AGABI2DRAFT_175606	rna-XM_006453772.1		None	None
gene-AGABI2DRAFT_175607	rna-XM_006453773.1		None	None
gene-AGABI2DRAFT_189196	rna-XM_006453774.1		None	None
gene-AGABI2DRAFT_189197	rna-XM_006453775.1	PF03129.26,PF13393.12	Complete	None
gene-AGABI2DRAFT_62584	rna-XM_006453776.1	PF00390.25,PF03949.22	Partial	None
gene-AGABI2DRAFT_140003	rna-XM_006453777.1		None	None
gene-AGABI2DRAFT_113607	rna-XM_006453778.1		None	None
gene-AGABI2DRAFT_196390	rna-XM_006453779.1		None	None
gene-AGABI2DRAFT_181873	rna-XM_006453780.1	PF00069.32,PF01163.29,PF07714.24,PF08587.18,PF16579.12	Complete	None
gene-AGABI2DRAFT_189202	rna-XM_006453781.1		None	None
gene-AGABI2DRAFT_113611	rna-XM_006453782.1		None	None
gene-AGABI2DRAFT_196395	rna-XM_006453783.1	PF00590.26,PF13241.13,PF14823.12,PF14824.12	Complete	None
gene-AGABI2DRAFT_181876	rna-XM_006453784.1	PF00856.34	Partial	None
gene-AGABI2DRAFT_175616	rna-XM_006453785.1	PF05277.19	Partial	None
