gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF16541.11	NA	100
GML000003		NA	100
GML000004	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13	GO:0005515	100
GML000005		NA	100
GML000006	PF20516.5	NA	100
GML000007	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF05729.19,PF05729.19,PF17107.12,PF17107.12,PF22939.3,PF22939.3,PF23098.2,PF23098.2,PF24883.3,PF24883.3	GO:0005515	100
GML000008	PF00078.33,PF00078.33,PF17917.8,PF17917.8,PF17919.8,PF17919.8,PF17921.8,PF17921.8,PF31073.1,PF31073.1	NA	1
GML000009		NA	100
GML000010		NA	100
GML000011	PF07690.22	GO:0022857,GO:0055085	6
GML000012	PF00931.29,PF01637.25,PF05729.19,PF06985.18,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13181.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13401.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13	GO:0005515,GO:0005524,GO:0016887,GO:0043531	8
GML000013		NA	100
GML000014		NA	100
GML000015	PF03184.26,PF03184.26,PF03221.23,PF05225.23	NA	1
GML000016	PF00009.34,PF03143.24,PF03144.32,PF22594.3	GO:0003924,GO:0005525	8
GML000017		NA	100
GML000018	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13857.13,PF22939.3,PF23745.2,PF24883.3	GO:0005515	100
GML000019	PF20516.5,PF20516.5	NA	100
GML000020		NA	100
GML000021		NA	100
GML000022		NA	100
GML000023		NA	100
GML000024	PF00107.33,PF08240.18	NA	100
GML000025	PF00107.33,PF08240.18	NA	100
GML000026		NA	100
GML000027		NA	100
GML000028	PF06985.18,PF26640.1	NA	100
GML000029		NA	100
GML000030	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF05729.19,PF05729.19,PF05729.19,PF06985.18,PF06985.18,PF06985.18,PF24883.3,PF24883.3,PF24883.3,PF25173.2,PF25173.2	GO:0005515	100
GML000031	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
GML000032	PF01693.24	NA	100
GML000033	PF24864.1	NA	100
GML000034	PF00931.29,PF00931.29,PF06985.18,PF06985.18,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13176.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13401.13,PF13401.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13	GO:0005515,GO:0016887,GO:0043531	8
GML000035	PF13374.13,PF13374.13,PF13424.13,PF13424.13	NA	100
GML000036	PF00651.38,PF00651.38	GO:0005515	100
GML000037		NA	100
