gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00566.26,PF23436.2	NA	100
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005		NA	100
GML000006		NA	100
GML000007		NA	100
GML000008		NA	100
GML000009		NA	100
GML000010	PF14223.15,PF22936.2	NA	100
GML000011	PF03184.26,PF03184.26,PF03221.23,PF03221.23	NA	1
GML000012		NA	100
GML000013		NA	100
GML000014	PF00883.27,PF00883.27	GO:0006508,GO:0046872,GO:0070006	5
GML000015	PF01185.24	GO:0005199,GO:0009277	7
GML000016	PF01185.24	GO:0005199,GO:0009277	7
GML000017	PF01185.24	GO:0005199,GO:0009277	7
GML000018		NA	100
GML000019		NA	100
GML000020	PF00533.34,PF00533.34,PF00533.34,PF12738.14,PF12738.14,PF12738.14,PF12738.14,PF12738.14,PF12738.14,PF16589.13,PF16589.13,PF16589.13,PF16589.13,PF16589.13,PF16589.13,PF16770.12,PF16770.12,PF16770.12	NA	100
GML000021	PF01185.24	GO:0005199,GO:0009277	7
GML000022	PF01185.24,PF01185.24	GO:0005199,GO:0009277	7
GML000023	PF00078.33,PF00078.33,PF00078.33,PF00078.33,PF00385.31,PF00385.31,PF00385.31,PF00385.31,PF17917.8,PF17917.8,PF17917.8,PF17917.8,PF17919.8,PF17919.8,PF17919.8,PF17919.8,PF17921.8,PF17921.8,PF17921.8,PF17921.8,PF24626.2,PF24626.2,PF24626.2,PF24626.2	NA	1
GML000024	PF19259.5,PF30901.1	NA	100
GML000025		NA	100
GML000026		NA	100
GML000027		NA	100
GML000028	PF18758.8,PF18803.7	NA	100
GML000029		NA	100
GML000030		NA	100
GML000031	PF01693.24	NA	100
GML000032		NA	100
GML000033		NA	100
GML000034		NA	100
GML000035		NA	100
GML000036		NA	100
GML000037		NA	100
GML000038	PF12937.13	GO:0005515	100
GML000039		NA	100
GML000040		NA	100
GML000041		NA	100
GML000042		NA	100
GML000043		NA	100
GML000044	PF01423.29	NA	100
GML000045	PF10334.17,PF13515.13	NA	100
GML000046	PF00173.34,PF00173.34,PF00174.26,PF00174.26,PF00175.27,PF00175.27,PF00970.31,PF00970.31,PF03404.23,PF03404.23	GO:0016491,GO:0030151	8
GML000047		NA	100
GML000048	PF06985.18,PF06985.18,PF06985.18	NA	100
GML000049	PF01185.24	GO:0005199,GO:0009277	7
GML000050		NA	100
GML000051	PF01055.33,PF01055.33,PF21365.4,PF21365.4	GO:0004553,GO:0005975	8
GML000052	PF01185.24	GO:0005199,GO:0009277	7
GML000053	PF01055.33,PF01055.33,PF13802.13,PF13802.13,PF21365.4,PF21365.4	GO:0004553,GO:0005975	8
GML000054		NA	100
GML000055	PF01185.24	GO:0005199,GO:0009277	7
GML000056	PF05348.17	NA	100
GML000057	PF13524.13,PF13579.13,PF13692.13	NA	100
GML000058	PF00270.36,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000059	PF05970.21	GO:0000723,GO:0003678,GO:0006281	3
GML000060		NA	100
GML000061	PF14214.12	NA	100
GML000062		NA	100
GML000063		NA	100
GML000064		NA	100
GML000065	PF00270.36,PF00271.38	GO:0003676,GO:0005524	4
GML000066	PF00665.33,PF00665.33,PF07727.20,PF07727.20,PF25597.2,PF25597.2	NA	1
GML000067	PF14223.15,PF22936.2,PF22936.2	NA	100
GML000068	PF20231.4,PF20231.4	NA	100
GML000069	PF09994.15,PF09994.15	NA	100
GML000070	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF09994.15,PF09994.15,PF09994.15	GO:0005515	100
GML000071	PF01106.23,PF01106.23,PF08712.17,PF08712.17	GO:0005506,GO:0016226,GO:0051536	100
GML000072	PF01379.26,PF03900.21	GO:0004418,GO:0033014	8
GML000073	PF01185.24	GO:0005199,GO:0009277	7
