protein_id	length
rna-XM_046081506.1	221
rna-XM_046076722.1	439
rna-XM_046078691.1	810
rna-XM_046081432.1	137
rna-XM_046078550.1	1078
rna-XM_046078459.1	1610
rna-XM_046078372.1	544
rna-XM_046081315.1	198
rna-XM_046079846.1	194
rna-XM_046076813.1	326
rna-XM_046077016.1	60
rna-XM_046080135.1	635
rna-XM_046080224.1	349
rna-XM_046080292.1	218
rna-XM_046080377.1	734
rna-XM_046081338.1	895
rna-XM_046080511.1	1468
rna-XM_046080603.1	864
rna-XM_046080887.1	527
rna-XM_046080799.1	288
rna-XM_046080712.1	1021
rna-XM_046080621.1	511
rna-XM_046077100.1	248
rna-XM_046077188.1	513
rna-XM_046077276.1	69
rna-XM_046077365.1	633
rna-XM_046077452.1	612
rna-XM_046077541.1	1262
rna-XM_046077625.1	633
rna-XM_046080028.1	1281
rna-XM_046076964.1	783
rna-XM_046077857.1	641
rna-XM_046077951.1	808
rna-XM_046078074.1	532
rna-XM_046078160.1	674
rna-XM_046081603.1	267
rna-XM_046079340.1	392
rna-XM_046079252.1	169
rna-XM_046079162.1	494
rna-XM_046079086.1	350
rna-XM_046078997.1	404
rna-XM_046078905.1	349
rna-XM_046079506.1	258
rna-XM_046076775.1	349
rna-XM_046081347.1	927
rna-XM_046079651.1	579
rna-XM_046079739.1	1601
rna-XM_046081445.1	324
rna-XM_046081063.1	251
rna-XM_046081151.1	374
rna-XM_046081235.1	821
