gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003	PF00687.27	NA	100
GML000004		NA	100
GML000005	PF00096.33,PF00096.33	NA	100
GML000006	PF00149.34	GO:0016787	8
GML000007	PF00005.34,PF00005.34,PF12848.14	GO:0005524,GO:0016887	8
GML000008	PF01753.25,PF20179.4	NA	100
GML000009		NA	100
GML000010		NA	100
GML000011	PF17667.8	NA	100
GML000012	PF17667.8	NA	100
GML000013		NA	100
GML000014	PF17667.8	NA	100
GML000015		NA	100
GML000016		NA	100
GML000017		NA	100
GML000018	PF26215.1,PF28514.1	NA	100
GML000019		NA	100
GML000020		NA	100
GML000021		NA	100
GML000022	PF17667.8	NA	100
GML000023		NA	100
GML000024	PF06330.17,PF06330.17	GO:0016838	8
GML000025	PF06330.17	GO:0016838	8
GML000026	PF17667.8,PF17667.8	NA	100
GML000027	PF10237.16	GO:0008168	8
GML000028		NA	100
GML000029		NA	100
GML000030	PF00891.25,PF08100.19	GO:0008171,GO:0046983	8
GML000031	PF00891.25,PF00891.25,PF08100.19,PF08100.19	GO:0008171,GO:0046983	8
GML000032	PF01253.28,PF01253.28,PF21023.3,PF21023.3	GO:0003743,GO:0006413	8
GML000033		NA	100
GML000034		NA	100
GML000035		NA	100
GML000036		NA	100
GML000037		NA	100
GML000038	PF00133.29,PF09334.18,PF09334.18	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
GML000039	PF01161.27,PF01161.27	NA	100
GML000040		NA	100
GML000041		NA	100
GML000042		NA	100
GML000043		NA	100
GML000044		NA	100
GML000045	PF00657.29,PF00657.29	GO:0016788	8
GML000046		NA	100
GML000047		NA	100
GML000048		NA	100
GML000049	PF01735.24	GO:0004620,GO:0009395	8
GML000050		NA	100
GML000051	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF23953.2	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117	6
GML000052		NA	100
GML000053	PF00324.28,PF00324.28,PF00324.28,PF13520.13,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000054	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000055		NA	100
GML000056	PF00063.28,PF00173.34,PF01644.24,PF03142.22,PF08766.17,PF13632.13,PF13641.13	GO:0003774,GO:0005524,GO:0016459	100
GML000057		NA	100
GML000058	PF00328.28,PF00328.28,PF00328.28	NA	100
GML000059		NA	100
GML000060	PF00293.35	NA	100
GML000061		NA	100
GML000062	PF00860.27	GO:0016020,GO:0022857,GO:0055085	6
GML000063		NA	100
GML000064	PF09284.17,PF14683.13,PF14686.13	GO:0005975,GO:0016837,GO:0030246	8
GML000065		NA	100
GML000066	PF00850.25,PF00850.25	NA	100
GML000067	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000068		NA	100
GML000069	PF01248.32	NA	100
GML000070	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF12894.14	GO:0005515	100
GML000071		NA	100
GML000072		NA	100
GML000073	PF00637.27,PF00637.27,PF23411.2,PF23411.2,PF23411.2,PF23411.2,PF23556.2,PF23556.2	NA	100
GML000074		NA	100
GML000075		NA	100
GML000076	PF00533.34,PF16892.11,PF16893.12	GO:0046983	100
GML000077	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000078		NA	100
GML000079	PF00270.36,PF00271.38	GO:0003676,GO:0005524	4
GML000080	PF20231.4	NA	100
GML000081		NA	100
GML000082		NA	100
GML000083		NA	100
GML000084		NA	100
GML000085	PF00249.38,PF00249.38,PF00249.38,PF13921.13,PF13921.13,PF13921.13	NA	100
GML000086	PF20231.4,PF20231.4	NA	100
GML000087		NA	100
GML000088		NA	100
GML000089	PF00561.27,PF08386.17,PF12146.16,PF12697.14	NA	100
GML000090	PF00651.38,PF00651.38	GO:0005515	100
GML000091		NA	100
GML000092	PF00651.38	GO:0005515	100
GML000093	PF00651.38,PF00651.38	GO:0005515	100
GML000094	PF07428.16,PF07428.16	GO:0016407,GO:0043386	2
GML000095	PF00557.30	NA	100
GML000096	PF00324.28,PF00324.28,PF00324.28,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000097	PF05236.21	GO:0005669,GO:0006352	8
GML000098	PF00642.31,PF27634.2	GO:0046872	100
GML000099		NA	100
GML000100	PF20151.5	NA	100
GML000101	PF01878.25	NA	100
GML000102	PF01145.32,PF01145.32	NA	100
GML000103		NA	100
GML000104		NA	100
GML000105	PF00616.25,PF00616.25,PF00616.25,PF13716.12,PF13716.12,PF13716.12	GO:0043087	100
GML000106	PF00076.29,PF00076.29	GO:0003723	4
GML000107	PF12923.13,PF17799.8	NA	100
GML000108	PF04430.20,PF04430.20	NA	100
GML000109		NA	100
GML000110		NA	100
GML000111	PF21948.2	GO:0036211	8
GML000112		NA	100
GML000113		NA	100
GML000114	PF03134.25	NA	100
GML000115	PF01125.23	GO:0005634	100
GML000116	PF00999.27,PF23256.2	GO:0006812,GO:0015297,GO:0016020,GO:0055085,GO:1902600	6
GML000117	PF03171.27,PF03171.27,PF14226.13,PF14226.13	NA	100
GML000118		NA	100
GML000119		NA	100
GML000120	PF03009.24,PF03009.24	GO:0006629,GO:0008081	8
GML000121	PF01553.27,PF01553.27	GO:0016746	8
GML000122		NA	100
GML000123		NA	100
GML000124	PF08287.17,PF08287.17	GO:0005876,GO:0008608,GO:0042729	100
GML000125	PF00994.30,PF00994.30,PF00994.30,PF00994.30,PF00994.30,PF03453.23,PF03453.23,PF03453.23,PF03454.21,PF03454.21,PF03454.21	GO:0032324	8
GML000126	PF10168.16,PF10168.16,PF30861.1	NA	100
GML000127		NA	100
GML000128	PF05064.19,PF05064.19,PF13634.12,PF13634.12,PF13634.12,PF13634.12,PF13634.12,PF13634.12,PF13634.12,PF13634.12,PF13634.12	NA	100
GML000129	PF24681.2	NA	100
GML000130		NA	100
GML000131		NA	100
GML000132		NA	100
GML000133		NA	100
GML000134		NA	100
GML000135		NA	100
GML000136		NA	100
GML000137	PF00450.29	GO:0004185,GO:0006508	5
GML000138		NA	100
