gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00293.35	NA	100
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005		NA	100
GML000006	PF23217.2	NA	100
GML000007		NA	100
GML000008	PF00241.26	GO:0003779	7
GML000009	PF02936.20	GO:0006123	8
GML000010	PF00006.32,PF02874.30,PF22919.2	GO:0005524,GO:0046034,GO:1902600	6
GML000011		NA	100
GML000012	PF00025.28,PF00071.29,PF01926.30,PF08477.20	GO:0003924,GO:0005525	8
GML000013	PF01433.27,PF11838.15,PF17900.7	GO:0008237,GO:0008270	8
GML000014	PF04056.21,PF04056.21,PF07975.19,PF13519.13,PF13519.13	GO:0006281,GO:0008270	3
GML000015		NA	100
GML000016	PF09649.16	NA	100
GML000017	PF04193.20,PF04193.20,PF04193.20,PF04193.20	NA	100
GML000018	PF00012.27,PF06723.20	GO:0005524,GO:0016887	8
GML000019	PF00984.25,PF03720.23,PF03721.22,PF03721.22	GO:0016616,GO:0051287	8
GML000020	PF00534.27,PF13439.13,PF13524.13,PF13579.13,PF13692.13,PF20706.4	GO:0016757	8
GML000021	PF20237.4,PF20237.4	NA	100
GML000022	PF11951.14	NA	100
GML000023	PF09734.16,PF09734.16,PF17682.7,PF17682.7	NA	100
GML000024	PF01603.27	GO:0000159,GO:0007165,GO:0019888	3
GML000025	PF00454.34,PF00454.34,PF00454.34,PF02259.30,PF02259.30,PF02259.30,PF02260.26,PF02260.26,PF02260.26,PF20175.4,PF20175.4,PF20175.4,PF20206.5,PF20206.5,PF20206.5	GO:0005515	100
GML000026		NA	100
GML000027	PF12895.14,PF13181.13,PF13374.13,PF13432.13,PF14559.13	GO:0005515	100
GML000028	PF04502.19	GO:0000398	8
GML000029	PF25545.2	NA	100
GML000030	PF25545.2	NA	100
GML000031	PF00462.31,PF02798.27,PF13409.13,PF13417.13	NA	100
GML000032	PF02373.29,PF02375.24,PF13771.13,PF13832.13,PF23258.2	NA	100
GML000033	PF00755.26,PF00755.26	NA	100
GML000034	PF00188.33	NA	100
GML000035	PF00294.30	NA	100
GML000036	PF00378.26,PF16113.11	NA	100
GML000037	PF04117.18,PF04117.18	GO:0016020	100
GML000038	PF30783.1	NA	100
GML000039		NA	100
GML000040	PF20163.5,PF20163.5,PF28510.1,PF28510.1,PF28511.1	NA	100
GML000041		NA	100
GML000042	PF03171.27,PF03171.27,PF14226.13,PF14226.13	NA	100
GML000043	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000044	PF01266.31,PF01946.24,PF05834.19,PF13450.13	NA	100
GML000045	PF11204.14,PF11204.14	NA	100
GML000046	PF05721.20	NA	100
GML000047		NA	100
GML000048	PF01636.30	NA	100
GML000049	PF24968.1	NA	100
GML000050	PF01494.26,PF01979.27,PF01979.27,PF07976.20	GO:0016787,GO:0071949	8
GML000051	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000052	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000053	PF05577.19,PF05577.19,PF05577.19,PF05577.19	GO:0006508,GO:0070008	5
GML000054		NA	100
GML000055	PF08510.18	NA	100
GML000056		NA	100
GML000057		NA	100
GML000058		NA	100
GML000059	PF02696.20,PF02696.20	NA	100
GML000060	PF00328.28	NA	100
GML000061	PF11496.15,PF11496.15	GO:0070823	100
GML000062	PF00743.26,PF00743.26,PF07992.21,PF13434.13,PF13450.13,PF13454.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
GML000063	PF20408.5,PF20408.5	NA	100
GML000064		NA	100
GML000065	PF10306.15	NA	100
GML000066	PF00334.25	NA	100
GML000067	PF01055.33,PF01055.33,PF13802.13,PF13802.13,PF17137.10,PF17137.10,PF21365.4,PF21365.4	GO:0004553,GO:0005975	8
GML000068	PF04193.20,PF04193.20	NA	100
GML000069	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
GML000070	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000071	PF22384.2	NA	100
GML000072	PF00043.31,PF02798.27,PF13409.13,PF13417.13,PF14497.12	NA	100
GML000073		NA	100
GML000074	PF03190.22,PF13899.13	NA	100
GML000075	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
GML000076		NA	100
GML000077	PF09532.16,PF12701.14	NA	100
GML000078	PF01115.23	GO:0008290,GO:0051016	100
GML000079		NA	100
GML000080	PF29336.1	NA	100
GML000081	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000082	PF07923.19,PF11882.14	NA	100
GML000083	PF10280.15	GO:0003712,GO:0006357,GO:0016592	100
