gene_id	pfam_ids	go_ids	bin_id
gene-SIIN_766_T	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23098.2,PF24883.3	GO:0005515	100
gene-SIIN_766_T_1		NA	100
gene-SIIN_766_T_2		NA	100
gene-SIIN_766_T_3		NA	100
gene-SIIN_766_T_4		NA	100
gene-SIIN_766_T_5		NA	100
gene-SIIN_766_T_6		NA	100
gene-SIIN_766_T_7		NA	100
gene-SIIN_766_G		NA	100
gene-SIIN_767_T		NA	100
gene-SIIN_767_T_1		NA	100
gene-SIIN_767_G		NA	100
gene-SIIN_768_G		NA	100
gene-SIIN_768_T	PF08784.18	NA	100
gene-SIIN_768_T_1		NA	100
gene-SIIN_768_T_2		NA	100
gene-SIIN_768_T_3		NA	100
gene-SIIN_768_T_4		NA	100
gene-SIIN_768_T_5		NA	100
gene-SIIN_768_T_6		NA	100
gene-SIIN_769_T	PF00004.36,PF03215.22	GO:0005524,GO:0016887	8
gene-SIIN_769_T_1		NA	100
gene-SIIN_769_T_2		NA	100
gene-SIIN_769_T_3		NA	100
gene-SIIN_769_T_4		NA	100
gene-SIIN_769_T_5		NA	100
gene-SIIN_769_T_6		NA	100
gene-SIIN_769_T_7		NA	100
gene-SIIN_769_T_8		NA	100
gene-SIIN_769_T_9		NA	100
gene-SIIN_769_T_10		NA	100
gene-SIIN_769_T_11		NA	100
gene-SIIN_769_T_12		NA	100
gene-SIIN_769_T_13		NA	100
gene-SIIN_769_T_14		NA	100
gene-SIIN_769_T_15		NA	100
gene-SIIN_769_T_16		NA	100
gene-SIIN_769_G		NA	100
gene-SIIN_770_T		NA	100
gene-SIIN_770_T_1		NA	100
gene-SIIN_770_G		NA	100
gene-SIIN_771_G		NA	100
gene-SIIN_771_T	PF04506.19	GO:0006488,GO:0016020	8
gene-SIIN_771_T_1		NA	100
gene-SIIN_771_T_2		NA	100
gene-SIIN_771_T_3		NA	100
gene-SIIN_772_G		NA	100
gene-SIIN_772_T	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF05729.19,PF23098.2,PF23381.2,PF23414.2,PF24883.3	GO:0005515	100
gene-SIIN_772_T_1		NA	100
gene-SIIN_772_T_2		NA	100
gene-SIIN_772_T_3		NA	100
gene-SIIN_772_T_4		NA	100
gene-SIIN_772_T_5		NA	100
gene-SIIN_773_T	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF24883.3	GO:0005515	100
gene-SIIN_773_T_1		NA	100
gene-SIIN_773_T_2		NA	100
gene-SIIN_773_T_3		NA	100
gene-SIIN_773_T_4		NA	100
gene-SIIN_773_T_5		NA	100
gene-SIIN_773_T_6		NA	100
gene-SIIN_773_T_7		NA	100
gene-SIIN_773_G		NA	100
gene-SIIN_774_T	PF00023.37,PF00023.37,PF12796.14,PF13606.13,PF13637.13	GO:0005515	100
gene-SIIN_774_T_1		NA	100
gene-SIIN_774_G		NA	100
gene-SIIN_775_T	PF17763.7	NA	100
gene-SIIN_775_T_1		NA	100
gene-SIIN_775_T_2		NA	100
gene-SIIN_775_T_3		NA	100
gene-SIIN_775_T_4		NA	100
gene-SIIN_775_G		NA	100
gene-SIIN_776_G		NA	100
gene-SIIN_776_T		NA	100
gene-SIIN_776_T_1		NA	100
gene-SIIN_777_G		NA	100
gene-SIIN_777_T		NA	100
gene-SIIN_777_T_1		NA	100
gene-SIIN_778_G		NA	100
gene-SIIN_778_T	PF00571.34,PF00571.34,PF00571.34,PF00571.34,PF07690.22	GO:0022857,GO:0055085	6
gene-SIIN_778_T_1		NA	100
gene-SIIN_778_T_2		NA	100
gene-SIIN_778_T_3		NA	100
gene-SIIN_778_T_4		NA	100
gene-SIIN_778_T_5		NA	100
gene-SIIN_778_T_6		NA	100
gene-SIIN_778_T_7		NA	100
gene-SIIN_778_T_8		NA	100
gene-SIIN_778_T_9		NA	100
gene-SIIN_778_T_10		NA	100
gene-SIIN_778_T_11		NA	100
gene-SIIN_778_T_12		NA	100
