protein_id	length
GML000001_mRNA1	473
GML000101_mRNA1	1967
GML000201_mRNA1	143
GML000301_mRNA1	350
GML000401_mRNA1	107
GML000501_mRNA1	1266
GML000601_mRNA1	373
GML000701_mRNA1	966
GML000801_mRNA1	961
GML000901_mRNA1	501
GML001001_mRNA1	910
GML001101_mRNA1	150
GML001201_mRNA1	304
GML001301_mRNA1	882
GML001401_mRNA1	102
GML001501_mRNA1	258
GML001601_mRNA1	275
GML001701_mRNA1	203
GML001801_mRNA1	152
GML001901_mRNA1	984
GML002001_mRNA1	478
GML002101_mRNA1	199
GML002201_mRNA1	205
GML002301_mRNA1	410
GML002401_mRNA1	737
GML002501_mRNA1	277
GML002601_mRNA1	70
GML002701_mRNA1	362
GML002801_mRNA1	322
GML002901_mRNA1	153
GML003001_mRNA1	122
GML003101_mRNA1	130
GML003201_mRNA1	547
GML003301_mRNA1	303
GML003401_mRNA1	332
GML003501_mRNA1	432
GML003601_mRNA1	299
GML003701_mRNA1	163
GML003801_mRNA1	227
GML003901_mRNA1	502
GML004001_mRNA1	499
GML004101_mRNA1	34
GML004201_mRNA1	847
GML004301_mRNA1	497
GML004401_mRNA1	296
GML004501_mRNA1	152
GML004601_mRNA1	345
GML004701_mRNA1	385
GML004801_mRNA1	397
GML004901_mRNA1	413
GML005001_mRNA1	492
GML005101_mRNA1	388
GML005201_mRNA1	474
GML005301_mRNA1	451
GML005401_mRNA1	243
GML005500_mRNA1	909
GML005601_mRNA1	185
GML005700_mRNA1	428
GML005801_mRNA1	1170
GML005901_mRNA1	358
GML006001_mRNA1	530
GML006101_mRNA1	493
GML006201_mRNA1	129
GML006301_mRNA1	353
GML006401_mRNA1	107
GML006501_mRNA1	342
GML006601_mRNA1	72
GML006701_mRNA1	99
GML006801_mRNA1	223
GML006901_mRNA1	1191
GML007001_mRNA1	124
GML007101_mRNA1	411
GML007201_mRNA1	1026
GML007301_mRNA1	589
GML007401_mRNA1	589
GML007501_mRNA1	565
GML007601_mRNA1	343
GML007701_mRNA1	1472
GML007801_mRNA1	684
GML007901_mRNA1	1839
GML008001_mRNA1	1520
GML008101_mRNA1	397
GML008201_mRNA1	253
GML008301_mRNA1	289
GML008401_mRNA1	451
GML008501_mRNA1	231
GML008601_mRNA1	511
GML008701_mRNA1	505
GML008801_mRNA1	400
GML008901_mRNA1	312
GML009001_mRNA1	217
GML009101_mRNA1	759
GML009201_mRNA1	291
GML009301_mRNA1	433
GML009401_mRNA1	312
GML009501_mRNA1	250
GML009601_mRNA1	145
GML009701_mRNA1	627
GML009801_mRNA1	337
GML009901_mRNA1	261
GML010001_mRNA1	130
GML010101_mRNA1	341
GML010201_mRNA1	719
GML010301_mRNA1	265
GML010401_mRNA1	812
GML010501_mRNA1	567
GML010601_mRNA1	144
GML010701_mRNA1	124
GML010801_mRNA1	344
GML010901_mRNA1	315
GML011001_mRNA1	180
GML011101_mRNA1	150
GML011201_mRNA1	277
GML011301_mRNA1	410
GML011401_mRNA1	367
GML011501_mRNA1	304
GML011601_mRNA1	634
GML011701_mRNA1	177
GML011801_mRNA1	486
GML011901_mRNA1	117
GML012001_mRNA1	684
GML012101_mRNA1	849
GML012201_mRNA1	124
GML012301_mRNA1	299
GML012401_mRNA1	342
GML012501_mRNA1	298
GML012601_mRNA1	194
GML012701_mRNA1	407
GML012801_mRNA1	223
GML012901_mRNA1	535
GML013001_mRNA1	339
GML013101_mRNA1	221
GML013201_mRNA1	414
GML013301_mRNA1	488
GML013401_mRNA1	1387
GML013501_mRNA1	247
GML013601_mRNA1	1518
GML013701_mRNA1	564
GML013801_mRNA1	320
GML013901_mRNA1	618
GML014001_mRNA1	86
GML014101_mRNA1	613
GML014201_mRNA1	270
GML014301_mRNA1	320
GML014401_mRNA1	338
GML014501_mRNA1	342
GML014601_mRNA1	56
GML014701_mRNA1	519
GML014801_mRNA1	264
GML014901_mRNA1	321
GML015001_mRNA1	525
GML015101_mRNA1	55
GML015201_mRNA1	84
GML015301_mRNA1	218
GML015401_mRNA1	397
GML015501_mRNA1	221
GML015601_mRNA1	600
GML015701_mRNA1	301
GML015801_mRNA1	1051
GML015901_mRNA1	435
GML016001_mRNA1	234
GML016101_mRNA1	187
GML016201_mRNA1	523
GML016301_mRNA1	507
