gene_id	pfam_ids	go_ids	bin_id
gene-RCC_11545		NA	100
gene-RCC_11543	PF01328.23	GO:0004601	8
gene-RCC_11544		NA	100
gene-RCC_11541	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
gene-RCC_11542	PF01915.28,PF14310.13	GO:0004553,GO:0005975	8
gene-RCC_11539	PF00646.39,PF08755.17,PF12937.13,PF13369.13	GO:0003677,GO:0005515	4
gene-RCC_11540	PF00650.26,PF03765.22	NA	100
gene-RCC_10313		NA	100
gene-RCC_10314	PF01991.24	GO:0033178,GO:0046961,GO:1902600	6
gene-RCC_10315	PF05653.21	GO:0015095,GO:0015693,GO:0016020	6
gene-RCC_10316	PF26163.1	GO:0003735	4
gene-RCC_10317	PF01926.30,PF08153.18	GO:0005525	100
gene-RCC_10318	PF00580.28,PF13245.13,PF13361.13,PF13538.13	GO:0005524,GO:0016787	8
gene-RCC_10319	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-RCC_10320	PF09365.16	NA	100
gene-RCC_10321	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	GO:0003924,GO:0005525	8
gene-RCC_10322	PF02383.24	GO:0016791	8
gene-RCC_10323	PF30672.1	NA	100
gene-RCC_10324	PF07956.17	NA	100
gene-RCC_10325	PF00583.32	GO:0016747	8
gene-RCC_10326		NA	100
gene-RCC_10327		NA	100
gene-RCC_10328	PF00006.32,PF02874.30,PF22919.2	GO:0005524,GO:0046034,GO:1902600	6
gene-RCC_10329	PF02668.23	GO:0016491	8
gene-RCC_10330	PF07690.22	GO:0022857,GO:0055085	6
gene-RCC_10331	PF02269.23	GO:0006366	8
gene-RCC_10332		NA	100
gene-RCC_10333		NA	100
gene-RCC_10334	PF01491.23	GO:0008199,GO:0016226	100
gene-RCC_10335		NA	100
gene-RCC_10336	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-RCC_10337	PF02615.20	GO:0016491	8
gene-RCC_10338	PF00939.26,PF03105.25,PF03105.25,PF03600.23	GO:0016020,GO:0022857,GO:0055085	6
gene-RCC_10339	PF08738.16	NA	100
gene-RCC_10340		NA	100
gene-RCC_10341		NA	100
gene-RCC_10342	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-RCC_10343	PF04479.19	GO:0016020	100
gene-RCC_10344	PF00004.36,PF22942.2,PF23232.2	GO:0005524,GO:0016887	8
gene-RCC_10345		NA	100
gene-RCC_10346	PF01265.23	GO:0004408,GO:0005739	8
gene-RCC_10347		NA	100
gene-RCC_10348	PF00190.29	NA	100
gene-RCC_10349		NA	100
gene-RCC_10350		NA	100
gene-RCC_10351	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-RCC_10352		NA	100
gene-RCC_10353	PF00141.29	GO:0004601,GO:0006979,GO:0020037	3
gene-RCC_10354		NA	100
gene-RCC_10355	PF00248.28	NA	100
gene-RCC_10356	PF28221.1,PF29327.1	NA	100
gene-RCC_10357		NA	100
gene-RCC_10358		NA	100
gene-RCC_10359	PF00248.28	NA	100
gene-RCC_10360	PF00288.33,PF18376.7,PF22700.3	GO:0005524	100
gene-RCC_10361	PF00462.31	NA	100
gene-RCC_10362		NA	100
gene-RCC_10363		NA	100
gene-RCC_10364	PF03959.20	NA	100
gene-RCC_10366	PF00106.32,PF00108.30,PF00109.33,PF00109.33,PF00550.32,PF00698.27,PF00698.27,PF02801.29,PF02801.29,PF08659.17,PF14765.13,PF16197.12,PF16197.12,PF21089.4,PF22621.3,PF22621.3,PF23114.1,PF23297.2	GO:0016747	8
gene-RCC_10367	PF02441.26	GO:0003824	8
gene-RCC_10368	PF24535.2	NA	100
gene-RCC_10369		NA	100
gene-RCC_10370	PF00076.29	GO:0003723	4
gene-RCC_10371	PF00789.27	GO:0005515	100
gene-RCC_10372	PF00635.33	NA	100
gene-RCC_10373		NA	100
gene-RCC_10374	PF04910.21	NA	100
gene-RCC_10375		NA	100
gene-RCC_10376	PF00578.28,PF08534.17	GO:0016209,GO:0016491	8
gene-RCC_10377	PF01490.25	NA	100
gene-RCC_10379	PF01485.28	GO:0008270	100
gene-RCC_10380	PF04564.22,PF10408.15	GO:0000151,GO:0004842,GO:0006511,GO:0016567,GO:0034450	5
gene-RCC_10381	PF01535.27	NA	100
gene-RCC_10382	PF13741.13,PF13741.13	GO:0003735,GO:0005763	4
gene-RCC_10383	PF04847.19	GO:0019722	3
gene-RCC_10384	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF23769.2	GO:0005515	100
gene-RCC_10385		NA	100
gene-RCC_10386	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-RCC_10387		NA	100
gene-RCC_10388	PF08161.19,PF25772.1	NA	100
gene-RCC_10389	PF01776.23	GO:0003735,GO:0005840,GO:0006412	4
gene-RCC_10390	PF01217.27	NA	100
gene-RCC_10391		NA	100
gene-RCC_10392		NA	100
gene-RCC_10393		NA	100
gene-RCC_10394	PF08539.17	NA	100
gene-RCC_10395	PF00566.26,PF23436.2	NA	100
gene-RCC_10396		NA	100
gene-RCC_10397	PF00290.27,PF00291.32	GO:0004834,GO:0006568	8
gene-RCC_10398	PF01170.25,PF01170.25,PF25904.1,PF25904.1	NA	100
gene-RCC_10401	PF01266.31	NA	100
gene-RCC_10402		NA	100
gene-RCC_10403		NA	100
gene-RCC_10404	PF00208.28,PF02812.24	GO:0006520,GO:0016491	8
gene-RCC_10405		NA	100
gene-RCC_10406	PF30922.1	NA	100
gene-RCC_10407		NA	100
gene-RCC_10408		NA	100
gene-RCC_10409	PF08432.16	NA	100
gene-RCC_10410	PF00206.26,PF14698.12	NA	100
gene-RCC_10411	PF01040.24	GO:0016020,GO:0016765	8
gene-RCC_10412	PF02373.29,PF10497.15	NA	100
gene-RCC_10413	PF09159.17	NA	100
gene-RCC_10414	PF01490.25	NA	100
gene-RCC_10415	PF00626.28,PF04810.21,PF04811.22,PF04815.21,PF08033.18	GO:0006886,GO:0006888,GO:0008270,GO:0030127	6
gene-RCC_10416	PF01226.25	GO:0016020,GO:0022857,GO:0055085	6
gene-RCC_10417	PF12855.13	NA	100
