gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002		NA	100
GML000003		NA	100
GML000004	PF00743.26,PF00743.26,PF07992.21,PF07992.21,PF13434.13,PF13434.13,PF13738.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
GML000005		NA	100
GML000006	PF01757.29,PF01757.29	GO:0016747	8
GML000007	PF11380.14,PF17101.11	GO:0016772	8
GML000008		NA	100
GML000009	PF02537.22,PF02537.22	GO:0016020	100
GML000010	PF00156.34,PF14681.13	NA	100
GML000011	PF01068.27,PF04675.20,PF04679.22,PF09414.16,PF16589.13	GO:0003677,GO:0003910,GO:0005524,GO:0006281,GO:0006310	3
GML000012	PF05970.21,PF05970.21,PF13245.13,PF13245.13,PF13401.13,PF13401.13,PF13604.13,PF13604.13,PF21530.4,PF21530.4	GO:0000723,GO:0003678,GO:0006281,GO:0016887	3
GML000013		NA	100
GML000014	PF03853.22,PF03853.22,PF09532.16,PF09532.16	NA	100
GML000015	PF12311.14	NA	100
GML000016	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
GML000017	PF20150.5,PF20150.5	NA	100
GML000018	PF07969.18,PF07969.18	NA	100
GML000019	PF02492.26,PF02492.26,PF07683.20	NA	100
GML000020	PF07971.19,PF07971.19,PF17678.8,PF17678.8	NA	100
GML000021	PF00890.31,PF01494.26,PF13450.13	GO:0071949	100
GML000022	PF06985.18,PF06985.18	NA	100
GML000023	PF03446.22,PF03807.24,PF20463.4,PF27505.2	GO:0050661	100
GML000024	PF00415.25,PF00415.25,PF13540.13,PF13540.13	NA	100
GML000025	PF04139.19	GO:0000077,GO:0030896	3
GML000026		NA	100
GML000027		NA	100
GML000028	PF00245.26	GO:0016791	8
GML000029	PF30553.1,PF30553.1	NA	100
GML000030		NA	100
GML000031		NA	100
GML000032		NA	100
GML000033	PF00891.25,PF00891.25,PF08100.19,PF08100.19	GO:0008171,GO:0046983	8
GML000034	PF14479.12,PF14479.12	NA	100
GML000035		NA	100
GML000036		NA	100
GML000037		NA	100
GML000038	PF01565.29,PF01565.29	GO:0050660	100
GML000039	PF00128.32	GO:0005975	8
GML000040	PF06985.18,PF26639.1	NA	100
GML000041	PF00400.39,PF00400.39,PF12265.15	GO:0005515	100
GML000042	PF12224.14	NA	100
GML000043	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
GML000044	PF03464.21,PF03465.21,PF26356.1	NA	100
GML000045	PF00248.28	NA	100
GML000046	PF00920.28,PF00920.28,PF24877.2,PF24877.2	NA	100
GML000047	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000048	PF10282.16	NA	100
GML000049	PF13460.13	NA	100
GML000050	PF00722.29	GO:0004553,GO:0005975	8
GML000051	PF00293.35	NA	100
GML000052	PF00249.38,PF13921.13	NA	100
GML000053		NA	100
GML000054	PF01546.34,PF07687.20	GO:0016787	8
GML000055	PF07690.22	GO:0022857,GO:0055085	6
GML000056		NA	100
GML000057	PF07995.18,PF07995.18	NA	100
GML000058	PF07859.20,PF10340.16,PF20434.6	GO:0016787	8
GML000059		NA	100
GML000060	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000061		NA	100
GML000062		NA	100
GML000063	PF09349.16	NA	100
GML000064	PF08606.17,PF12894.14	NA	100
GML000065		NA	100
GML000066	PF01494.26,PF01494.26,PF01494.26	GO:0071949	100
GML000067	PF24809.2	NA	100
GML000068	PF00004.36,PF23232.2	GO:0005524,GO:0016887	8
GML000069	PF01494.26,PF01494.26,PF07976.20,PF07976.20	GO:0071949	100
GML000070	PF00854.28,PF00854.28,PF00854.28,PF00854.28,PF00854.28,PF00854.28	GO:0016020,GO:0022857,GO:0055085	6
GML000071	PF27599.1	NA	100
GML000072	PF01266.31	NA	100
GML000073	PF10017.16,PF10017.16	NA	100
GML000074	PF00266.26,PF00501.35,PF00550.32,PF01370.28,PF07993.19,PF16363.12	NA	100
GML000075	PF06985.18	NA	100
GML000076	PF00106.32,PF00106.32,PF08659.17,PF08659.17	NA	100
GML000077	PF01565.29	GO:0050660	100
GML000078	PF00501.35,PF00550.32,PF01370.28,PF07993.19,PF23562.3	NA	100
GML000079		NA	100
GML000080	PF00026.29,PF00026.29,PF14543.12,PF14543.12	NA	100
GML000081	PF05368.20,PF13460.13	NA	100
GML000082		NA	100
GML000083	PF01565.29,PF01565.29	GO:0050660	100
GML000084	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
GML000085	PF01593.31,PF13450.13	GO:0016491	8
GML000086	PF27671.1	NA	100
GML000087		NA	100
GML000088	PF04082.24,PF04082.24,PF31024.1,PF31024.1	GO:0003677,GO:0006351,GO:0008270	4
GML000089		NA	100
GML000090	PF02826.26,PF02826.26	GO:0051287	100
GML000091	PF06172.18	NA	100
GML000092	PF01266.31,PF13450.13	NA	100
GML000093	PF00787.30	GO:0035091	100
GML000094	PF09044.16	GO:0005576	100
GML000095	PF09044.16	GO:0005576	100
GML000096		NA	100
GML000097	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000098	PF04616.21,PF04616.21	GO:0004553,GO:0005975	8
GML000099	PF00709.28,PF00709.28,PF00709.28,PF00709.28,PF00709.28,PF00709.28,PF00709.28,PF00709.28	GO:0000166,GO:0004019,GO:0006164	8
GML000100	PF16541.11	NA	100
GML000101	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
GML000102	PF00069.32,PF00069.32,PF00069.32,PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
GML000103		NA	100
GML000104		NA	100
GML000105		NA	100
GML000106	PF00069.32,PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
GML000107		NA	100
GML000108	PF00307.37,PF03271.23	GO:0005515,GO:0008017	7
GML000109	PF00108.30,PF00108.30,PF00109.33,PF00109.33,PF00550.32,PF00550.32,PF00698.27,PF00698.27,PF01370.28,PF01370.28,PF02801.29,PF02801.29,PF07993.19,PF07993.19,PF08241.19,PF08241.19,PF08242.19,PF08242.19,PF13649.13,PF13649.13,PF16073.11,PF16073.11,PF18558.9,PF18558.9	GO:0008757,GO:0016747	8
