protein_id	length
rna-XM_007787227.1	160
rna-XM_007787327.1	183
rna-XM_007787427.1	608
rna-XM_007787527.1	336
rna-XM_007787627.1	498
rna-XM_007787727.1	554
rna-XM_007787827.1	459
rna-XM_007787927.1	319
rna-XM_007788027.1	541
rna-XM_007788127.1	271
rna-XM_007788227.1	259
rna-XM_007788327.1	176
rna-XM_007788427.1	144
rna-XM_007788527.1	389
rna-XM_007788627.1	502
rna-XM_007788727.1	1053
rna-XM_007788827.1	320
rna-XM_007788927.1	237
rna-XM_007789027.1	428
rna-XM_007789127.1	136
rna-XM_007789227.1	935
rna-XM_007789327.1	227
rna-XM_007789427.1	589
rna-XM_007789527.1	359
rna-XM_007789627.1	381
rna-XM_007789727.1	244
rna-XM_007801512.1	161
rna-XM_007801612.1	83
rna-XM_007801712.1	421
rna-XM_007801812.1	143
rna-XM_007801912.1	460
rna-XM_007802012.1	986
rna-XM_007802112.1	429
rna-XM_007802212.1	420
rna-XM_007802312.1	594
rna-XM_007802412.1	479
rna-XM_007802512.1	555
rna-XM_007802612.1	317
rna-XM_007802712.1	709
rna-XM_007802812.1	377
rna-XM_007802912.1	227
rna-XM_007803012.1	537
rna-XM_007803112.1	92
rna-XM_007803212.1	497
rna-XM_007803312.1	154
rna-XM_007803412.1	750
rna-XM_007803512.1	480
rna-XM_007803612.1	521
rna-XM_007803712.1	411
rna-XM_007803812.1	544
rna-XM_007803912.1	799
rna-XM_007804012.1	325
rna-XM_007804112.1	350
rna-XM_007804212.1	617
rna-XM_007804312.1	701
rna-XM_007804412.1	377
rna-XM_007804512.1	404
rna-XM_007804612.1	369
rna-XM_007804712.1	409
rna-XM_007804812.1	684
rna-XM_007804912.1	162
rna-XM_007805012.1	285
rna-XM_007805112.1	707
rna-XM_007805212.1	585
rna-XM_007805312.1	298
rna-XM_007805412.1	146
rna-XM_007805512.1	727
rna-XM_007805612.1	247
rna-XM_007805712.1	1191
rna-XM_007805812.1	492
rna-XM_007805912.1	424
rna-XM_007806012.1	225
rna-XM_007806112.1	1263
rna-XM_007806212.1	217
rna-XM_007806312.1	283
rna-XM_007806412.1	175
rna-XM_007806512.1	632
rna-XM_007806612.1	474
rna-XM_007806712.1	537
rna-XM_007806812.1	531
rna-XM_007806912.1	680
rna-XM_007807012.1	620
rna-XM_007807112.1	283
rna-XM_007807212.1	356
rna-XM_007807312.1	217
rna-XM_007807412.1	421
rna-XM_007807512.1	356
rna-XM_007807612.1	564
rna-XM_007807712.1	871
rna-XM_007807812.1	351
rna-XM_007807912.1	777
rna-XM_007808012.1	476
rna-XM_007808112.1	482
