gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-VTP21DRAFT_1	rna-XM_069389285.1		None	None
gene-VTP21DRAFT_2	rna-XM_069392145.1		None	None
gene-VTP21DRAFT_3	rna-XM_069393253.1	PF02655.20,PF07478.19,PF08241.19,PF08242.19,PF13649.13,PF13847.13	Complete	None
gene-VTP21DRAFT_4	rna-XM_069394361.1	PF00141.29	Partial	None
gene-VTP21DRAFT_5	rna-XM_069395472.1		None	None
gene-VTP21DRAFT_6	rna-XM_069396581.1	PF00534.27,PF13692.13,PF21269.4	Complete	None
gene-VTP21DRAFT_7	rna-XM_069397691.1		None	None
gene-VTP21DRAFT_8	rna-XM_069398802.1		None	None
gene-VTP21DRAFT_9	rna-XM_069399909.1		None	None
gene-VTP21DRAFT_10	rna-XM_069389286.1	PF10167.15	Partial	None
gene-VTP21DRAFT_11	rna-XM_069390396.1	PF30956.1	Partial	None
gene-VTP21DRAFT_12	rna-XM_069391260.1	PF00082.28,PF00082.28	Partial	None
gene-VTP21DRAFT_13	rna-XM_069391371.1	PF00892.27,PF06027.19	Partial	None
gene-VTP21DRAFT_14	rna-XM_069391482.1		None	None
gene-VTP21DRAFT_15	rna-XM_069391593.1	PF00933.28,PF01915.28,PF14310.13	Complete	None
gene-VTP21DRAFT_16	rna-XM_069391704.1		None	None
gene-VTP21DRAFT_17	rna-XM_069391815.1	PF01529.26	Complete	None
gene-VTP21DRAFT_18	rna-XM_069391925.1	PF14204.12,PF17144.10	Complete	None
gene-VTP21DRAFT_19	rna-XM_069392035.1	PF05383.24,PF26088.1	Complete	None
gene-VTP21DRAFT_20	rna-XM_069392146.1	PF09791.15	Partial	None
gene-VTP21DRAFT_21	rna-XM_069392257.1	PF03561.23,PF03561.23,PF04115.19	Complete	None
gene-VTP21DRAFT_22	rna-XM_069392368.1		None	None
gene-VTP21DRAFT_23	rna-XM_069392477.1		None	None
gene-VTP21DRAFT_24	rna-XM_069392588.1		None	None
gene-VTP21DRAFT_25	rna-XM_069392698.1		None	None
gene-VTP21DRAFT_26	rna-XM_069392809.1	PF00111.33,PF00941.28,PF01315.28,PF01799.26,PF02738.24,PF03450.23,PF20256.4	Complete	None
gene-VTP21DRAFT_27	rna-XM_069392920.1	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-VTP21DRAFT_28	rna-XM_069393031.1	PF00501.35,PF13193.13,PF16177.12	Complete	None
gene-VTP21DRAFT_29	rna-XM_069393142.1	PF09743.15,PF23659.2,PF25041.2	Complete	None
gene-VTP21DRAFT_30	rna-XM_069393254.1	PF01738.25	Partial	None
gene-VTP21DRAFT_31	rna-XM_069393365.1	PF10303.15	Partial	None
gene-VTP21DRAFT_32	rna-XM_069393476.1	PF04137.21	Partial	None
gene-VTP21DRAFT_33	rna-XM_069393587.1	PF05907.19	Partial	None
gene-VTP21DRAFT_34	rna-XM_069393698.1	PF03169.21	Partial	None
gene-VTP21DRAFT_35	rna-XM_069393809.1	PF03378.22,PF03810.26,PF08506.17	Partial	None
gene-VTP21DRAFT_36	rna-XM_069393919.1	PF00009.34,PF01926.30,PF11987.14,PF14578.13	Complete	None
gene-VTP21DRAFT_37	rna-XM_069394030.1	PF01398.27,PF14464.12,PF23594.2	Complete	None
gene-VTP21DRAFT_38	rna-XM_069394139.1	PF03343.19	Partial	None
gene-VTP21DRAFT_39	rna-XM_069394250.1		None	None
gene-VTP21DRAFT_40	rna-XM_069394362.1	PF00076.29,PF00076.29	Complete	None
gene-VTP21DRAFT_41	rna-XM_069394473.1	PF00380.26	Partial	None
gene-VTP21DRAFT_42	rna-XM_069394584.1	PF01423.29	Partial	None
gene-VTP21DRAFT_43	rna-XM_069394695.1	PF00632.31	Complete	None
gene-VTP21DRAFT_44	rna-XM_069394806.1		None	None
gene-VTP21DRAFT_45	rna-XM_069394917.1	PF08768.18	Partial	None
gene-VTP21DRAFT_46	rna-XM_069395028.1	PF00400.39,PF00400.39,PF00400.39,PF17120.12	Complete	None
gene-VTP21DRAFT_47	rna-XM_069395139.1	PF04137.21	Partial	None
gene-VTP21DRAFT_48	rna-XM_069395250.1	PF00789.27,PF14555.13,PF22566.3	Complete	None
gene-VTP21DRAFT_49	rna-XM_069395361.1		None	None
gene-VTP21DRAFT_50	rna-XM_069395473.1		None	None
gene-VTP21DRAFT_51	rna-XM_069395584.1	PF10342.16	Partial	None
gene-VTP21DRAFT_52	rna-XM_069395694.1	PF00568.30,PF00786.34	Complete	None
gene-VTP21DRAFT_53	rna-XM_069395805.1		None	None
gene-VTP21DRAFT_54	rna-XM_069395916.1	PF00096.33,PF00096.33,PF13894.13	Complete	None
gene-VTP21DRAFT_55	rna-XM_069396027.1		None	None
gene-VTP21DRAFT_56	rna-XM_069396138.1		None	None
gene-VTP21DRAFT_57	rna-XM_069396249.1	PF08613.17	Partial	None
gene-VTP21DRAFT_58	rna-XM_069396360.1		None	None
gene-VTP21DRAFT_59	rna-XM_069396470.1		None	None
gene-VTP21DRAFT_60	rna-XM_069396582.1		None	None
gene-VTP21DRAFT_61	rna-XM_069396693.1		None	None
gene-VTP21DRAFT_62	rna-XM_069396803.1	PF01474.23	Partial	None
gene-VTP21DRAFT_63	rna-XM_069396914.1	PF00069.32,PF07714.24	Partial	None
gene-VTP21DRAFT_64	rna-XM_069397025.1	PF03366.23,PF20305.5	Partial	None
gene-VTP21DRAFT_65	rna-XM_069397136.1		None	None
gene-VTP21DRAFT_66	rna-XM_069397247.1	PF00400.39	Partial	None
gene-VTP21DRAFT_67	rna-XM_069397358.1	PF00018.35,PF03114.24,PF07653.24,PF14604.13	Complete	None
gene-VTP21DRAFT_68	rna-XM_069397469.1	PF00733.28,PF00733.28,PF12481.14,PF13522.13,PF13537.12	Partial	None
gene-VTP21DRAFT_69	rna-XM_069397580.1		None	None
gene-VTP21DRAFT_70	rna-XM_069397692.1		None	None
gene-VTP21DRAFT_71	rna-XM_069397803.1	PF00172.24,PF00172.24	Complete	None
gene-VTP21DRAFT_72	rna-XM_069397914.1	PF10342.16	Partial	None
gene-VTP21DRAFT_73	rna-XM_069398025.1	PF00447.24	Partial	None
gene-VTP21DRAFT_74	rna-XM_069398136.1	PF01105.30	Partial	None
gene-VTP21DRAFT_75	rna-XM_069398247.1	PF01715.24,PF01745.23	Partial	None
gene-VTP21DRAFT_76	rna-XM_069398358.1		None	None
gene-VTP21DRAFT_77	rna-XM_069398469.1	PF00069.32,PF03109.23,PF07714.24,PF14531.13,PF17667.8	Partial	None
gene-VTP21DRAFT_78	rna-XM_069398580.1	PF03134.25	Partial	None
gene-VTP21DRAFT_t5	gene-VTP21DRAFT_t5		None	None
gene-VTP21DRAFT_79	rna-XM_069398691.1		None	None
gene-VTP21DRAFT_80	rna-XM_069398803.1	PF00043.31,PF14497.12	Partial	None
gene-VTP21DRAFT_81	rna-XM_069398913.1	PF30956.1	Partial	None
gene-VTP21DRAFT_82	rna-XM_069399024.1		None	None
gene-VTP21DRAFT_83	rna-XM_069399134.1	PF00179.32	Partial	None
gene-VTP21DRAFT_84	rna-XM_069399245.1	PF05129.19	Partial	None
gene-VTP21DRAFT_85	rna-XM_069399356.1	PF01852.26,PF18564.8	Complete	None
gene-VTP21DRAFT_86	rna-XM_069399467.1	PF00005.34,PF00664.29,PF16185.11	Complete	None
gene-VTP21DRAFT_87	rna-XM_069399578.1	PF00173.34	Partial	None
gene-VTP21DRAFT_88	rna-XM_069399689.1		None	None
gene-VTP21DRAFT_89	rna-XM_069399799.1	PF00010.32	Complete	None
gene-VTP21DRAFT_90	rna-XM_069399910.1		None	None
gene-VTP21DRAFT_91	rna-XM_069400019.1		None	None
gene-VTP21DRAFT_92	rna-XM_069400130.1	PF01198.25	Partial	None
gene-VTP21DRAFT_93	rna-XM_069400241.1	PF13840.13,PF13840.13	Complete	None
gene-VTP21DRAFT_94	rna-XM_069400351.1	PF09631.17	Partial	None
gene-VTP21DRAFT_95	rna-XM_069400462.1	PF06423.19	Partial	None
gene-VTP21DRAFT_96	rna-XM_069400573.1	PF01566.26	Partial	None
gene-VTP21DRAFT_97	rna-XM_069400675.1	PF00248.28	Partial	None
gene-VTP21DRAFT_98	rna-XM_069400785.1	PF00566.26,PF23436.2	Complete	None
gene-VTP21DRAFT_99	rna-XM_069400896.1	PF00501.35	Partial	None
gene-VTP21DRAFT_100	rna-XM_069389287.1	PF00501.35	Partial	None
gene-VTP21DRAFT_101	rna-XM_069389398.1	PF00344.26,PF10559.15	Partial	None
gene-VTP21DRAFT_102	rna-XM_069389509.1	PF08241.19,PF13489.13,PF13649.13,PF13847.13	Partial	None
gene-VTP21DRAFT_103	rna-XM_069389620.1	PF00254.35,PF17800.8	Complete	None
gene-VTP21DRAFT_104	rna-XM_069389731.1	PF02157.22,PF09451.17	Partial	None
