protein_id	length
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA611492	245
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA4279	1022
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA612359	295
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA668793	2628
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA613299	1292
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA668980	560
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA614124	568
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA33293	262
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA37613	165
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA44586	144
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA662806	526
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA616522	119
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA616887	418
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA617236	600
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA669787	133
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA677394	184
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA80689	528
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA681869	819
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA667629	667
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA677744	484
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA682349	536
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA677932	539
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA111211	819
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA115749	203
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA678213	103
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA678307	98
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA668025	686
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA136796	337
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA141326	133
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA660588	1328
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA660859	413
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA154527	509
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA661477	224
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA669842	232
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA663111	549
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA171059	538
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA663226	316
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA619429	433
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA185418	119
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA670385	428
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA197794	787
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA204137	210
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA663556	829
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA214173	871
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA622590	829
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA226283	759
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA231497	294
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA671093	462
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA661812	162
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA662100	603
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA251613	204
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA256520	455
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA687247	178
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA268597	138
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA626196	163
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA687754	408
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA671756	648
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA627466	356
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA664309	1090
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA297977	214
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA303203	265
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA664475	1109
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA629573	157
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA316125	336
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA630257	644
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA326395	420
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA672635	417
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA672732	363
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA664840	319
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA632580	368
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA672992	378
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA673069	120
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA368413	1031
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA634457	731
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA690889	354
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA635491	636
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA390635	386
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA691623	644
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA673729	336
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA673815	522
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA692188	422
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA416969	441
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA423406	204
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA428991	375
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA432835	417
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA665747	123
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA442977	959
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA640701	157
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA641304	346
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA459881	855
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA465084	84
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA674892	217
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA643150	331
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA484365	230
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA489175	134
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA644520	302
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA644915	908
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA675434	293
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA645800	828
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA646159	117
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA675701	209
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA646871	978
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA675896	273
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA666669	1149
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA648180	802
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA696175	533
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA649069	502
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA554511	404
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA560566	293
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA650290	578
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA569521	423
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA651242	449
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA579842	1157
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA676895	148
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA590462	610
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA595435	160
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA601214	121
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA667415	281
rna-gnl|WGS:JAJKLG|GGR56DRAFT_mRNA654168	483
