gene_id	pfam_ids	go_ids	bin_id
GML000001	PF01820.28,PF01820.28,PF02222.28,PF02222.28,PF02786.23,PF02786.23,PF07478.19,PF07478.19	GO:0005524,GO:0008716	8
GML000002	PF00022.27	NA	100
GML000003	PF28490.2,PF28490.2,PF28490.2	NA	100
GML000004		NA	100
GML000005	PF00075.31,PF00075.31,PF01693.24,PF01693.24	GO:0003676,GO:0004523	1
GML000006	PF00621.26,PF28623.1	GO:0005085	100
GML000007		NA	100
GML000008		NA	100
GML000009		NA	100
GML000010	PF01261.31	NA	100
GML000011	PF06888.19	GO:0016791	8
GML000012	PF13238.13,PF13238.13	NA	100
GML000013	PF00026.29,PF00026.29,PF00026.29,PF00026.29	NA	100
GML000014	PF00227.32,PF00227.32,PF10584.15,PF10584.15	GO:0005839,GO:0006511,GO:0019773,GO:0030163	8
GML000015	PF10075.16	NA	100
GML000016		NA	100
GML000017	PF06011.18,PF06011.18,PF14558.12,PF14558.12	NA	100
GML000018	PF00227.32	GO:0005839,GO:0030163	8
GML000019	PF00328.28,PF08443.17,PF18086.8	NA	100
GML000020	PF00493.30,PF01078.28,PF14551.12,PF17207.10,PF17855.8,PF18263.8	GO:0003677,GO:0005524	4
GML000021		NA	100
GML000022	PF00578.28,PF08534.17,PF10417.15	GO:0016209,GO:0016491,GO:0051920	8
GML000023	PF00076.29,PF00076.29	GO:0003723	4
GML000024	PF00561.27,PF00561.27,PF00561.27,PF00561.27,PF01501.27,PF01501.27,PF12146.16,PF12146.16,PF12146.16,PF12146.16,PF12697.14,PF12697.14,PF12697.14,PF12697.14	GO:0016757	8
GML000025		NA	100
GML000026	PF01501.27,PF01501.27,PF01501.27	GO:0016757	8
GML000027	PF01912.25	GO:0042256,GO:0043022	100
GML000028	PF04051.22,PF04051.22	NA	100
GML000029	PF02146.24,PF02146.24,PF02146.24,PF02146.24	GO:0070403	100
GML000030	PF00172.24,PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000031	PF00728.29,PF00728.29,PF00728.29,PF00728.29,PF18088.8,PF18088.8,PF18088.8,PF18088.8	GO:0004553,GO:0005975	8
GML000032	PF00175.27,PF00258.31,PF00667.27	GO:0010181,GO:0016491	8
GML000033	PF03997.18,PF03997.18	GO:0000813,GO:0032509	6
GML000034		NA	100
GML000035		NA	100
GML000036	PF01156.25,PF01156.25	GO:0016799	8
GML000037		NA	100
GML000038	PF00995.29	GO:0016192	6
GML000039		NA	100
GML000040		NA	100
GML000041	PF05158.19,PF05158.19,PF05158.19,PF05158.19	GO:0005666,GO:0006383	8
GML000042	PF01138.28	NA	100
GML000043	PF10496.15	NA	100
GML000044	PF00587.31,PF03129.26	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
GML000045	PF00817.26,PF00817.26,PF00817.26,PF00817.26	GO:0006281	3
GML000046	PF03097.25	NA	100
GML000047	PF00156.34,PF13793.13,PF14572.13	GO:0000287,GO:0009165	8
GML000048	PF03657.21,PF17833.8	NA	100
GML000049		NA	100
GML000050	PF00155.28,PF00155.28	GO:0009058,GO:0030170	8
GML000051		NA	100
GML000052	PF10342.16,PF10342.16	NA	100
GML000053	PF10294.16,PF10294.16	NA	100
GML000054	PF03645.20,PF03645.20	NA	100
GML000055	PF01135.26,PF01135.26,PF01728.26,PF01728.26,PF02353.27,PF02353.27,PF06325.20,PF06325.20,PF08241.19,PF08241.19,PF13489.13,PF13489.13,PF13649.13,PF13649.13,PF13847.13,PF13847.13,PF22528.2,PF22528.2	GO:0008168,GO:0008757,GO:0032259	8
GML000056	PF07859.20,PF07859.20,PF07859.20,PF07859.20	GO:0016787	8
GML000057	PF00069.32,PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000058	PF00246.30,PF00246.30,PF00246.30,PF00246.30	GO:0004181,GO:0006508,GO:0008270	5
GML000059	PF00755.26	NA	100
GML000060	PF00025.28,PF00503.27	GO:0003924,GO:0005525,GO:0007186,GO:0019001,GO:0031683	3
GML000061		NA	100
GML000062		NA	100
GML000063	PF01926.30,PF01926.30,PF04670.19,PF04670.19	GO:0005525	100
GML000064	PF08647.18,PF08647.18,PF08647.18,PF08647.18,PF26095.1,PF26095.1	NA	100
GML000065	PF00128.32	GO:0005975	8
GML000066	PF00581.26	NA	100
GML000067	PF00107.33,PF00107.33,PF00107.33,PF00107.33,PF01262.28,PF08240.18,PF08240.18,PF08240.18	NA	100
GML000068	PF07960.17	NA	100
GML000069	PF08638.17	NA	100
GML000070	PF00107.33,PF08240.18,PF13602.13	NA	100
GML000071	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000072		NA	100
GML000073	PF00027.36,PF00027.36,PF00027.36,PF02197.23	NA	100
GML000074	PF13855.13,PF14580.13	GO:0005515	100
GML000075	PF00176.30,PF00176.30,PF00176.30,PF00270.36,PF00270.36,PF00270.36,PF00271.38,PF00271.38,PF00271.38,PF00385.31,PF00385.31,PF00385.31,PF04851.22,PF04851.22,PF04851.22,PF11496.15,PF11496.15,PF11496.15,PF13907.12,PF13907.12,PF13907.12,PF18196.8,PF18196.8,PF18196.8,PF23588.3,PF23588.3,PF23588.3	GO:0003676,GO:0003677,GO:0005524,GO:0016787,GO:0070823	4
GML000076	PF03707.22,PF31008.1	NA	100
GML000077	PF01871.23	NA	100
GML000078	PF00291.32,PF00585.25,PF00585.25	NA	100
GML000079		NA	100
GML000080	PF03208.25	NA	100
GML000081		NA	100
GML000082		NA	100
GML000083		NA	100
GML000084	PF12678.14,PF12861.14	GO:0005680,GO:0008270,GO:0031145,GO:0061630,GO:0097602	5
GML000085	PF01513.27,PF20143.5	GO:0006741	8
GML000086		NA	100
GML000087		NA	100
GML000088	PF00175.27,PF00667.27	GO:0016491	8
GML000089	PF01467.33	GO:0003824,GO:0009058	8
GML000090	PF03357.27,PF03357.27	GO:0007034	6
