gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-K488DRAFT_39480	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA39480	PF00923.26	Partial	None
gene-K488DRAFT_81338	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA81338	PF06964.19,PF22848.3	Complete	None
gene-K488DRAFT_81339	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA81339	PF06964.19,PF22848.3	Complete	None
gene-K488DRAFT_81340	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA81340		None	None
gene-K488DRAFT_34327	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA34327		None	None
gene-K488DRAFT_39517	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA39517		None	None
gene-K488DRAFT_39474	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA39474		None	None
gene-K488DRAFT_81342	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA81342	PF04614.18	Partial	None
gene-K488DRAFT_39629	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA39629		None	None
gene-K488DRAFT_39559	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA39559	PF27892.1	Complete	None
gene-K488DRAFT_81345	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA81345	PF00083.31,PF07690.22	Partial	None
gene-K488DRAFT_67031	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA67031	PF06026.21	Partial	None
gene-K488DRAFT_39654	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA39654	PF06026.21	Partial	None
gene-K488DRAFT_75459	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA75459	PF07250.18,PF09118.18	Complete	None
gene-K488DRAFT_75460	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA75460	PF03619.23	Partial	None
gene-K488DRAFT_75461	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA75461	PF01937.25	Partial	None
gene-K488DRAFT_t8	gene-K488DRAFT_t8		None	None
gene-K488DRAFT_19101	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA19101	PF09531.16	Partial	None
gene-K488DRAFT_75463	rna-gnl|WGS:JAFLMW|K488DRAFT_mRNA75463	PF01876.24	Partial	None
