protein_id	length
rna-gnl|WGS:JANHCV|H9P43_000062-T1_mrna	93
rna-gnl|WGS:JANHCV|H9P43_000163-T1_mrna	869
rna-gnl|WGS:JANHCV|H9P43_000263-T1_mrna	256
rna-gnl|WGS:JANHCV|H9P43_000363-T1_mrna	1048
rna-gnl|WGS:JANHCV|H9P43_000468-T1_mrna	874
rna-gnl|WGS:JANHCV|H9P43_000569-T1_mrna	1676
rna-gnl|WGS:JANHCV|H9P43_000671-T1_mrna	1309
rna-gnl|WGS:JANHCV|H9P43_000772-T1_mrna	389
rna-gnl|WGS:JANHCV|H9P43_000874-T1_mrna	751
rna-gnl|WGS:JANHCV|H9P43_000974-T1_mrna	194
rna-gnl|WGS:JANHCV|H9P43_001074-T1_mrna	362
rna-gnl|WGS:JANHCV|H9P43_001174-T1_mrna	402
rna-gnl|WGS:JANHCV|H9P43_001274-T1_mrna	850
rna-gnl|WGS:JANHCV|H9P43_001374-T1_mrna	493
rna-gnl|WGS:JANHCV|H9P43_001474-T1_mrna	712
rna-gnl|WGS:JANHCV|H9P43_001574-T1_mrna	2000
rna-gnl|WGS:JANHCV|H9P43_001674-T1_mrna	138
rna-gnl|WGS:JANHCV|H9P43_001775-T1_mrna	237
rna-gnl|WGS:JANHCV|H9P43_001875-T1_mrna	278
rna-gnl|WGS:JANHCV|H9P43_007506-T1_mrna	369
rna-gnl|WGS:JANHCV|H9P43_007607-T1_mrna	604
rna-gnl|WGS:JANHCV|H9P43_007707-T1_mrna	162
rna-gnl|WGS:JANHCV|H9P43_007807-T1_mrna	116
rna-gnl|WGS:JANHCV|H9P43_007908-T1_mrna	290
rna-gnl|WGS:JANHCV|H9P43_008008-T1_mrna	229
rna-gnl|WGS:JANHCV|H9P43_008120-T1_mrna	621
rna-gnl|WGS:JANHCV|H9P43_008242-T1_mrna	335
rna-gnl|WGS:JANHCV|H9P43_008350-T1_mrna	174
rna-gnl|WGS:JANHCV|H9P43_008450-T1_mrna	136
rna-gnl|WGS:JANHCV|H9P43_008552-T1_mrna	101
rna-gnl|WGS:JANHCV|H9P43_008653-T1_mrna	423
rna-gnl|WGS:JANHCV|H9P43_008753-T1_mrna	199
