protein_id	length
GML000001_mRNA1	541
GML000101_mRNA1	425
GML000201_mRNA1	606
GML000301_mRNA1	311
GML000401_mRNA1	1033
GML000501_mRNA1	213
GML000601_mRNA1	202
GML000701_mRNA1	363
GML000801_mRNA1	288
GML000901_mRNA1	257
GML001001_mRNA1	591
GML001101_mRNA1	572
GML001201_mRNA1	303
GML001301_mRNA1	151
GML001401_mRNA1	552
GML001501_mRNA1	416
GML001601_mRNA1	589
GML001701_mRNA1	130
GML001801_mRNA1	148
GML001901_mRNA1	229
GML002001_mRNA1	236
GML002101_mRNA1	681
GML002201_mRNA1	109
GML002301_mRNA1	623
GML002401_mRNA1	393
GML002501_mRNA1	273
GML002601_mRNA1	955
GML002701_mRNA1	530
GML002801_mRNA1	445
GML002901_mRNA1	946
GML003001_mRNA1	210
GML003101_mRNA1	663
GML003201_mRNA1	75
GML003301_mRNA1	199
GML003401_mRNA1	640
GML003501_mRNA1	575
GML003601_mRNA1	114
GML003701_mRNA1	3980
GML003801_mRNA1	188
GML003901_mRNA1	492
GML004001_mRNA1	622
GML004101_mRNA1	245
GML004201_mRNA1	150
GML004301_mRNA1	549
GML004401_mRNA1	577
GML004501_mRNA1	239
GML004601_mRNA1	388
GML004701_mRNA1	410
GML004801_mRNA1	438
GML004901_mRNA1	136
GML005001_mRNA1	292
GML005101_mRNA1	427
GML005201_mRNA1	335
GML005301_mRNA1	628
GML005401_mRNA1	486
GML005501_mRNA1	402
GML005601_mRNA1	1103
GML005701_mRNA1	587
GML005801_mRNA1	570
GML005901_mRNA1	230
GML006001_mRNA1	442
GML006101_mRNA1	389
GML006201_mRNA1	808
GML006301_mRNA1	634
GML006401_mRNA1	638
GML006501_mRNA1	339
GML006601_mRNA1	1038
GML006701_mRNA1	742
GML006801_mRNA1	296
GML006901_mRNA1	646
GML007001_mRNA1	104
GML007101_mRNA1	216
GML007201_mRNA1	273
GML007301_mRNA1	345
GML007401_mRNA1	103
GML007501_mRNA1	518
GML007601_mRNA1	2595
GML007701_mRNA1	584
GML007801_mRNA1	297
GML007901_mRNA1	210
GML008001_mRNA1	551
GML008101_mRNA1	413
GML008201_mRNA1	90
GML008301_mRNA1	838
GML008401_mRNA1	638
GML008501_mRNA1	245
GML008601_mRNA1	105
GML008701_mRNA1	460
GML008801_mRNA1	325
GML008901_mRNA1	92
GML009001_mRNA1	163
GML009101_mRNA1	826
GML009201_mRNA1	2127
GML009301_mRNA1	992
GML009401_mRNA1	70
GML009501_mRNA1	401
GML009601_mRNA1	307
GML009701_mRNA1	695
GML009801_mRNA1	478
GML009901_mRNA1	819
GML010001_mRNA1	876
GML010101_mRNA1	172
GML010201_mRNA1	302
GML010301_mRNA1	179
GML010401_mRNA1	545
GML010501_mRNA1	194
GML010601_mRNA1	123
GML010701_mRNA1	691
GML010801_mRNA1	277
