protein_id	length
GML000001_mRNA1	145
GML000101_mRNA1	769
GML000201_mRNA1	199
GML000301_mRNA1	861
GML000401_mRNA1	176
GML000501_mRNA1	496
GML000601_mRNA1	610
GML000701_mRNA1	400
GML000801_mRNA1	309
GML000901_mRNA1	389
GML001001_mRNA1	199
GML001101_mRNA1	262
GML001201_mRNA1	442
GML001301_mRNA1	489
GML001401_mRNA1	574
GML001501_mRNA1	1972
GML001601_mRNA1	296
GML001701_mRNA1	580
GML001801_mRNA1	298
GML001901_mRNA1	71
GML002001_mRNA1	477
GML002101_mRNA1	114
GML002201_mRNA1	638
GML002301_mRNA1	289
GML002401_mRNA1	618
GML002501_mRNA1	912
GML002601_mRNA1	380
GML002701_mRNA1	357
GML002801_mRNA1	60
GML002901_mRNA1	1156
GML003001_mRNA1	292
GML003101_mRNA1	610
GML003201_mRNA1	477
GML003301_mRNA1	512
GML003401_mRNA1	526
GML003501_mRNA1	145
GML003601_mRNA1	1434
GML003701_mRNA1	407
GML003801_mRNA1	613
GML003901_mRNA1	665
GML004001_mRNA1	214
GML004101_mRNA1	358
GML004201_mRNA1	789
GML004301_mRNA1	200
GML004401_mRNA1	196
GML004501_mRNA1	245
GML004601_mRNA1	358
GML004701_mRNA1	48
GML004801_mRNA1	560
GML004901_mRNA1	353
GML005001_mRNA1	275
GML005101_mRNA1	4013
GML005201_mRNA1	149
GML005301_mRNA1	233
GML005401_mRNA1	379
GML005501_mRNA1	465
GML005601_mRNA1	696
GML005701_mRNA1	280
GML005801_mRNA1	318
GML005901_mRNA1	238
GML006001_mRNA1	1162
GML006101_mRNA1	342
GML006201_mRNA1	308
GML006301_mRNA1	187
GML006401_mRNA1	325
GML006501_mRNA1	794
GML006601_mRNA1	167
GML006701_mRNA1	533
GML006801_mRNA1	536
GML006901_mRNA1	246
GML007001_mRNA1	512
GML007101_mRNA1	295
GML007201_mRNA1	130
GML007301_mRNA1	358
GML007401_mRNA1	478
GML007501_mRNA1	809
GML007601_mRNA1	768
GML007701_mRNA1	634
GML007801_mRNA1	532
GML007901_mRNA1	415
GML008001_mRNA1	373
GML008101_mRNA1	110
GML008201_mRNA1	263
GML008301_mRNA1	671
GML008401_mRNA1	599
GML008501_mRNA1	1506
GML008601_mRNA1	552
GML008701_mRNA1	169
GML008801_mRNA1	458
GML008901_mRNA1	695
GML009001_mRNA1	410
GML009101_mRNA1	238
GML009201_mRNA1	339
GML009301_mRNA1	1504
GML009401_mRNA1	501
GML009501_mRNA1	226
GML009601_mRNA1	147
GML009701_mRNA1	661
GML009801_mRNA1	299
GML009901_mRNA1	505
GML010001_mRNA1	183
GML010101_mRNA1	679
GML010201_mRNA1	88
