protein_id	length
GML000001_mRNA1	416
GML000101_mRNA1	568
GML000201_mRNA1	226
GML000301_mRNA1	344
GML000401_mRNA1	419
GML000501_mRNA1	145
GML000601_mRNA1	545
GML000701_mRNA1	853
GML000801_mRNA1	355
GML000901_mRNA1	309
GML001001_mRNA1	827
GML001101_mRNA1	387
GML001201_mRNA1	258
GML001301_mRNA1	229
GML001401_mRNA1	384
GML001501_mRNA1	321
GML001601_mRNA1	42
GML001701_mRNA1	615
GML001801_mRNA1	388
GML001901_mRNA1	313
GML002001_mRNA1	603
GML002101_mRNA1	298
GML002201_mRNA1	196
GML002301_mRNA1	718
GML002401_mRNA1	567
GML002501_mRNA1	313
GML002601_mRNA1	250
GML002701_mRNA1	587
GML002801_mRNA1	142
GML002901_mRNA1	282
GML003001_mRNA1	69
GML003101_mRNA1	208
GML003201_mRNA1	1295
GML003301_mRNA1	233
GML003401_mRNA1	836
GML003501_mRNA1	339
GML003601_mRNA1	155
GML003701_mRNA1	243
GML003801_mRNA1	449
GML003901_mRNA1	433
GML004001_mRNA1	383
GML004101_mRNA1	1384
GML004201_mRNA1	160
GML004302_mRNA1	683
GML004401_mRNA1	647
GML004501_mRNA1	328
GML004601_mRNA1	648
GML004701_mRNA1	277
GML004801_mRNA1	341
GML004901_mRNA1	407
GML005001_mRNA1	629
GML005101_mRNA1	149
GML005201_mRNA1	479
GML005301_mRNA1	310
GML005401_mRNA1	167
GML005501_mRNA1	547
GML005601_mRNA1	454
GML005701_mRNA1	91
GML005801_mRNA1	197
GML005901_mRNA1	450
GML006001_mRNA1	168
GML006101_mRNA1	391
GML006201_mRNA1	207
GML006301_mRNA1	722
GML006401_mRNA1	589
GML006501_mRNA1	264
GML006601_mRNA1	376
GML006701_mRNA1	550
GML006801_mRNA1	699
GML006901_mRNA1	164
GML007001_mRNA1	908
GML007101_mRNA1	237
GML007201_mRNA1	231
GML007301_mRNA1	1328
GML007401_mRNA1	1036
GML007501_mRNA1	226
GML007601_mRNA1	457
GML007701_mRNA1	374
GML007801_mRNA1	317
GML007901_mRNA1	550
GML008001_mRNA1	433
GML008101_mRNA1	474
GML008202_mRNA1	133
GML008301_mRNA1	841
GML008401_mRNA1	963
GML008501_mRNA1	381
GML008601_mRNA1	786
GML008701_mRNA1	1686
GML008801_mRNA1	173
GML008901_mRNA1	481
GML009001_mRNA1	303
GML009101_mRNA1	231
GML009201_mRNA1	654
GML009301_mRNA1	129
GML009401_mRNA1	1140
GML009501_mRNA1	321
GML009601_mRNA1	243
GML009701_mRNA1	348
GML009801_mRNA1	230
GML009901_mRNA1	397
GML010001_mRNA1	131
GML010101_mRNA1	116
