gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BX664DRAFT_10	rna-XM_051539660.1	PF00009.34,PF03144.32	Complete	None
gene-BX664DRAFT_287936	rna-XM_051541774.1	PF00883.27	Partial	None
gene-BX664DRAFT_318740	rna-XM_051542809.1	PF00339.35	Partial	None
gene-BX664DRAFT_318743	rna-XM_051542810.1	PF01127.28	Partial	None
gene-BX664DRAFT_318745	rna-XM_051542811.1	PF08123.20,PF29244.1	Partial	None
gene-BX664DRAFT_109	rna-XM_051539692.1	PF00646.39,PF12937.13	Partial	None
gene-BX664DRAFT_254845	rna-XM_051540387.1		None	None
gene-BX664DRAFT_287943	rna-XM_051541775.1	PF00787.30,PF19566.6	Complete	None
gene-BX664DRAFT_376922	rna-XM_051548742.1	PF00428.25	Partial	None
gene-BX664DRAFT_254298	rna-XM_051540361.1	PF00789.27	Complete	None
gene-BX664DRAFT_344612	rna-XM_051547482.1	PF00617.25,PF00618.26	Complete	None
gene-BX664DRAFT_318764	rna-XM_051542812.1	PF03853.22	Partial	None
gene-BX664DRAFT_271073	rna-XM_051541128.1	PF00117.35,PF00117.35,PF00425.26,PF30495.1	Partial	None
gene-BX664DRAFT_271075	rna-XM_051541129.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08581.16,PF23098.2,PF30361.1	Complete	None
gene-BX664DRAFT_354014	rna-XM_051547725.1	PF01217.27	Partial	None
gene-BX664DRAFT_318771	rna-XM_051542813.1	PF00172.24,PF04082.24	Complete	None
gene-BX664DRAFT_367440	rna-XM_051548569.1		None	None
gene-BX664DRAFT_318774	rna-XM_051542814.1	PF00107.33,PF13602.13,PF16884.11	Partial	None
gene-BX664DRAFT_287964	rna-XM_051541776.1	PF05700.17	Partial	None
gene-BX664DRAFT_318778	rna-XM_051542815.1	PF01207.24	Partial	None
gene-BX664DRAFT_318780	rna-XM_051542816.1	PF08757.18	Partial	None
gene-BX664DRAFT_318782	rna-XM_051542817.1	PF00226.37,PF23302.2	Complete	None
gene-BX664DRAFT_309539	rna-XM_051542523.1	PF27812.1	Complete	None
gene-BX664DRAFT_318785	rna-XM_051542818.1	PF00169.36,PF16016.12,PF16746.11	Complete	None
gene-BX664DRAFT_354023	rna-XM_051547726.1		None	None
gene-BX664DRAFT_318790	rna-XM_051542819.1	PF00657.29	Partial	None
gene-BX664DRAFT_367442	rna-XM_051548570.1	PF00046.36	Partial	None
gene-BX664DRAFT_287979	rna-XM_051541777.1	PF00076.29,PF10360.15	Complete	None
gene-BX664DRAFT_318792	rna-XM_051542820.1	PF00026.29,PF14543.12	Partial	None
gene-BX664DRAFT_318795	rna-XM_051542821.1		None	None
gene-BX664DRAFT_318797	rna-XM_051542822.1	PF10205.15,PF21636.3	Complete	None
gene-BX664DRAFT_318801	rna-XM_051542823.1	PF00566.26,PF23436.2	Complete	None
gene-BX664DRAFT_318805	rna-XM_051542824.1	PF01764.32	Complete	None
gene-BX664DRAFT_367445	rna-XM_051548571.1	PF00172.24	Complete	None
gene-BX664DRAFT_253682	rna-XM_051540321.1	PF04082.24	Partial	None
gene-BX664DRAFT_287991	rna-XM_051541778.1	PF01063.25	Partial	None
gene-BX664DRAFT_318814	rna-XM_051542825.1	PF04193.20,PF04193.20	Complete	None
gene-BX664DRAFT_318816	rna-XM_051542826.1	PF01209.25,PF08241.19,PF08242.19,PF13489.13,PF13649.13,PF13847.13	Partial	None
gene-BX664DRAFT_318818	rna-XM_051542827.1	PF02366.25,PF02815.26,PF16192.11	Complete	None
gene-BX664DRAFT_318823	rna-XM_051542828.1	PF00002.30,PF01534.24	Partial	None
gene-BX664DRAFT_318824	rna-XM_051542829.1	PF06105.18	Partial	None
gene-BX664DRAFT_381201	rna-XM_051548939.1		None	None
gene-BX664DRAFT_318848	rna-XM_051542830.1	PF00096.33,PF23561.2	Complete	None
gene-BX664DRAFT_1002	rna-XM_051539661.1	PF01028.26,PF02919.21,PF14370.12	Complete	None
gene-BX664DRAFT_255978	rna-XM_051540443.1	PF04082.24	Partial	None
gene-BX664DRAFT_271131	rna-XM_051541130.1	PF05205.18	Partial	None
gene-BX664DRAFT_318858	rna-XM_051542831.1	PF00702.33	Partial	None
gene-BX664DRAFT_256187	rna-XM_051540452.1	PF01545.27	Partial	None
gene-BX664DRAFT_318860	rna-XM_051542832.1		None	None
gene-BX664DRAFT_318861	rna-XM_051542833.1	PF02791.23,PF10537.15,PF15613.12	Complete	None
gene-BX664DRAFT_318866	rna-XM_051542834.1	PF00465.26,PF13685.13,PF25137.1	Partial	None
gene-BX664DRAFT_376940	rna-XM_051548743.1	PF00916.27,PF01740.27	Complete	None
gene-BX664DRAFT_318869	rna-XM_051542835.1		None	None
gene-BX664DRAFT_344649	rna-XM_051547483.1		None	None
gene-BX664DRAFT_1185	rna-XM_051539747.1	PF03291.23,PF08241.19,PF08242.19,PF13649.13	Partial	None
gene-BX664DRAFT_354047	rna-XM_051547727.1	PF00069.32,PF03109.23,PF07714.24	Partial	None
gene-BX664DRAFT_1245	rna-XM_051539772.1	PF00447.24	Partial	None
gene-BX664DRAFT_318881	rna-XM_051542836.1	PF04424.20	Partial	None
gene-BX664DRAFT_1351	rna-XM_051539826.1		None	None
gene-BX664DRAFT_271154	rna-XM_051541131.1	PF00118.30	Partial	None
gene-BX664DRAFT_288034	rna-XM_051541780.1	PF00916.27,PF01740.27	Complete	None
gene-BX664DRAFT_271159	rna-XM_051541132.1	PF00244.27	Partial	None
gene-BX664DRAFT_235880	rna-XM_051540179.1	PF09729.16	Partial	None
gene-BX664DRAFT_318895	rna-XM_051542837.1	PF00551.25,PF02911.24	Complete	None
gene-BX664DRAFT_318896	rna-XM_051542838.1		None	None
gene-BX664DRAFT_344659	rna-XM_051547484.1		None	None
gene-BX664DRAFT_318902	rna-XM_051542839.1	PF00903.32,PF13669.13	Partial	None
gene-BX664DRAFT_318913	rna-XM_051542840.1	PF00282.26	Partial	None
gene-BX664DRAFT_318915	rna-XM_051542841.1	PF09725.15	Partial	None
gene-BX664DRAFT_318917	rna-XM_051542842.1	PF10018.15	Partial	None
gene-BX664DRAFT_318924	rna-XM_051542843.1	PF10342.16	Partial	None
gene-BX664DRAFT_1599	rna-XM_051539935.1	PF02364.22,PF02364.22,PF14288.12,PF23605.2	Partial	None
gene-BX664DRAFT_318927	rna-XM_051542844.1	PF00652.29,PF00652.29,PF14200.13,PF14200.13	Partial	None
gene-BX664DRAFT_271175	rna-XM_051541133.1		None	None
gene-BX664DRAFT_318933	rna-XM_051542845.1	PF00652.29,PF14200.13	Partial	None
gene-BX664DRAFT_318937	rna-XM_051542846.1	PF00339.35	Partial	None
gene-BX664DRAFT_318939	rna-XM_051542847.1	PF04383.20	Partial	None
gene-BX664DRAFT_318943	rna-XM_051542848.1	PF01293.26	Partial	None
gene-BX664DRAFT_367489	rna-XM_051548572.1	PF00036.39,PF13202.13,PF13202.13,PF13499.13,PF13833.13,PF13833.13	Complete	None
gene-BX664DRAFT_318946	rna-XM_051542849.1	PF03694.19	Partial	None
gene-BX664DRAFT_318947	rna-XM_051542850.1	PF01040.24	Partial	None
gene-BX664DRAFT_1859	rna-XM_051540036.1	PF10342.16	Partial	None
gene-BX664DRAFT_318953	rna-XM_051542851.1	PF04926.21,PF04928.23,PF04928.23,PF20750.4,PF22600.3	Complete	None
gene-BX664DRAFT_318955	rna-XM_051542852.1	PF00005.34,PF06472.21	Complete	None
gene-BX664DRAFT_1960	rna-XM_051540092.1		None	None
gene-BX664DRAFT_271192	rna-XM_051541134.1	PF03169.21	Partial	None
gene-BX664DRAFT_318971	rna-XM_051542853.1	PF00561.27,PF12146.16	Partial	None
gene-BX664DRAFT_381240	rna-XM_051548940.1		None	None
gene-BX664DRAFT_376952	rna-XM_051548744.1	PF00493.30,PF01078.28,PF14551.12,PF17207.10,PF17855.8,PF24901.3	Complete	None
gene-BX664DRAFT_381242	rna-XM_051548941.1	PF16021.11	Partial	None
gene-BX664DRAFT_271202	rna-XM_051541135.1	PF08293.17	Partial	None
gene-BX664DRAFT_288080	rna-XM_051541781.1	PF00587.31,PF03129.26,PF04073.21,PF09180.17	Complete	None
gene-BX664DRAFT_318994	rna-XM_051542854.1		None	None
gene-BX664DRAFT_381244	rna-XM_051548942.1		None	None
gene-BX664DRAFT_288082	rna-XM_051541782.1	PF10348.15,PF10355.15	Partial	None
gene-BX664DRAFT_255802	rna-XM_051540433.1	PF13329.14,PF13329.14,PF13329.14	Partial	None
gene-BX664DRAFT_381247	rna-XM_051548943.1	PF11223.14	Complete	None
gene-BX664DRAFT_354085	rna-XM_051547728.1		None	None
gene-BX664DRAFT_2239	rna-XM_051540161.1	PF01734.28,PF11815.14	Partial	None
gene-BX664DRAFT_319008	rna-XM_051542855.1	PF00122.26,PF00403.33,PF00403.33,PF00403.33,PF00403.33,PF00702.33	Complete	None
gene-BX664DRAFT_319010	rna-XM_051542856.1		None	None
gene-BX664DRAFT_319012	rna-XM_051542857.1	PF11788.15	Partial	None
gene-BX664DRAFT_319014	rna-XM_051542858.1		None	None
gene-BX664DRAFT_243974	rna-XM_051540240.1		None	None
gene-BX664DRAFT_309612	rna-XM_051542524.1		None	None
gene-BX664DRAFT_344696	rna-XM_051547485.1		None	None
gene-BX664DRAFT_319017	rna-XM_051542859.1	PF01159.25,PF03868.21	Partial	None
gene-BX664DRAFT_319019	rna-XM_051542860.1	PF00249.38,PF00249.38,PF00249.38,PF00249.38,PF00249.38,PF00249.38,PF00249.38,PF00249.38,PF13921.13,PF13921.13,PF13921.13,PF13921.13,PF13921.13	Complete	None
gene-BX664DRAFT_319021	rna-XM_051542861.1	PF00069.32,PF00072.31,PF00512.32,PF02518.32,PF07714.24,PF24896.2	Complete	None
gene-BX664DRAFT_319023	rna-XM_051542862.1		None	None
gene-BX664DRAFT_254120	rna-XM_051540352.1	PF07539.19,PF20416.5	Complete	None
gene-BX664DRAFT_319025	rna-XM_051542863.1	PF25381.2	Partial	None
gene-BX664DRAFT_271237	rna-XM_051541136.1	PF00291.32,PF14821.12,PF24857.2	Complete	None
gene-BX664DRAFT_362981	rna-XM_051548349.1		None	None
gene-BX664DRAFT_354100	rna-XM_051547729.1	PF01472.27,PF01509.24,PF08068.18,PF16198.11	Complete	None
gene-BX664DRAFT_319031	rna-XM_051542864.1		None	None
gene-BX664DRAFT_249998	rna-XM_051540286.1	PF16158.12	Partial	None
gene-BX664DRAFT_254559	rna-XM_051540374.1	PF02386.23	Partial	None
gene-BX664DRAFT_319040	rna-XM_051542865.1	PF00505.26,PF09011.17,PF24237.2,PF24245.2	Partial	None
gene-BX664DRAFT_319042	rna-XM_051542866.1	PF30693.1	Partial	None
gene-BX664DRAFT_319044	rna-XM_051542867.1	PF03006.27	Partial	None
gene-BX664DRAFT_319048	rna-XM_051542868.1		None	None
gene-BX664DRAFT_288132	rna-XM_051541783.1	PF03330.25	Partial	None
gene-BX664DRAFT_309628	rna-XM_051542525.1	PF00641.24,PF00641.24	Complete	None
gene-BX664DRAFT_376966	rna-XM_051548745.1	PF13409.13,PF13417.13	Partial	None
gene-BX664DRAFT_319058	rna-XM_051542869.1	PF01644.24,PF03142.22,PF08407.18	Partial	None
gene-BX664DRAFT_319060	rna-XM_051542870.1		None	None
gene-BX664DRAFT_367522	rna-XM_051548573.1		None	None
gene-BX664DRAFT_255496	rna-XM_051540416.1	PF02045.22	Partial	None
gene-BX664DRAFT_319063	rna-XM_051542871.1	PF01485.28	Complete	None
gene-BX664DRAFT_376971	rna-XM_051548746.1	PF00755.26	Partial	None
gene-BX664DRAFT_2717	rna-XM_051541161.1		None	None
gene-BX664DRAFT_255353	rna-XM_051540408.1	PF00168.37	Partial	None
gene-BX664DRAFT_319068	rna-XM_051542872.1	PF00169.36	Partial	None
gene-BX664DRAFT_354117	rna-XM_051547730.1		None	None
gene-BX664DRAFT_319072	rna-XM_051542873.1	PF00046.36,PF24818.2	Partial	None
gene-BX664DRAFT_319075	rna-XM_051542874.1	PF13176.13,PF13181.13,PF13181.13	Complete	None
gene-BX664DRAFT_381281	rna-XM_051548945.1	PF04847.19	Partial	None
gene-BX664DRAFT_381282	rna-XM_051548946.1		None	None
gene-BX664DRAFT_319078	rna-XM_051542875.1	PF09769.15	Partial	None
