protein_id	length
rna-DRES_LOCUS1	557
rna-DRES_LOCUS535-2	47
rna-DRES_LOCUS1014	882
rna-DRES_LOCUS1507	914
rna-DRES_LOCUS1971	402
rna-DRES_LOCUS2611	1851
rna-DRES_LOCUS3009	108
rna-DRES_LOCUS3430	127
rna-DRES_LOCUS4003	293
rna-DRES_LOCUS4531	699
rna-DRES_LOCUS5080	393
rna-DRES_LOCUS5512	73
rna-DRES_LOCUS6070	894
rna-DRES_LOCUS6498	97
rna-DRES_LOCUS7075	770
rna-DRES_LOCUS7547	449
rna-DRES_LOCUS8092	40
rna-DRES_LOCUS8554	553
rna-DRES_LOCUS9121	295
rna-DRES_LOCUS9644	463
rna-DRES_LOCUS10090-2	10
rna-DRES_LOCUS10541	419
rna-DRES_LOCUS11000	291
rna-DRES_LOCUS11385	96
