protein_id	length
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA584943	362
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA585038	751
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA510094	702
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA510963	77
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA28368	271
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA512198	735
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA512903	126
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA587016	222
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA552665	304
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA474391	412
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA59992	376
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA64094	413
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA591671	92
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA524944	373
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA554685	257
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA525399	175
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA83783	147
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA526125	307
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA587498	295
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA587582	486
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA593543	1162
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA528334	567
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA466457	399
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA513576	575
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA585662	1585
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA514906	230
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA515491	831
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA516020	568
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA148581	651
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA529885	284
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA564987	124
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA162382	641
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA531576	626
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA532171	126
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA532681	663
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA467884	1560
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA187378	139
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA517346	546
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA448415	228
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA534899	376
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA535461	852
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA565504	325
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA536664	783
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA537249	353
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA538029	638
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA538421	181
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA518122	89
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA586293	155
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA539178	254
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA578347	494
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA540246	384
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA540647	146
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA541162	898
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA262542	370
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA267339	159
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA542218	317
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA542685	410
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA543166	427
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA543955	567
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA544385	526
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA557059	391
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA563974	359
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA545076	529
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA590400	1182
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA566530	155
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA546680	236
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA326154	418
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA557284	1222
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA590691	552
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA548160	498
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA344755	1275
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA348737	148
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA522080	78
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA549435	1115
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA549971	289
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA550572	490
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA459029	66
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA564242	256
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA591300	701
rna-gnl|WGS:MCFC|BCR39DRAFT_mRNA591377	914
