gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-F5B22DRAFT_15	rna-XM_047969133.1	PF11915.14	Partial	None
gene-F5B22DRAFT_5	rna-XM_047972439.1	PF03881.21	Partial	None
gene-F5B22DRAFT_582000	rna-XM_047973269.1	PF09362.16	Partial	None
gene-F5B22DRAFT_640693	rna-XM_047977878.1	PF00644.27,PF02877.20,PF05406.21	Partial	None
gene-F5B22DRAFT_652895	rna-XM_047979672.1	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	None
gene-F5B22DRAFT_582005	rna-XM_047973270.1	PF00067.28	Partial	None
gene-F5B22DRAFT_582015	rna-XM_047973271.1	PF06738.19,PF12821.14	Complete	None
gene-F5B22DRAFT_582018	rna-XM_047973272.1	PF00561.27,PF01557.24,PF12146.16,PF12697.14	Complete	None
gene-F5B22DRAFT_632333	rna-XM_047976680.1	PF00307.37	Partial	None
gene-F5B22DRAFT_313	rna-XM_047970630.1	PF05071.22	Partial	None
gene-F5B22DRAFT_632334	rna-XM_047976681.1		None	None
gene-F5B22DRAFT_197	rna-XM_047969558.1	PF07690.22	Partial	None
gene-F5B22DRAFT_640702	rna-XM_047977879.1	PF01425.27	Partial	None
gene-F5B22DRAFT_465	rna-XM_047972099.1	PF03824.23	Partial	None
gene-F5B22DRAFT_640704	rna-XM_047977880.1	PF00648.28	Partial	None
gene-F5B22DRAFT_582065	rna-XM_047973273.1	PF06985.18	Partial	None
gene-F5B22DRAFT_582066	rna-XM_047973274.1		None	None
gene-F5B22DRAFT_1458	rna-XM_047969080.1	PF00172.24,PF04082.24	Partial	None
gene-F5B22DRAFT_582072	rna-XM_047973275.1	PF00081.28,PF02777.24	Partial	None
gene-F5B22DRAFT_1062	rna-XM_047968710.1		None	None
gene-F5B22DRAFT_640710	rna-XM_047977881.1	PF00172.24,PF04082.24	Partial	None
gene-F5B22DRAFT_1597	rna-XM_047969231.1	PF05183.18	Partial	None
gene-F5B22DRAFT_640712	rna-XM_047977882.1		None	None
gene-F5B22DRAFT_1371	rna-XM_047969007.1	PF00728.29,PF02838.21	Partial	None
gene-F5B22DRAFT_2086	rna-XM_047969658.1	PF01163.29	Partial	None
gene-F5B22DRAFT_779	rna-XM_047980561.1	PF00650.26,PF03765.22,PF13716.12	Partial	None
gene-F5B22DRAFT_1138	rna-XM_047968802.1	PF00246.30	Partial	None
gene-F5B22DRAFT_582124	rna-XM_047973276.1	PF00009.34,PF00350.30	Partial	None
gene-F5B22DRAFT_632349	rna-XM_047976682.1	PF03357.27	Partial	None
gene-F5B22DRAFT_2275	rna-XM_047969807.1	PF00481.27,PF00481.27	Partial	None
gene-F5B22DRAFT_582136	rna-XM_047973277.1		None	None
gene-F5B22DRAFT_582138	rna-XM_047973278.1		None	None
gene-F5B22DRAFT_2353	rna-XM_047969895.1		None	None
gene-F5B22DRAFT_2378	rna-XM_047969909.1		None	None
gene-F5B22DRAFT_640723	rna-XM_047977883.1		None	None
gene-F5B22DRAFT_2419	rna-XM_047969943.1		None	None
gene-F5B22DRAFT_640725	rna-XM_047977884.1		None	None
gene-F5B22DRAFT_2430	rna-XM_047969944.1	PF00561.27,PF06441.19	Partial	None
gene-F5B22DRAFT_582157	rna-XM_047973279.1	PF00931.29,PF01734.28,PF13176.13,PF13181.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13374.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13,PF13424.13	Complete	None
gene-F5B22DRAFT_632355	rna-XM_047976683.1	PF13640.13	Complete	None
gene-F5B22DRAFT_2456	rna-XM_047969962.1	PF01494.26	Partial	None
gene-F5B22DRAFT_582170	rna-XM_047973280.1	PF09598.16	Partial	None
gene-F5B22DRAFT_632357	rna-XM_047976684.1		None	None
gene-F5B22DRAFT_640732	rna-XM_047977885.1		None	None
gene-F5B22DRAFT_582188	rna-XM_047973281.1	PF11969.14	Partial	None
gene-F5B22DRAFT_2898	rna-XM_047970394.1	PF07792.18,PF08616.16	Complete	None
gene-F5B22DRAFT_632359	rna-XM_047976685.1	PF00756.27	Partial	None
gene-F5B22DRAFT_2990	rna-XM_047970501.1		None	None
gene-F5B22DRAFT_640737	rna-XM_047977886.1		None	None
gene-F5B22DRAFT_582211	rna-XM_047973282.1	PF00096.33,PF00096.33,PF00096.33,PF12874.14	Complete	None
