protein_id	length
rna-gnl|WGS:JAACJP|D9615_000001-1_mrna	953
rna-gnl|WGS:JAACJP|D9615_000102-1_mrna	451
rna-gnl|WGS:JAACJP|D9615_000204-1_mrna	1834
rna-gnl|WGS:JAACJP|D9615_000307-1_mrna	438
rna-gnl|WGS:JAACJP|D9615_000408-1_mrna	610
rna-gnl|WGS:JAACJP|D9615_000508-1_mrna	765
rna-gnl|WGS:JAACJP|D9615_000608-1_mrna	511
rna-gnl|WGS:JAACJP|D9615_000708-1_mrna	344
rna-gnl|WGS:JAACJP|D9615_000808-1_mrna	132
rna-gnl|WGS:JAACJP|D9615_001558-1_mrna	370
rna-gnl|WGS:JAACJP|D9615_001660-1_mrna	191
rna-gnl|WGS:JAACJP|D9615_001761-1_mrna	320
rna-gnl|WGS:JAACJP|D9615_001862-1_mrna	576
rna-gnl|WGS:JAACJP|D9615_001964-1_mrna	1196
rna-gnl|WGS:JAACJP|D9615_002066-1_mrna	675
rna-gnl|WGS:JAACJP|D9615_002171-1_mrna	580
rna-gnl|WGS:JAACJP|D9615_002271-1_mrna	298
rna-gnl|WGS:JAACJP|D9615_002372-1_mrna	307
rna-gnl|WGS:JAACJP|D9615_002473-1_mrna	533
rna-gnl|WGS:JAACJP|D9615_002573-1_mrna	334
rna-gnl|WGS:JAACJP|D9615_002674-1_mrna	396
rna-gnl|WGS:JAACJP|D9615_000941-1_mrna	107
rna-gnl|WGS:JAACJP|D9615_001042-1_mrna	1604
rna-gnl|WGS:JAACJP|D9615_001142-1_mrna	293
rna-gnl|WGS:JAACJP|D9615_001242-1_mrna	963
rna-gnl|WGS:JAACJP|D9615_001342-1_mrna	515
rna-gnl|WGS:JAACJP|D9615_001444-1_mrna	216
rna-gnl|WGS:JAACJP|D9615_003111-1_mrna	304
rna-gnl|WGS:JAACJP|D9615_003212-1_mrna	224
rna-gnl|WGS:JAACJP|D9615_003317-1_mrna	689
rna-gnl|WGS:JAACJP|D9615_003417-1_mrna	344
rna-gnl|WGS:JAACJP|D9615_003517-1_mrna	109
rna-gnl|WGS:JAACJP|D9615_003621-1_mrna	447
rna-gnl|WGS:JAACJP|D9615_003723-1_mrna	636
rna-gnl|WGS:JAACJP|D9615_003824-1_mrna	633
rna-gnl|WGS:JAACJP|D9615_004839-1_mrna	117
rna-gnl|WGS:JAACJP|D9615_004940-1_mrna	654
rna-gnl|WGS:JAACJP|D9615_005040-1_mrna	268
rna-gnl|WGS:JAACJP|D9615_002746-1_mrna	361
rna-gnl|WGS:JAACJP|D9615_002846-1_mrna	1222
rna-gnl|WGS:JAACJP|D9615_002947-1_mrna	765
rna-gnl|WGS:JAACJP|D9615_003049-1_mrna	507
rna-gnl|WGS:JAACJP|D9615_004244-1_mrna	127
rna-gnl|WGS:JAACJP|D9615_004345-1_mrna	631
rna-gnl|WGS:JAACJP|D9615_004445-1_mrna	679
rna-gnl|WGS:JAACJP|D9615_005443-1_mrna	705
rna-gnl|WGS:JAACJP|D9615_005544-1_mrna	685
rna-gnl|WGS:JAACJP|D9615_005645-1_mrna	965
rna-gnl|WGS:JAACJP|D9615_008386-1_mrna	367
rna-gnl|WGS:JAACJP|D9615_003906-1_mrna	200
rna-gnl|WGS:JAACJP|D9615_004006-1_mrna	639
rna-gnl|WGS:JAACJP|D9615_004107-1_mrna	556
rna-gnl|WGS:JAACJP|D9615_004498-1_mrna	923
rna-gnl|WGS:JAACJP|D9615_004600-1_mrna	271
rna-gnl|WGS:JAACJP|D9615_004700-1_mrna	221
rna-gnl|WGS:JAACJP|D9615_006125-1_mrna	215
rna-gnl|WGS:JAACJP|D9615_006227-1_mrna	601
rna-gnl|WGS:JAACJP|D9615_005658-1_mrna	187
rna-gnl|WGS:JAACJP|D9615_005759-1_mrna	935
rna-gnl|WGS:JAACJP|D9615_006489-1_mrna	300
rna-gnl|WGS:JAACJP|D9615_006591-1_mrna	519
rna-gnl|WGS:JAACJP|D9615_005881-1_mrna	320
rna-gnl|WGS:JAACJP|D9615_005982-1_mrna	333
rna-gnl|WGS:JAACJP|D9615_006083-1_mrna	1702
rna-gnl|WGS:JAACJP|D9615_006923-1_mrna	366
rna-gnl|WGS:JAACJP|D9615_007023-1_mrna	683
rna-gnl|WGS:JAACJP|D9615_007126-1_mrna	110
rna-gnl|WGS:JAACJP|D9615_008720-1_mrna	1117
rna-gnl|WGS:JAACJP|D9615_007512-1_mrna	324
rna-gnl|WGS:JAACJP|D9615_007613-1_mrna	216
rna-gnl|WGS:JAACJP|D9615_006728-1_mrna	325
rna-gnl|WGS:JAACJP|D9615_006829-1_mrna	588
rna-gnl|WGS:JAACJP|D9615_005192-1_mrna	577
