protein_id	length
GML000001_mRNA1	1483
GML000102_mRNA1	95
GML000201_mRNA1	80
GML000301_mRNA1	315
GML000401_mRNA1	161
GML000501_mRNA1	489
GML000601_mRNA1	140
GML000701_mRNA1	430
GML000801_mRNA1	444
GML000901_mRNA1	911
GML001001_mRNA1	470
GML001101_mRNA1	262
GML001201_mRNA1	1152
GML001301_mRNA1	255
GML001401_mRNA1	157
GML001501_mRNA1	946
GML001600_mRNA1	1724
GML001701_mRNA1	106
GML001801_mRNA1	289
GML001901_mRNA1	44
GML002001_mRNA1	103
GML002101_mRNA1	1373
GML002201_mRNA1	200
GML002301_mRNA1	356
GML002401_mRNA1	378
GML002501_mRNA1	383
GML002601_mRNA1	756
GML002701_mRNA1	170
GML002801_mRNA1	183
GML002901_mRNA1	443
GML003001_mRNA1	823
GML003101_mRNA1	188
GML003201_mRNA1	293
GML003301_mRNA1	80
GML003401_mRNA1	628
GML003501_mRNA1	273
GML003601_mRNA1	57
GML003701_mRNA1	280
GML003801_mRNA1	1094
GML003901_mRNA1	537
GML004001_mRNA1	875
GML004101_mRNA1	714
GML004201_mRNA1	639
GML004301_mRNA1	894
GML004401_mRNA1	1817
GML004501_mRNA1	523
GML004601_mRNA1	307
GML004701_mRNA1	501
GML004801_mRNA1	545
GML004901_mRNA1	1312
GML005001_mRNA1	547
GML005101_mRNA1	293
GML005202_mRNA1	125
GML005301_mRNA1	95
GML005401_mRNA1	169
GML005501_mRNA1	359
GML005601_mRNA1	251
GML005701_mRNA1	103
GML005801_mRNA1	483
GML005901_mRNA1	377
GML006001_mRNA1	133
GML006101_mRNA1	424
GML006201_mRNA1	497
GML006301_mRNA1	133
GML006401_mRNA1	557
GML006501_mRNA1	1686
GML006601_mRNA1	1043
GML006701_mRNA1	429
GML006801_mRNA1	890
GML006901_mRNA1	285
GML007001_mRNA1	142
GML007101_mRNA1	125
GML007201_mRNA1	418
GML007301_mRNA1	151
GML007401_mRNA1	131
GML007502_mRNA1	230
GML007600_mRNA1	487
GML007701_mRNA1	329
GML007801_mRNA1	531
GML007901_mRNA1	387
GML008001_mRNA1	862
GML008101_mRNA1	234
GML008201_mRNA1	292
GML008301_mRNA1	131
GML008401_mRNA1	74
GML008501_mRNA1	689
GML008601_mRNA1	1075
GML008701_mRNA1	272
GML008801_mRNA1	337
GML008901_mRNA1	140
GML009001_mRNA1	317
GML009101_mRNA1	445
GML009201_mRNA1	549
GML009301_mRNA1	103
GML009401_mRNA1	324
GML009501_mRNA1	630
GML009601_mRNA1	109
GML009701_mRNA1	347
GML009801_mRNA1	743
GML009901_mRNA1	608
GML010001_mRNA1	538
GML010102_mRNA1	1350
GML010201_mRNA1	894
GML010301_mRNA1	378
GML010401_mRNA1	616
GML010501_mRNA1	510
GML010601_mRNA1	108
GML010701_mRNA1	862
GML010801_mRNA1	1277
GML010901_mRNA1	494
GML011001_mRNA1	534
GML011101_mRNA1	155
GML011201_mRNA1	445
GML011301_mRNA1	307
GML011401_mRNA1	119
GML011501_mRNA1	489
GML011601_mRNA1	402
GML011701_mRNA1	69
GML011801_mRNA1	862
