protein_id	length
gene-DAMA08_000010	36
gene-DAMA08_001010	171
gene-DAMA08_002010	452
gene-DAMA08_003010	391
gene-DAMA08_004010	598
gene-DAMA08_005010	461
gene-DAMA08_006010	380
gene-DAMA08_007010	576
gene-DAMA08_008010	163
gene-DAMA08_009010	244
gene-DAMA08_010010	288
gene-DAMA08_011010	156
gene-DAMA08_012010	599
gene-DAMA08_013010	664
gene-DAMA08_014010	282
gene-DAMA08_015010	952
gene-DAMA08_016010	540
gene-DAMA08_017010	464
gene-DAMA08_018010	997
gene-DAMA08_019010	208
gene-DAMA08_020010	226
gene-DAMA08_021300	346
gene-DAMA08_022300	465
gene-DAMA08_023300	313
gene-DAMA08_024300	392
gene-DAMA08_025300	143
gene-DAMA08_026300	406
gene-DAMA08_027300	738
gene-DAMA08_028300	522
gene-DAMA08_029300	453
gene-DAMA08_030300	702
gene-DAMA08_031300	179
gene-DAMA08_032300	676
gene-DAMA08_033300	528
gene-DAMA08_034300	430
gene-DAMA08_035300	236
gene-DAMA08_036300	366
gene-DAMA08_037300	726
gene-DAMA08_038300	134
gene-DAMA08_039300	113
gene-DAMA08_040300	731
gene-DAMA08_041300	452
gene-DAMA08_042300	427
gene-DAMA08_043300	297
gene-DAMA08_044300	138
gene-DAMA08_045300	338
gene-DAMA08_046300	409
gene-DAMA08_047300	655
gene-DAMA08_048300	243
gene-DAMA08_049300	399
gene-DAMA08_050300	1310
gene-DAMA08_051300	408
gene-DAMA08_052300	289
gene-DAMA08_053300	291
