gene_id	pfam_ids	go_ids	bin_id
gene-NLI96_g1	PF12253.14,PF21796.5	NA	100
gene-NLI96_g2	PF08286.17	NA	100
gene-NLI96_g3		NA	100
gene-NLI96_g4		NA	100
gene-NLI96_g5		NA	100
gene-NLI96_g6	PF00730.32	GO:0006284	3
gene-NLI96_g7	PF06218.17,PF06218.17	NA	100
gene-NLI96_g8	PF01137.27,PF05189.19	NA	100
gene-NLI96_g9	PF00899.28	NA	100
gene-NLI96_g10	PF16131.12,PF21369.4	NA	100
gene-NLI96_g11		NA	100
gene-NLI96_g12		NA	100
gene-NLI96_g13	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-NLI96_g14	PF13324.13,PF20936.4	NA	100
gene-NLI96_g15		NA	100
gene-NLI96_g16	PF01409.26,PF01409.26	GO:0000049,GO:0004812,GO:0005524,GO:0043039	4
gene-NLI96_g17	PF01025.25	GO:0000774,GO:0006457,GO:0042803,GO:0051087	5
gene-NLI96_g18	PF00763.29,PF01268.26,PF02882.26	GO:0004329,GO:0004488,GO:0005524	8
gene-NLI96_g19	PF12222.15,PF12222.15,PF25156.3	NA	100
gene-NLI96_g20	PF09346.16	NA	100
gene-NLI96_g21	PF01144.30,PF01144.30	GO:0008410	8
gene-NLI96_g22	PF01144.30,PF01144.30	GO:0008410	8
gene-NLI96_g23	PF00241.26,PF00241.26	GO:0003779	7
gene-NLI96_g24	PF00596.28	NA	100
gene-NLI96_g25	PF09423.16,PF16655.13	NA	100
gene-NLI96_g26	PF00012.27,PF06723.20	GO:0005524,GO:0016887	8
gene-NLI96_g27	PF01459.29	GO:0005741,GO:0055085	6
gene-NLI96_g28	PF00005.34	GO:0005524,GO:0016887	8
gene-NLI96_g29	PF00270.36,PF00271.38,PF13959.12,PF23681.2	GO:0003676,GO:0005524	4
gene-NLI96_g30		NA	100
gene-NLI96_g31	PF11464.14,PF31021.1	NA	100
gene-NLI96_g32	PF10428.15,PF13855.13	GO:0005515	100
