protein_id	length
rna-XM_062950787.1	716
rna-XM_062950800.1	230
rna-XM_062951911.1	546
rna-XM_062953022.1	346
rna-XM_062954133.1	324
rna-XM_062955244.1	678
rna-XM_062956355.1	60
rna-XM_062956636.1	554
rna-XM_062956747.1	593
rna-XM_062956858.1	244
rna-XM_062950791.1	628
rna-XM_062950902.1	708
rna-XM_062951013.1	91
rna-XM_062951124.1	595
rna-XM_062951235.1	357
rna-XM_062951346.1	567
rna-XM_062951457.1	113
rna-XM_062951568.1	791
rna-XM_062951679.1	344
rna-XM_062951790.1	522
rna-XM_062951902.1	530
rna-XM_062952013.1	197
rna-XM_062952124.1	337
rna-XM_062952235.1	70
rna-XM_062952346.1	322
rna-XM_062952457.1	355
rna-XM_062952568.1	292
rna-XM_062952679.1	120
rna-XM_062952790.1	98
rna-XM_062952901.1	390
rna-XM_062953013.1	357
rna-XM_062953124.1	412
rna-XM_062953235.1	895
rna-XM_062953346.1	677
rna-XM_062953457.1	126
rna-XM_062953568.1	261
rna-XM_062953679.1	612
rna-XM_062953790.1	1468
rna-XM_062953901.1	456
rna-XM_062954012.1	502
rna-XM_062954124.1	110
rna-XM_062954235.1	151
rna-XM_062954346.1	546
rna-XM_062954457.1	558
rna-XM_062954568.1	94
rna-XM_062954679.1	115
rna-XM_062954790.1	582
rna-XM_062954901.1	310
rna-XM_062955012.1	401
rna-XM_062955123.1	424
rna-XM_062955235.1	106
rna-XM_062955346.1	1131
rna-XM_062955457.1	436
rna-XM_062955568.1	441
rna-XM_062955679.1	459
rna-XM_062955790.1	98
rna-XM_062955901.1	351
rna-XM_062956012.1	389
rna-XM_062956123.1	454
rna-XM_062956234.1	1015
rna-XM_062956346.1	641
rna-XM_062956457.1	834
