gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-H4219_000001	rna-gnl|WGS:JANBPU|H4219_000001-T1_mrna	PF00113.29,PF03952.22	Partial	None
gene-H4219_000002	rna-gnl|WGS:JANBPU|H4219_000002-T1_mrna		None	None
gene-H4219_000003	rna-gnl|WGS:JANBPU|H4219_000003-T1_mrna	PF01399.34	Complete	None
gene-H4219_000004	rna-gnl|WGS:JANBPU|H4219_000004-T1_mrna	PF00370.28,PF02782.23	Partial	None
gene-H4219_000005	rna-gnl|WGS:JANBPU|H4219_000005-T1_mrna	PF00350.30,PF01031.26,PF02212.24	Complete	None
gene-H4219_000006	rna-gnl|WGS:JANBPU|H4219_000006-T1_mrna	PF03948.20	Partial	None
gene-H4219_000007	rna-gnl|WGS:JANBPU|H4219_000007-T1_mrna	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-H4219_000008	rna-gnl|WGS:JANBPU|H4219_000008-T1_mrna		None	None
gene-H4219_000009	rna-gnl|WGS:JANBPU|H4219_000009-T1_mrna	PF00168.37,PF00397.33,PF00397.33,PF00397.33,PF00632.31	Complete	None
gene-H4219_000010	rna-gnl|WGS:JANBPU|H4219_000010-T1_mrna	PF00069.32,PF00433.30,PF03109.23,PF07714.24,PF14531.13	Complete	None
gene-H4219_000011	rna-gnl|WGS:JANBPU|H4219_000011-T1_mrna	PF04113.21,PF04113.21	Partial	None
gene-H4219_000012	rna-gnl|WGS:JANBPU|H4219_000012-T1_mrna	PF06886.17,PF06886.17	Complete	None
gene-H4219_000013	rna-gnl|WGS:JANBPU|H4219_000013-T1_mrna	PF00097.32,PF01363.28,PF13445.13,PF13445.13,PF13639.13,PF13639.13,PF14599.12,PF14634.13	Complete	None
gene-H4219_000014	rna-gnl|WGS:JANBPU|H4219_000014-T1_mrna	PF00226.37,PF00684.26,PF01556.24	Complete	None
gene-H4219_000015	rna-gnl|WGS:JANBPU|H4219_000015-T1_mrna	PF00108.30,PF02803.25	Complete	None
gene-H4219_000016	rna-gnl|WGS:JANBPU|H4219_000016-T1_mrna		None	None
gene-H4219_000017	rna-gnl|WGS:JANBPU|H4219_000017-T1_mrna	PF00702.33,PF13419.13	Partial	None
gene-H4219_000018	rna-gnl|WGS:JANBPU|H4219_000018-T1_mrna	PF00270.36,PF00271.38,PF18147.7,PF22527.3	Complete	None
gene-H4219_000019	rna-gnl|WGS:JANBPU|H4219_000019-T1_mrna	PF00071.29,PF08477.20	Partial	None
gene-H4219_000020	rna-gnl|WGS:JANBPU|H4219_000020-T1_mrna	PF03985.19	Partial	None
gene-H4219_000021	rna-gnl|WGS:JANBPU|H4219_000021-T1_mrna	PF00056.30,PF02866.24	Partial	None
gene-H4219_000022	rna-gnl|WGS:JANBPU|H4219_000022-T1_mrna		None	None
gene-H4219_000023	rna-gnl|WGS:JANBPU|H4219_000023-T1_mrna	PF00025.28,PF00071.29,PF01926.30,PF08477.20	Partial	None
gene-H4219_000024	rna-gnl|WGS:JANBPU|H4219_000024-T1_mrna	PF00069.32,PF00536.38,PF00788.30,PF07647.25,PF07714.24,PF14847.13	Complete	None
gene-H4219_000025	rna-gnl|WGS:JANBPU|H4219_000025-T1_mrna		None	None
gene-H4219_000026	rna-gnl|WGS:JANBPU|H4219_000026-T1_mrna	PF00213.24	Partial	None
gene-H4219_000027	rna-gnl|WGS:JANBPU|H4219_000027-T1_mrna	PF04121.19	Partial	None
gene-H4219_000028	rna-gnl|WGS:JANBPU|H4219_000028-T1_mrna	PF03641.20	Partial	None
gene-H4219_000029	rna-gnl|WGS:JANBPU|H4219_000029-T1_mrna	PF00023.37,PF00023.37,PF01843.26,PF12796.14,PF12796.14,PF13606.13,PF13637.13	Complete	None
gene-H4219_000030	rna-gnl|WGS:JANBPU|H4219_000030-T1_mrna	PF02940.22,PF02940.22	Partial	None
gene-H4219_000031	rna-gnl|WGS:JANBPU|H4219_000031-T1_mrna		None	None
gene-H4219_000032	rna-gnl|WGS:JANBPU|H4219_000032-T1_mrna	PF01602.27,PF02883.27,PF12717.14	Complete	None
gene-H4219_000033	rna-gnl|WGS:JANBPU|H4219_000033-T1_mrna	PF00069.32,PF07714.24	Partial	None
gene-H4219_000034	rna-gnl|WGS:JANBPU|H4219_000034-T1_mrna	PF09335.17	Partial	None
gene-H4219_000035	rna-gnl|WGS:JANBPU|H4219_000035-T1_mrna	PF00378.26,PF16113.11	Partial	None
gene-H4219_000036	rna-gnl|WGS:JANBPU|H4219_000036-T1_mrna		None	None
gene-H4219_000037	rna-gnl|WGS:JANBPU|H4219_000037-T1_mrna	PF00069.32,PF02149.26,PF07714.24	Complete	None
gene-H4219_000038	rna-gnl|WGS:JANBPU|H4219_000038-T1_mrna	PF00916.27,PF01740.27	Complete	None
gene-H4219_000039	rna-gnl|WGS:JANBPU|H4219_000039-T1_mrna	PF00534.27,PF15924.12	Partial	None
gene-H4219_000040	rna-gnl|WGS:JANBPU|H4219_000040-T1_mrna	PF00155.28,PF01053.27,PF30496.1	Partial	None
gene-H4219_000041	rna-gnl|WGS:JANBPU|H4219_000041-T1_mrna	PF07690.22	Partial	None
gene-H4219_000042	rna-gnl|WGS:JANBPU|H4219_000042-T1_mrna	PF00156.34	Partial	None
gene-H4219_000043	rna-gnl|WGS:JANBPU|H4219_000043-T1_mrna	PF01960.24	Partial	None
gene-H4219_000044	rna-gnl|WGS:JANBPU|H4219_000044-T1_mrna	PF00258.31,PF00667.27	Partial	None
