gene_id	pfam_ids	go_ids	bin_id
gene-OE88DRAFT_1649511	PF12146.16,PF12697.14	NA	100
gene-OE88DRAFT_1669594	PF00240.30,PF00627.38,PF11976.15	GO:0005515	100
gene-OE88DRAFT_1729828		NA	100
gene-OE88DRAFT_1620133	PF01261.31	NA	100
gene-OE88DRAFT_1715457	PF01207.24	NA	100
gene-OE88DRAFT_226	PF20152.5	NA	100
gene-OE88DRAFT_1803043	PF00118.30	GO:0005524	100
gene-OE88DRAFT_1729833	PF07855.18	GO:0006914	8
gene-OE88DRAFT_1640291		NA	100
gene-OE88DRAFT_1620238	PF10345.16	GO:0007064	100
gene-OE88DRAFT_1619543	PF00884.29,PF01676.24,PF06415.19	GO:0003824,GO:0004619,GO:0005737,GO:0006007,GO:0030145,GO:0046872	8
gene-OE88DRAFT_1640293		NA	100
gene-OE88DRAFT_1721575	PF07264.18	NA	100
gene-OE88DRAFT_1709087	PF00176.30,PF00270.36,PF00271.38,PF04851.22,PF09110.17,PF09111.17,PF11496.15	GO:0003676,GO:0003677,GO:0005524,GO:0005634,GO:0006338,GO:0016787,GO:0031491,GO:0070823	4
gene-OE88DRAFT_1649524		NA	100
gene-OE88DRAFT_1658	PF13391.13	NA	100
gene-OE88DRAFT_1729840	PF00335.27	GO:0016020	100
gene-OE88DRAFT_1689331		NA	100
gene-OE88DRAFT_1649530	PF01124.24	GO:0016020	100
gene-OE88DRAFT_1649531	PF01124.24	GO:0016020	100
gene-OE88DRAFT_1740661	PF11957.14	NA	100
gene-OE88DRAFT_2840		NA	100
gene-OE88DRAFT_1649534		NA	100
gene-OE88DRAFT_1649535	PF14033.13	NA	100
gene-OE88DRAFT_1709090	PF00397.33,PF00639.28,PF13616.13	GO:0003755,GO:0005515	8
gene-OE88DRAFT_1729848	PF03473.24,PF03476.22	GO:0003824,GO:0030151,GO:0030170	8
gene-OE88DRAFT_1729849	PF20152.5	NA	100
gene-OE88DRAFT_1649541	PF08655.16	GO:0008608,GO:0042729,GO:0072686	100
gene-OE88DRAFT_1649542	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-OE88DRAFT_1689349	PF00175.27,PF00970.31	GO:0016491	8
gene-OE88DRAFT_1803063	PF01073.26,PF01370.28,PF02719.22,PF04321.24,PF07993.19,PF08659.17,PF16363.12	GO:0006694,GO:0016616	8
gene-OE88DRAFT_1721588	PF12937.13	GO:0005515	100
gene-OE88DRAFT_1740725	PF09818.16,PF20446.4,PF21117.4	NA	100
gene-OE88DRAFT_1620875	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	NA	100
gene-OE88DRAFT_1649552	PF01223.30	GO:0003676,GO:0016787,GO:0046872	4
gene-OE88DRAFT_1649554	PF01741.24	NA	100
gene-OE88DRAFT_1649556	PF00443.36,PF13446.12,PF13446.12	GO:0004843,GO:0016579	8
gene-OE88DRAFT_1649560	PF15370.12	GO:0000492	100
gene-OE88DRAFT_6118		NA	100
gene-OE88DRAFT_1649565	PF20152.5	NA	100
gene-OE88DRAFT_1649567	PF06148.18,PF08700.18,PF16528.12,PF25345.1	NA	100
gene-OE88DRAFT_1729865	PF00145.24,PF00145.24,PF12047.14	GO:0008168	8
gene-OE88DRAFT_1649572	PF02265.23	GO:0003676,GO:0004519,GO:0006308	4
gene-OE88DRAFT_5141	PF01040.24	GO:0016020,GO:0016765	8
gene-OE88DRAFT_1740870	PF00226.37,PF05207.19	NA	100
gene-OE88DRAFT_4188		NA	100
gene-OE88DRAFT_3673		NA	100
gene-OE88DRAFT_1640322		NA	100
gene-OE88DRAFT_4991		NA	100
gene-OE88DRAFT_1620357	PF00443.36,PF13423.13,PF13423.13	GO:0004843,GO:0016579	8
gene-OE88DRAFT_1803080	PF01040.24	GO:0016020,GO:0016765	8
gene-OE88DRAFT_1649593		NA	100
gene-OE88DRAFT_1649596		NA	100
gene-OE88DRAFT_1729873	PF13450.13	NA	100
gene-OE88DRAFT_6888	PF00289.29,PF00364.29,PF02222.28,PF02785.26,PF02786.23,PF07478.19	GO:0005524,GO:0008716	8
gene-OE88DRAFT_1620516	PF13450.13	NA	100
gene-OE88DRAFT_1721609	PF01207.24	NA	100
gene-OE88DRAFT_1740984	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-OE88DRAFT_1620174	PF01476.27	NA	100
gene-OE88DRAFT_1649614	PF01284.29	GO:0016020	100
gene-OE88DRAFT_1729880		NA	100
gene-OE88DRAFT_1620908		NA	100
gene-OE88DRAFT_1619939	PF01926.30,PF08153.18	GO:0005525	100
gene-OE88DRAFT_1616414		NA	100
gene-OE88DRAFT_1649621	PF00646.39	GO:0005515	100
gene-OE88DRAFT_1729885	PF00646.39	GO:0005515	100
gene-OE88DRAFT_1649624	PF00646.39,PF12937.13	GO:0005515	100
gene-OE88DRAFT_1649625	PF00312.28	GO:0003735,GO:0005840,GO:0006412	4
