gene_id	pfam_ids	go_ids	bin_id
gene-Clacol_000001		NA	100
gene-Clacol_000002		NA	100
gene-Clacol_000003		NA	100
gene-Clacol_000004	PF00026.29,PF14543.12	NA	100
gene-Clacol_000005	PF06087.19	GO:0005634,GO:0006281,GO:0008081	3
gene-Clacol_000006		NA	100
gene-Clacol_000007		NA	100
gene-Clacol_000008	PF12222.15,PF25156.3	NA	100
gene-Clacol_000009	PF00082.28,PF09286.17	GO:0006508,GO:0008236	5
gene-Clacol_000010	PF07690.22	GO:0022857,GO:0055085	6
gene-Clacol_000011	PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
gene-Clacol_000012	PF00646.39	GO:0005515	100
gene-Clacol_000013	PF00122.26,PF13246.13,PF16209.11,PF16212.12	NA	100
gene-Clacol_000014	PF00840.28	GO:0004553,GO:0005975	8
gene-Clacol_000015		NA	100
gene-Clacol_000016	PF00106.32,PF00106.32,PF08659.17,PF13561.13	NA	100
gene-Clacol_000017		NA	100
gene-Clacol_000018	PF17667.8,PF17667.8	NA	100
gene-Clacol_000019		NA	100
gene-Clacol_000020		NA	100
gene-Clacol_000021	PF00326.28,PF01738.25,PF09286.17,PF20434.6	GO:0006508,GO:0008236,GO:0016787	5
gene-Clacol_000022	PF00331.27,PF00331.27	GO:0004553,GO:0005975	8
gene-Clacol_000023	PF01735.24	GO:0004620,GO:0009395	8
gene-Clacol_000024	PF24883.3	NA	100
gene-Clacol_000025	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000026		NA	100
gene-Clacol_000027	PF17667.8,PF17667.8	NA	100
gene-Clacol_000028	PF00106.32,PF01370.28,PF13561.13	NA	100
gene-Clacol_000029	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000030	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000031	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000032		NA	100
gene-Clacol_000033	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-Clacol_000034		NA	100
gene-Clacol_000035		NA	100
gene-Clacol_000036		NA	100
gene-Clacol_000037	PF01735.24	GO:0004620,GO:0009395	8
gene-Clacol_000038	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000039		NA	100
gene-Clacol_000040		NA	100
gene-Clacol_000041		NA	100
gene-Clacol_000042		NA	100
gene-Clacol_000043		NA	100
gene-Clacol_000044	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000045	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000046	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-Clacol_000047		NA	100
gene-Clacol_000048	PF01735.24	GO:0004620,GO:0009395	8
gene-Clacol_000049		NA	100
gene-Clacol_000050		NA	100
gene-Clacol_000051		NA	100
gene-Clacol_000052	PF30661.1	NA	100
gene-Clacol_000053	PF30661.1	NA	100
gene-Clacol_000054		NA	100
gene-Clacol_000055	PF00106.32	NA	100
gene-Clacol_000056		NA	100
gene-Clacol_000057		NA	100
gene-Clacol_000058		NA	100
gene-Clacol_000059		NA	100
gene-Clacol_000060		NA	100
gene-Clacol_000061		NA	100
gene-Clacol_000062		NA	100
gene-Clacol_000063		NA	100
gene-Clacol_000064		NA	100
gene-Clacol_000065	PF20414.4	NA	100
gene-Clacol_000066		NA	100
gene-Clacol_000067		NA	100
gene-Clacol_000068		NA	100
gene-Clacol_000069		NA	100
gene-Clacol_000070	PF00201.25	GO:0008194	8
gene-Clacol_000071		NA	100
gene-Clacol_000072	PF00201.25	GO:0008194	8
gene-Clacol_000073		NA	100
gene-Clacol_000074		NA	100
gene-Clacol_000075		NA	100
gene-Clacol_000076		NA	100
gene-Clacol_000077		NA	100
gene-Clacol_000078		NA	100
gene-Clacol_000079	PF12697.14	NA	100
gene-Clacol_000080	PF12697.14	NA	100
gene-Clacol_000081	PF00118.30,PF01363.28,PF01504.25	GO:0005524,GO:0046488,GO:0046872,GO:0052742	3
gene-Clacol_000082	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF23381.2,PF23953.2	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117	6
gene-Clacol_000083		NA	100
gene-Clacol_000084		NA	100
gene-Clacol_000085	PF00011.28,PF17886.8	NA	100
gene-Clacol_000086		NA	100
gene-Clacol_000087		NA	100
gene-Clacol_000088		NA	100
gene-Clacol_000089		NA	100
gene-Clacol_000090		NA	100
gene-Clacol_000091	PF20151.5	NA	100
gene-Clacol_000092		NA	100
gene-Clacol_000093		NA	100
gene-Clacol_000094		NA	100
gene-Clacol_000095		NA	100
gene-Clacol_000096		NA	100
gene-Clacol_000097		NA	100
gene-Clacol_000098		NA	100
gene-Clacol_000099		NA	100
gene-Clacol_000100		NA	100
gene-Clacol_000101		NA	100
gene-Clacol_000102		NA	100
gene-Clacol_000103		NA	100
gene-Clacol_000104	PF00550.32,PF01370.28,PF07993.19,PF23562.3	NA	100
gene-Clacol_000105	PF00550.32,PF01370.28,PF07993.19,PF23562.3	NA	100
gene-Clacol_000106	PF00501.35,PF01370.28,PF07993.19,PF23562.3	NA	100
gene-Clacol_000107	PF07690.22	GO:0022857,GO:0055085	6
gene-Clacol_000108	PF00501.35,PF01370.28,PF07993.19,PF23562.3	NA	100
gene-Clacol_000109		NA	100
gene-Clacol_000110		NA	100
gene-Clacol_000111		NA	100
gene-Clacol_000112		NA	100
gene-Clacol_000113		NA	100
gene-Clacol_000114	PF00550.32,PF01370.28,PF07993.19,PF23562.3	NA	100
gene-Clacol_000115		NA	100
gene-Clacol_000116		NA	100
gene-Clacol_000117		NA	100
gene-Clacol_000118		NA	100
gene-Clacol_000119	PF20151.5	NA	100
gene-Clacol_000120		NA	100
gene-Clacol_000121		NA	100
gene-Clacol_000122	PF00118.30	GO:0005524	100
gene-Clacol_000123	PF03151.23	NA	100
gene-Clacol_000124	PF12937.13	GO:0005515	100
gene-Clacol_000125		NA	100
gene-Clacol_000126		NA	100
gene-Clacol_000127		NA	100
gene-Clacol_000128		NA	100
gene-Clacol_000129		NA	100
gene-Clacol_000130	PF09729.16	NA	100
gene-Clacol_000131		NA	100
gene-Clacol_000132	PF00004.36	GO:0005524,GO:0016887	8
gene-Clacol_000133		NA	100
gene-Clacol_000134	PF00083.31,PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-Clacol_000135	PF12937.13	GO:0005515	100
gene-Clacol_000136		NA	100
gene-Clacol_000137		NA	100
gene-Clacol_000138		NA	100
gene-Clacol_000139	PF00657.29	GO:0016788	8
gene-Clacol_000140	PF13640.13	NA	100
gene-Clacol_000141	PF01088.28,PF18031.7	GO:0004843,GO:0006511	8
gene-Clacol_000142		NA	100
gene-Clacol_000143		NA	100
gene-Clacol_000144		NA	100
gene-Clacol_000145		NA	100
gene-Clacol_000146		NA	100
