gene_id	pfam_ids	go_ids	bin_id
gene-DM01DRAFT_1278305		NA	100
gene-DM01DRAFT_1330653		NA	100
gene-DM01DRAFT_1379204		NA	100
gene-DM01DRAFT_1000073	PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF00514.30,PF04826.20,PF05804.18	GO:0005515	100
gene-DM01DRAFT_1360690	PF01743.27,PF12627.13	GO:0003723,GO:0006396,GO:0016779	4
gene-DM01DRAFT_1278333		NA	100
gene-DM01DRAFT_253050	PF00004.36,PF07726.18,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF07728.21,PF13401.13,PF17865.8,PF17867.8,PF17867.8,PF17867.8,PF21108.4	GO:0005524,GO:0016887	8
gene-DM01DRAFT_1000151		NA	100
gene-DM01DRAFT_309341		NA	100
gene-DM01DRAFT_1297191	PF12735.14	NA	100
gene-DM01DRAFT_1330663	PF00795.28	NA	100
gene-DM01DRAFT_1330664	PF00106.32,PF08659.17,PF13561.13,PF23441.1	NA	100
gene-DM01DRAFT_1314013	PF00342.25	GO:0004347,GO:0006094,GO:0006096	8
gene-DM01DRAFT_1360695	PF01066.27	GO:0008654,GO:0016020,GO:0016780	8
gene-DM01DRAFT_1314018	PF01210.30,PF07479.20	GO:0005975,GO:0006072,GO:0016616,GO:0046168,GO:0051287	8
gene-DM01DRAFT_1330667		NA	100
gene-DM01DRAFT_1330668	PF00018.35,PF00018.35,PF00564.31,PF00787.30,PF07653.24,PF14604.13,PF14604.13	GO:0005515,GO:0035091	100
gene-DM01DRAFT_1330669	PF00637.27,PF23411.2,PF23556.2	NA	100
gene-DM01DRAFT_1330670	PF01266.31,PF13450.13	NA	100
gene-DM01DRAFT_1297210	PF01738.25	GO:0016787	8
gene-DM01DRAFT_1279130	PF10288.15	GO:0000049,GO:0002098,GO:0034227	4
gene-DM01DRAFT_267575		NA	100
gene-DM01DRAFT_1330676	PF07282.19	NA	100
gene-DM01DRAFT_1403027	PF00632.31,PF25579.2	GO:0004842	5
gene-DM01DRAFT_1314029	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-DM01DRAFT_1403029	PF00012.27,PF06723.20	GO:0005524,GO:0016887	8
gene-DM01DRAFT_362998		NA	100
