gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BDB01DRAFT_714376	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA714376		None	None
gene-BDB01DRAFT_845474	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845474		None	None
gene-BDB01DRAFT_840411	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840411	PF12171.15,PF12756.14,PF12874.14	Complete	None
gene-BDB01DRAFT_614	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA614	PF00793.27	Partial	None
gene-BDB01DRAFT_788	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA788		None	None
gene-BDB01DRAFT_659	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA659		None	None
gene-BDB01DRAFT_768344	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768344	PF01687.24	Partial	None
gene-BDB01DRAFT_768346	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768346	PF00926.25	Partial	None
gene-BDB01DRAFT_768352	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768352	PF24681.2,PF24981.2	Partial	None
gene-BDB01DRAFT_845483	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845483	PF01344.32,PF24681.2	Partial	None
gene-BDB01DRAFT_845484	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845484	PF00651.38	Partial	None
gene-BDB01DRAFT_986	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA986	PF08774.18,PF21170.5	Complete	None
gene-BDB01DRAFT_768390	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768390		None	None
gene-BDB01DRAFT_768392	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768392	PF01204.25,PF22422.3	Partial	None
gene-BDB01DRAFT_768393	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768393	PF00226.37,PF09320.17	Complete	None
gene-BDB01DRAFT_751320	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA751320		None	None
gene-BDB01DRAFT_845490	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845490	PF02338.26,PF10275.16	Partial	None
gene-BDB01DRAFT_845491	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845491		None	None
gene-BDB01DRAFT_830421	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830421	PF00018.35,PF07653.24,PF14604.13	Partial	None
gene-BDB01DRAFT_768414	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768414	PF00719.25	Partial	None
gene-BDB01DRAFT_830423	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830423		None	None
gene-BDB01DRAFT_845494	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845494		None	None
gene-BDB01DRAFT_892425	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA892425	PF24681.2	Partial	None
gene-BDB01DRAFT_892426	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA892426		None	None
gene-BDB01DRAFT_892427	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA892427		None	None
gene-BDB01DRAFT_840418	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840418	PF00149.34,PF16891.11	Partial	None
gene-BDB01DRAFT_830432	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830432	PF00536.38,PF07647.25,PF25479.2	Complete	None
gene-BDB01DRAFT_693520	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA693520		None	None
gene-BDB01DRAFT_714000	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA714000	PF01764.32	Partial	None
gene-BDB01DRAFT_2277	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA2277	PF02219.24,PF21895.2,PF21897.2	Complete	None
gene-BDB01DRAFT_714320	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA714320	PF00682.26,PF22617.2	Complete	None
gene-BDB01DRAFT_2412	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA2412		None	None
gene-BDB01DRAFT_768478	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768478	PF00320.34	Complete	None
gene-BDB01DRAFT_840422	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840422	PF13181.13,PF23220.2,PF23231.2,PF23233.2,PF23240.2	Complete	None
gene-BDB01DRAFT_840423	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840423	PF00464.26	Partial	None
gene-BDB01DRAFT_768487	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768487	PF00828.26,PF29471.1	Partial	None
gene-BDB01DRAFT_713842	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA713842	PF03547.24	Partial	None
gene-BDB01DRAFT_768495	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768495	PF04157.23	Partial	None
gene-BDB01DRAFT_768502	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768502	PF03109.23	Partial	None
gene-BDB01DRAFT_768505	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768505	PF04893.23	Partial	None
gene-BDB01DRAFT_713427	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA713427	PF00350.30,PF01926.30,PF12763.14,PF16880.11,PF18150.7	Complete	None
gene-BDB01DRAFT_2861	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA2861		None	None
gene-BDB01DRAFT_840428	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840428	PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-BDB01DRAFT_712847	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA712847		None	None
gene-BDB01DRAFT_768514	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768514	PF09794.15	Partial	None
gene-BDB01DRAFT_734282	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA734282		None	None
gene-BDB01DRAFT_768522	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768522	PF00293.35	Partial	None
gene-BDB01DRAFT_768528	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768528	PF00005.34,PF01061.30,PF19055.7	Complete	None
gene-BDB01DRAFT_768542	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768542	PF01398.27,PF14464.12,PF23594.2	Complete	None
gene-BDB01DRAFT_768544	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768544		None	None
gene-BDB01DRAFT_830455	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830455	PF02656.21,PF09359.16	Complete	None
gene-BDB01DRAFT_830456	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830456	PF11817.15,PF12742.14,PF24967.2,PF29907.1,PF29907.1,PF30052.1,PF30053.1,PF30303.1	Complete	None
gene-BDB01DRAFT_713215	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA713215	PF01984.26	Partial	None
gene-BDB01DRAFT_712946	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA712946	PF00201.25	Partial	None
gene-BDB01DRAFT_3641	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA3641		None	None
gene-BDB01DRAFT_712895	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA712895		None	None
gene-BDB01DRAFT_3755	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA3755	PF01088.28	Partial	None
gene-BDB01DRAFT_689296	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA689296	PF01008.24	Partial	None
gene-BDB01DRAFT_840436	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840436	PF04111.18,PF17675.7	Complete	None
gene-BDB01DRAFT_845530	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845530	PF00018.35,PF00018.35,PF00130.29,PF00611.29,PF07653.24,PF07653.24,PF14604.13,PF14604.13	Complete	None
gene-BDB01DRAFT_713996	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA713996	PF01209.25,PF08241.19,PF08242.19,PF13489.13,PF13649.13,PF13847.13	Partial	None
gene-BDB01DRAFT_768604	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768604	PF04116.20	Partial	None
gene-BDB01DRAFT_862389	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA862389	PF03473.24,PF03476.22	Partial	None
gene-BDB01DRAFT_768616	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768616		None	None
gene-BDB01DRAFT_857513	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA857513	PF12460.15,PF14500.12	Complete	None
gene-BDB01DRAFT_4237	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA4237	PF12460.15	Partial	None
gene-BDB01DRAFT_901308	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA901308	PF00072.31,PF00512.32,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF00672.31,PF02518.32,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6,PF18947.6	Complete	None
gene-BDB01DRAFT_4321	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA4321	PF00046.36	Partial	None
gene-BDB01DRAFT_768628	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768628	PF03747.21	Partial	None
gene-BDB01DRAFT_830472	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830472		None	None
gene-BDB01DRAFT_751422	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA751422	PF00069.32,PF07714.24	Partial	None
gene-BDB01DRAFT_768656	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768656	PF01485.28	Complete	None
gene-BDB01DRAFT_768657	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768657	PF05652.18,PF11969.14	Partial	None
gene-BDB01DRAFT_768661	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768661	PF05964.20,PF05965.20	Complete	None
gene-BDB01DRAFT_840447	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840447	PF02320.23	Partial	None
gene-BDB01DRAFT_830477	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830477		None	None
gene-BDB01DRAFT_768669	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768669	PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-BDB01DRAFT_840449	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840449	PF01068.27,PF04675.20,PF04679.22	Complete	None
gene-BDB01DRAFT_768675	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768675	PF00071.29,PF00071.29,PF08355.18,PF08356.19	Complete	None
gene-BDB01DRAFT_768676	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768676		None	None
gene-BDB01DRAFT_845548	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845548	PF00326.28	Partial	None
gene-BDB01DRAFT_768683	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768683	PF00179.32	Partial	None
gene-BDB01DRAFT_768690	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768690	PF13945.12	Partial	None
gene-BDB01DRAFT_768698	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768698	PF01756.25,PF02770.25,PF14749.12,PF22924.2	Complete	None
gene-BDB01DRAFT_845553	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA845553	PF02195.27	Partial	None
gene-BDB01DRAFT_892483	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA892483		None	None
gene-BDB01DRAFT_768704	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768704	PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-BDB01DRAFT_768706	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768706	PF01125.23	Partial	None
gene-BDB01DRAFT_901330	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA901330		None	None
gene-BDB01DRAFT_830488	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830488	PF07529.19,PF13921.13	Complete	None
gene-BDB01DRAFT_768714	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768714	PF00172.24,PF24990.1,PF24990.1	Complete	None
gene-BDB01DRAFT_768720	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768720		None	None
gene-BDB01DRAFT_5496	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA5496		None	None
gene-BDB01DRAFT_5435	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA5435		None	None
gene-BDB01DRAFT_768724	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA768724	PF00160.27	Partial	None
gene-BDB01DRAFT_830492	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830492	PF00018.35,PF00018.35,PF00018.35,PF03983.19,PF07653.24,PF14604.13,PF14604.13,PF14604.13	Complete	None
gene-BDB01DRAFT_830493	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA830493		None	None
gene-BDB01DRAFT_751464	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA751464	PF00621.26	Partial	None
gene-BDB01DRAFT_840457	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA840457	PF02714.21,PF12621.14,PF13967.12,PF14703.13	Complete	None
gene-BDB01DRAFT_713085	rna-gnl|WGS:JAIXMH|BDB01DRAFT_mRNA713085	PF00923.26	Partial	None
