gene_id	pfam_ids	go_ids	bin_id
gene-QBC46DRAFT_368739	PF00827.23	GO:0003735,GO:0005840,GO:0006412	4
gene-QBC46DRAFT_414789		NA	100
gene-QBC46DRAFT_414791	PF04468.18	NA	100
gene-QBC46DRAFT_368751	PF01106.23,PF08712.17	GO:0005506,GO:0016226,GO:0051536	100
gene-QBC46DRAFT_414799	PF04438.23	NA	100
gene-QBC46DRAFT_69		NA	100
gene-QBC46DRAFT_414805	PF00617.25,PF00618.26	GO:0005085,GO:0007264	3
gene-QBC46DRAFT_188	PF03595.23	GO:0016020,GO:0055085	6
gene-QBC46DRAFT_164	PF00156.34,PF13793.13,PF14572.13	GO:0000287,GO:0009165	8
gene-QBC46DRAFT_271	PF03874.22	GO:0006352,GO:0030880	8
gene-QBC46DRAFT_335537	PF00071.29	GO:0003924,GO:0005525	8
gene-QBC46DRAFT_368776	PF01416.26	GO:0001522,GO:0003723,GO:0009451,GO:0009982	4
gene-QBC46DRAFT_368777	PF10181.16	NA	100
gene-QBC46DRAFT_297		NA	100
gene-QBC46DRAFT_414819	PF23774.2	NA	100
gene-QBC46DRAFT_414859	PF30927.1	NA	100
gene-QBC46DRAFT_354		NA	100
gene-QBC46DRAFT_368798		NA	100
gene-QBC46DRAFT_359657	PF03357.27	GO:0007034	6
gene-QBC46DRAFT_368808	PF04969.23	NA	100
gene-QBC46DRAFT_414880		NA	100
gene-QBC46DRAFT_335546	PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26,PF00806.26	GO:0003723	4
gene-QBC46DRAFT_368822		NA	100
gene-QBC46DRAFT_368823	PF00562.34,PF04560.26,PF04561.20,PF04563.21,PF04565.22,PF04566.19,PF04567.23	GO:0003677,GO:0003899,GO:0006351	4
gene-QBC46DRAFT_513		NA	100
gene-QBC46DRAFT_275788	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-QBC46DRAFT_348704	PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
gene-QBC46DRAFT_368829	PF00549.25,PF08442.16	GO:0003824	8
gene-QBC46DRAFT_444269	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-QBC46DRAFT_368832		NA	100
gene-QBC46DRAFT_402481	PF00447.24	GO:0003700,GO:0006355,GO:0043565	3
gene-QBC46DRAFT_368844	PF00400.39,PF12341.15,PF12894.14,PF20946.3	GO:0005515	100
gene-QBC46DRAFT_368847	PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-QBC46DRAFT_402484		NA	100
gene-QBC46DRAFT_335557	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF08477.20	GO:0003924,GO:0005525	8
gene-QBC46DRAFT_368856	PF17119.11	NA	100
gene-QBC46DRAFT_725		NA	100
gene-QBC46DRAFT_722		NA	100
gene-QBC46DRAFT_368861	PF20150.5	NA	100
gene-QBC46DRAFT_359672	PF07690.22	GO:0022857,GO:0055085	6
gene-QBC46DRAFT_248363	PF00755.26	NA	100
gene-QBC46DRAFT_348718		NA	100
gene-QBC46DRAFT_368871	PF08423.18,PF13481.13	NA	100
gene-QBC46DRAFT_402494		NA	100
gene-QBC46DRAFT_368873	PF00566.26,PF23436.2	NA	100
gene-QBC46DRAFT_368879	PF01201.28	NA	100
gene-QBC46DRAFT_414930	PF00632.31,PF06012.18,PF06025.18,PF14377.12,PF14377.12,PF14377.12	GO:0004842	5
gene-QBC46DRAFT_368893	PF01092.25	GO:0003735,GO:0005840,GO:0006412	4
gene-QBC46DRAFT_368900	PF01866.23	GO:0017183,GO:0090560	8
gene-QBC46DRAFT_368901	PF09696.16	GO:0007064,GO:0031390	100
gene-QBC46DRAFT_454814	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-QBC46DRAFT_368904	PF01263.27	GO:0005975,GO:0016853	8
gene-QBC46DRAFT_454816		NA	100
gene-QBC46DRAFT_368907	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
gene-QBC46DRAFT_t1		NA	100
gene-QBC46DRAFT_275849	PF10375.15	NA	100
gene-QBC46DRAFT_348730	PF00076.29	GO:0003723	4
gene-QBC46DRAFT_359686	PF02656.21,PF09359.16	NA	100
gene-QBC46DRAFT_368922	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-QBC46DRAFT_402509	PF20684.4	NA	100
gene-QBC46DRAFT_301281	PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-QBC46DRAFT_335583	PF00310.27,PF01493.26,PF01593.31,PF01645.24,PF04898.21,PF07992.21,PF13450.13,PF14691.12	GO:0006537,GO:0015930,GO:0016491,GO:0016638	8
gene-QBC46DRAFT_368936		NA	100
gene-QBC46DRAFT_348737	PF05841.17	GO:0005680,GO:0031145	8
gene-QBC46DRAFT_368942	PF30871.1	NA	100
gene-QBC46DRAFT_368947	PF09649.16	NA	100
gene-QBC46DRAFT_368949	PF21203.3	NA	100
gene-QBC46DRAFT_1147	PF08613.17	GO:0000079,GO:0019901	100
gene-QBC46DRAFT_402518		NA	100
gene-QBC46DRAFT_275882		NA	100
gene-QBC46DRAFT_248268	PF01036.25	GO:0016020	100
gene-QBC46DRAFT_t2		NA	100
gene-QBC46DRAFT_1215		NA	100
gene-QBC46DRAFT_1224		NA	100
gene-QBC46DRAFT_247934	PF11754.15,PF11754.15	NA	100
gene-QBC46DRAFT_1272		NA	100
gene-QBC46DRAFT_1276	PF00023.37,PF00023.37,PF01833.31,PF12796.14,PF13606.13,PF13637.13,PF13857.13,PF25603.2,PF25603.2	GO:0005515	100
gene-QBC46DRAFT_1356	PF00999.27	GO:0006812,GO:0015297,GO:0016020,GO:0055085,GO:1902600	6
gene-QBC46DRAFT_1308	PF00383.30	NA	100
gene-QBC46DRAFT_368985	PF00300.28,PF01591.25,PF01591.25	GO:0003873,GO:0005524,GO:0006000	3
gene-QBC46DRAFT_275900	PF06772.17	NA	100
gene-QBC46DRAFT_368991		NA	100
gene-QBC46DRAFT_359703	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-QBC46DRAFT_1464	PF11790.15	NA	100
gene-QBC46DRAFT_275909		NA	100
gene-QBC46DRAFT_1483	PF00097.32,PF13639.13,PF17123.12	GO:0046872	100
gene-QBC46DRAFT_369007	PF01302.32,PF14560.13	GO:0005515	100
gene-QBC46DRAFT_1539	PF00249.38,PF13921.13	NA	100
gene-QBC46DRAFT_275921	PF08241.19	GO:0008757	8
gene-QBC46DRAFT_348759	PF01408.29,PF22725.2	GO:0000166	100
gene-QBC46DRAFT_248064	PF00248.28	NA	100
gene-QBC46DRAFT_414992	PF04818.20,PF11526.14,PF21936.3	GO:0005849,GO:0006369,GO:0031124	8
gene-QBC46DRAFT_1619	PF24535.2	NA	100
gene-QBC46DRAFT_335610		NA	100
gene-QBC46DRAFT_1699		NA	100
gene-QBC46DRAFT_402544		NA	100
gene-QBC46DRAFT_454847	PF00370.28,PF02782.23,PF04097.21	GO:0005643,GO:0005975,GO:0016301,GO:0017056	3
gene-QBC46DRAFT_1820	PF11905.14	NA	100
gene-QBC46DRAFT_1825	PF24883.3	NA	100
gene-QBC46DRAFT_369051		NA	100
gene-QBC46DRAFT_248431	PF00076.29,PF04818.20,PF21380.3	GO:0003723	4
gene-QBC46DRAFT_369059	PF00285.27	GO:0046912	8
gene-QBC46DRAFT_1874	PF00153.33,PF00153.33,PF00153.33	NA	100
gene-QBC46DRAFT_369075	PF00122.26,PF00690.32,PF00702.33	NA	100
gene-QBC46DRAFT_1984	PF02141.27,PF03455.25,PF03456.26	NA	100
gene-QBC46DRAFT_248311	PF06159.19,PF23647.3	NA	100
gene-QBC46DRAFT_369085	PF00149.34	GO:0016787	8
gene-QBC46DRAFT_369086		NA	100
