protein_id	length
GML000001_mRNA1	530
GML000101_mRNA1	1549
GML000201_mRNA1	171
GML000301_mRNA1	86
GML000401_mRNA1	321
GML000501_mRNA1	83
GML000601_mRNA1	266
GML000701_mRNA1	625
GML000801_mRNA1	195
GML000901_mRNA1	303
GML001001_mRNA1	1304
GML001101_mRNA1	1295
GML001201_mRNA1	205
GML001301_mRNA1	146
GML001401_mRNA1	447
GML001501_mRNA1	665
GML001601_mRNA1	390
GML001701_mRNA1	198
GML001801_mRNA1	469
GML001901_mRNA1	141
GML002001_mRNA1	534
GML002101_mRNA1	262
GML002201_mRNA1	471
GML002301_mRNA1	388
GML002401_mRNA1	929
GML002501_mRNA1	210
GML002601_mRNA1	435
GML002701_mRNA1	504
GML002801_mRNA1	190
GML002901_mRNA1	326
GML003001_mRNA1	746
GML003101_mRNA1	80
GML003201_mRNA1	208
GML003301_mRNA1	66
GML003401_mRNA1	91
GML003501_mRNA1	700
GML003601_mRNA1	330
GML003701_mRNA1	546
GML003801_mRNA1	222
GML003901_mRNA1	705
GML004001_mRNA1	460
GML004101_mRNA1	228
GML004201_mRNA1	285
GML004301_mRNA1	113
GML004401_mRNA1	259
GML004501_mRNA1	549
GML004601_mRNA1	587
GML004701_mRNA1	252
GML004801_mRNA1	706
GML004901_mRNA1	197
GML005001_mRNA1	91
GML005101_mRNA1	803
GML005201_mRNA1	163
GML005301_mRNA1	155
GML005401_mRNA1	627
GML005501_mRNA1	557
GML005601_mRNA1	121
GML005701_mRNA1	152
GML005801_mRNA1	754
GML005901_mRNA1	508
GML006001_mRNA1	715
GML006101_mRNA1	664
GML006201_mRNA1	136
GML006301_mRNA1	841
GML006401_mRNA1	362
GML006501_mRNA1	1059
GML006601_mRNA1	293
GML006701_mRNA1	64
GML006801_mRNA1	642
GML006901_mRNA1	200
GML007001_mRNA1	516
GML007101_mRNA1	890
GML007201_mRNA1	282
GML007301_mRNA1	460
GML007401_mRNA1	227
GML007501_mRNA1	451
GML007601_mRNA1	163
GML007701_mRNA1	71
GML007801_mRNA1	525
GML007901_mRNA1	1090
GML008001_mRNA1	53
GML008101_mRNA1	1423
GML008201_mRNA1	545
GML008301_mRNA1	379
GML008401_mRNA1	151
GML008501_mRNA1	922
GML008601_mRNA1	534
GML008701_mRNA1	111
GML008801_mRNA1	214
GML008901_mRNA1	320
GML009001_mRNA1	345
GML009101_mRNA1	107
GML009201_mRNA1	120
GML009301_mRNA1	283
GML009401_mRNA1	335
GML009501_mRNA1	831
GML009601_mRNA1	727
GML009701_mRNA1	157
GML009801_mRNA1	153
GML009901_mRNA1	1235
GML010001_mRNA1	811
GML010101_mRNA1	281
GML010201_mRNA1	523
GML010301_mRNA1	139
GML010401_mRNA1	324
GML010501_mRNA1	168
GML010601_mRNA1	627
GML010701_mRNA1	246
GML010801_mRNA1	343
GML010901_mRNA1	207
GML011001_mRNA1	386
GML011102_mRNA1	507
GML011201_mRNA1	1384
GML011301_mRNA1	88
GML011401_mRNA1	381
GML011501_mRNA1	150
GML011601_mRNA1	357
GML011701_mRNA1	406
GML011801_mRNA1	727
GML011901_mRNA1	95
GML012001_mRNA1	521
GML012101_mRNA1	732
GML012201_mRNA1	841
GML012301_mRNA1	302
GML012401_mRNA1	457
GML012501_mRNA1	61
GML012601_mRNA1	121
GML012701_mRNA1	122
GML012801_mRNA1	375
GML012901_mRNA1	736
GML013001_mRNA1	201
GML013101_mRNA1	336
GML013201_mRNA1	469
GML013301_mRNA1	126
GML013401_mRNA1	169
GML013501_mRNA1	609
GML013601_mRNA1	190
GML013701_mRNA1	166
GML013801_mRNA1	128
GML013901_mRNA1	150
GML014001_mRNA1	161
GML014101_mRNA1	108
GML014201_mRNA1	382
GML014301_mRNA1	91
GML014401_mRNA1	171
GML014501_mRNA1	99
