gene_id	pfam_ids	go_ids	bin_id
gene-DCS_00001	PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-DCS_00002		NA	100
gene-DCS_00003		NA	100
gene-DCS_00004		NA	100
gene-DCS_00005	PF03184.26	NA	1
gene-DCS_00006		NA	100
gene-DCS_00007		NA	100
gene-DCS_00008		NA	100
gene-DCS_00009		NA	100
gene-DCS_00010		NA	100
gene-DCS_00011	PF04479.19	GO:0016020	100
gene-DCS_00012	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
gene-DCS_00013	PF04479.19,PF04479.19	GO:0016020	100
gene-DCS_00014		NA	100
gene-DCS_00015		NA	100
gene-DCS_00016		NA	100
gene-DCS_00017		NA	100
gene-DCS_00018	PF07859.20,PF10340.16	GO:0016787	8
gene-DCS_00019	PF00160.27	GO:0000413,GO:0003755	8
gene-DCS_00020		NA	100
gene-DCS_00021		NA	100
gene-DCS_00022		NA	100
gene-DCS_00023	PF02102.22,PF14521.13	GO:0004222,GO:0006508	5
gene-DCS_00024	PF00076.29	GO:0003723	4
gene-DCS_00025	PF00400.39,PF00400.39,PF21032.3	GO:0005515	100
gene-DCS_00026	PF00735.25	GO:0005525	100
gene-DCS_00027	PF01027.27	NA	100
gene-DCS_00028	PF03798.22	GO:0016020	100
gene-DCS_00029	PF00501.35,PF13193.13	NA	100
gene-DCS_00030	PF04488.22	NA	100
gene-DCS_00031		NA	100
gene-DCS_00032	PF01729.26,PF02749.23	GO:0004514,GO:0009435,GO:0016763	8
gene-DCS_00033	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-DCS_00034	PF06330.17	GO:0016838	8
gene-DCS_00035		NA	100
gene-DCS_00036	PF00551.25	GO:0009058	8
gene-DCS_00037	PF03403.20	NA	100
gene-DCS_00038		NA	100
gene-DCS_00039	PF00082.28,PF05922.22	GO:0006508,GO:0008236	5
gene-DCS_00040	PF07691.18,PF10528.15	NA	100
gene-DCS_00041	PF07691.18,PF10528.15	NA	100
gene-DCS_00042	PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19,PF05792.19	GO:0007155	100
gene-DCS_00043		NA	100
gene-DCS_00044	PF00698.27,PF01575.26,PF08354.16,PF13452.12,PF16073.11,PF17828.7,PF17951.7,PF22235.2	GO:0004318,GO:0019171	8
gene-DCS_00045	PF00109.33,PF02801.29,PF18314.7,PF18325.8	GO:0008897	8
gene-DCS_00046	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-DCS_00047	PF00501.35,PF00501.35,PF00501.35,PF00501.35,PF00501.35,PF00550.32,PF00550.32,PF00550.32,PF00550.32,PF00550.32,PF00668.26,PF00668.26,PF00668.26,PF00668.26,PF00668.26,PF00668.26	GO:0003824	8
gene-DCS_00048	PF07992.21	GO:0016491	8
gene-DCS_00049		NA	100
gene-DCS_00050	PF06993.18	NA	100
gene-DCS_00051	PF00583.32,PF13302.14	GO:0016747	8
gene-DCS_00052	PF00535.33,PF03552.21,PF13506.14,PF13632.13,PF13641.13	GO:0016020,GO:0016757,GO:0016760,GO:0030244	8
gene-DCS_00053		NA	100
gene-DCS_00054		NA	100
gene-DCS_00055	PF01670.24	GO:0000272,GO:0008810	8
gene-DCS_00056		NA	100
gene-DCS_00057		NA	100
gene-DCS_00058	PF01284.29	GO:0016020	100
gene-DCS_00059	PF00042.29,PF00175.27,PF00970.31	GO:0016491,GO:0020037	8
gene-DCS_00060		NA	100
gene-DCS_00061	PF00253.28	GO:0003735,GO:0005840,GO:0006412	4
gene-DCS_00062	PF10197.15,PF12542.14	NA	100
gene-DCS_00063	PF00025.28,PF00071.29,PF08477.20	GO:0003924,GO:0005525	8
gene-DCS_00064		NA	100
gene-DCS_00065	PF02666.21,PF12588.14	GO:0004609,GO:0008654	8
gene-DCS_00066		NA	100
gene-DCS_00067		NA	100
gene-DCS_00068		NA	100
gene-DCS_00069	PF00722.29	GO:0004553,GO:0005975	8
gene-DCS_00070	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
gene-DCS_00071	PF00899.28	NA	100
gene-DCS_00072		NA	100
gene-DCS_00073	PF22749.3	NA	100
gene-DCS_00074	PF18388.7	NA	100
gene-DCS_00075	PF03190.22	NA	100
gene-DCS_00076	PF05783.18	NA	100
gene-DCS_00077	PF03572.24,PF23658.2	GO:0006508,GO:0008236	5
gene-DCS_00078	PF00005.34,PF00005.34,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
gene-DCS_00079	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-DCS_00080		NA	100
gene-DCS_00081		NA	100
gene-DCS_00082	PF01375.24	GO:0005615,GO:0090729	100
gene-DCS_00083	PF00082.28,PF02225.28,PF06280.19	GO:0004252,GO:0005618,GO:0006508,GO:0008236,GO:0016020	5
gene-DCS_00084		NA	100
gene-DCS_00085		NA	100
gene-DCS_00086	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-DCS_00087		NA	100
gene-DCS_00088		NA	100
gene-DCS_00089	PF07727.20,PF07727.20	NA	100
gene-DCS_00090		NA	100
gene-DCS_00091		NA	100
gene-DCS_00092	PF00400.39,PF02138.24,PF13385.14,PF14844.13,PF23295.2	GO:0005515	100
gene-DCS_00093		NA	100
gene-DCS_00094	PF03345.22,PF23358.2	NA	100
gene-DCS_00095	PF06246.18	GO:0000350	100
gene-DCS_00096		NA	100
gene-DCS_00097		NA	100
gene-DCS_00098	PF20248.4	NA	100
gene-DCS_00099		NA	100
gene-DCS_00100		NA	100
gene-DCS_00101		NA	100
gene-DCS_00102		NA	100
gene-DCS_00103		NA	100
gene-DCS_00104		NA	100
gene-DCS_00105	PF00378.26,PF16113.11	NA	100
gene-DCS_00106		NA	100
gene-DCS_00107		NA	100
gene-DCS_00108	PF28376.1,PF30866.1,PF30868.1	NA	100
gene-DCS_00109		NA	100
gene-DCS_00110		NA	100
