gene_id	pfam_ids	go_ids	bin_id
gene-FA14DRAFT_119029	PF07690.22	GO:0022857,GO:0055085	6
gene-FA14DRAFT_182965	PF01490.25,PF01490.25	NA	100
gene-FA14DRAFT_151882	PF01965.31	NA	100
gene-FA14DRAFT_26	PF05368.20,PF13460.13	NA	100
gene-FA14DRAFT_151884	PF00903.32	NA	100
gene-FA14DRAFT_220		NA	100
gene-FA14DRAFT_175764		NA	100
gene-FA14DRAFT_151886		NA	100
gene-FA14DRAFT_186668	PF11051.15	GO:0009101,GO:0016757	8
gene-FA14DRAFT_243	PF11051.15,PF11051.15	GO:0009101,GO:0016757	8
gene-FA14DRAFT_151889		NA	100
gene-FA14DRAFT_111102	PF07690.22	GO:0022857,GO:0055085	6
gene-FA14DRAFT_183001	PF00457.25	NA	100
gene-FA14DRAFT_162893	PF00135.35,PF07859.20,PF20434.6	GO:0016787	8
gene-FA14DRAFT_169451	PF00149.34,PF14008.12,PF16656.12	GO:0003993,GO:0016787,GO:0046872	8
gene-FA14DRAFT_169452	PF10566.16,PF14508.13,PF14509.13	NA	100
gene-FA14DRAFT_169453		NA	100
gene-FA14DRAFT_346	PF01758.22	GO:0016020	100
gene-FA14DRAFT_367		NA	100
gene-FA14DRAFT_303		NA	100
gene-FA14DRAFT_162896	PF03358.21	GO:0016491	8
gene-FA14DRAFT_162897	PF07690.22	GO:0022857,GO:0055085	6
gene-FA14DRAFT_486		NA	100
gene-FA14DRAFT_169458		NA	100
gene-FA14DRAFT_158981		NA	100
gene-FA14DRAFT_183024		NA	100
gene-FA14DRAFT_507		NA	100
gene-FA14DRAFT_175777	PF13391.13	NA	100
gene-FA14DRAFT_151902		NA	100
gene-FA14DRAFT_676		NA	100
gene-FA14DRAFT_675		NA	100
gene-FA14DRAFT_671		NA	100
gene-FA14DRAFT_158991		NA	100
gene-FA14DRAFT_183032	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-FA14DRAFT_845		NA	100
gene-FA14DRAFT_846		NA	100
gene-FA14DRAFT_112919	PF03151.23,PF08449.18	GO:0055085	6
gene-FA14DRAFT_175781	PF04488.22	NA	100
gene-FA14DRAFT_941		NA	100
gene-FA14DRAFT_158993		NA	100
gene-FA14DRAFT_151910		NA	100
gene-FA14DRAFT_183041		NA	100
gene-FA14DRAFT_973	PF07885.23,PF07885.23	NA	100
gene-FA14DRAFT_140306	PF03595.23	GO:0016020,GO:0055085	6
gene-FA14DRAFT_118847	PF02537.22,PF02537.22	GO:0016020	100
gene-FA14DRAFT_2184	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
gene-FA14DRAFT_116560	PF00113.29,PF03952.22	NA	100
gene-FA14DRAFT_118166	PF00155.28	GO:0009058,GO:0030170	8
gene-FA14DRAFT_2215	PF07992.21	GO:0016491	8
gene-FA14DRAFT_140321	PF00753.34	NA	100
gene-FA14DRAFT_2289		NA	100
gene-FA14DRAFT_175792	PF06912.17	NA	100
gene-FA14DRAFT_175793		NA	100
gene-FA14DRAFT_2350	PF13391.13	NA	100
gene-FA14DRAFT_159007		NA	100
gene-FA14DRAFT_175795		NA	100
gene-FA14DRAFT_151927		NA	100
gene-FA14DRAFT_175798		NA	100
gene-FA14DRAFT_159012	PF00160.27	GO:0000413,GO:0003755	8
gene-FA14DRAFT_159014		NA	100
gene-FA14DRAFT_159015	PF00034.27,PF13442.12	GO:0009055,GO:0020037	100
gene-FA14DRAFT_169485	PF00561.27	NA	100
gene-FA14DRAFT_175802	PF12937.13	GO:0005515	100
gene-FA14DRAFT_128652	PF03097.25,PF13949.12	GO:0005515	100
gene-FA14DRAFT_175804	PF00787.30,PF19566.6	GO:0035091	100
gene-FA14DRAFT_3275		NA	100
gene-FA14DRAFT_118845	PF00330.26,PF00694.26,PF27434.2,PF27512.1	NA	100
gene-FA14DRAFT_151935		NA	100
gene-FA14DRAFT_186709	PF00485.25	GO:0005524,GO:0016301	3
gene-FA14DRAFT_140340	PF10282.16	NA	100
gene-FA14DRAFT_3298		NA	100
gene-FA14DRAFT_159019	PF00107.33,PF08240.18	NA	100
gene-FA14DRAFT_186713		NA	100
gene-FA14DRAFT_159020	PF00676.26,PF02779.30,PF16078.11,PF16870.11	GO:0016624	8
gene-FA14DRAFT_159021		NA	100
gene-FA14DRAFT_166248	PF01055.33,PF21365.4	GO:0004553,GO:0005975	8
gene-FA14DRAFT_169498		NA	100
gene-FA14DRAFT_186718		NA	100
gene-FA14DRAFT_140353	PF00650.26,PF03765.22	NA	100
gene-FA14DRAFT_151947		NA	100
gene-FA14DRAFT_175820	PF13668.13	NA	100
gene-FA14DRAFT_175821	PF01209.25,PF08241.19,PF13649.13,PF13847.13	GO:0008757	8
gene-FA14DRAFT_186723	PF05693.20,PF08323.18	GO:0004373,GO:0005978	8
gene-FA14DRAFT_3483	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-FA14DRAFT_118769	PF00004.36,PF00004.36,PF07728.21,PF17862.8,PF17862.8	GO:0005524,GO:0016887	8
gene-FA14DRAFT_118383	PF04387.20	NA	100
gene-FA14DRAFT_108704	PF02146.24	GO:0070403	100
