gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-B0I36DRAFT_235489	rna-XM_046149401.1	PF00067.28	Partial	None
gene-B0I36DRAFT_356960	rna-XM_046157721.1		None	None
gene-B0I36DRAFT_356961	rna-XM_046157722.1		None	None
gene-B0I36DRAFT_308885	rna-XM_046152059.1		None	None
gene-B0I36DRAFT_308886	rna-XM_046152060.1		None	None
gene-B0I36DRAFT_233310	rna-XM_046149223.1	PF04082.24	Partial	None
gene-B0I36DRAFT_370652	rna-XM_046159931.1	PF00743.26,PF13450.13	Partial	None
gene-B0I36DRAFT_356964	rna-XM_046157723.1	PF14856.12	Partial	None
gene-B0I36DRAFT_390092	rna-XM_046161382.1	PF01565.29	Partial	None
gene-B0I36DRAFT_233580	rna-XM_046149239.1	PF01168.27,PF14031.14	Complete	None
gene-B0I36DRAFT_233133	rna-XM_046149206.1	PF00171.28,PF05893.20	Partial	None
gene-B0I36DRAFT_356968	rna-XM_046157724.1	PF00106.32,PF08659.17,PF13561.13,PF13561.13	Partial	None
gene-B0I36DRAFT_233252	rna-XM_046149220.1	PF07690.22	Partial	None
gene-B0I36DRAFT_356970	rna-XM_046157725.1	PF00155.28	Partial	None
gene-B0I36DRAFT_343428	rna-XM_046156160.1		None	None
gene-B0I36DRAFT_356972	rna-XM_046157726.1		None	None
gene-B0I36DRAFT_356973	rna-XM_046157727.1	PF07690.22	Partial	None
gene-B0I36DRAFT_235353	rna-XM_046149392.1	PF00005.34,PF00005.34,PF00664.29,PF00664.29	Complete	None
gene-B0I36DRAFT_390130	rna-XM_046161383.1	PF07690.22	Partial	None
gene-B0I36DRAFT_308893	rna-XM_046152061.1	PF04082.24	Partial	None
gene-B0I36DRAFT_308896	rna-XM_046152062.1		None	None
gene-B0I36DRAFT_356977	rna-XM_046157728.1	PF07690.22	Partial	None
gene-B0I36DRAFT_308898	rna-XM_046152063.1	PF00701.29	Partial	None
gene-B0I36DRAFT_279793	rna-XM_046151458.1	PF00083.31,PF07690.22	Partial	None
gene-B0I36DRAFT_235661	rna-XM_046149414.1	PF00172.24,PF04082.24	Partial	None
gene-B0I36DRAFT_370665	rna-XM_046159932.1	PF00703.28,PF02836.24,PF02837.25	Partial	None
gene-B0I36DRAFT_279799	rna-XM_046151459.1	PF07690.22	Partial	None
gene-B0I36DRAFT_356983	rna-XM_046157729.1		None	None
gene-B0I36DRAFT_308907	rna-XM_046152064.1	PF00264.26	Partial	None
gene-B0I36DRAFT_234890	rna-XM_046149354.1	PF00324.28,PF13520.13	Partial	None
gene-B0I36DRAFT_279804	rna-XM_046151460.1	PF01179.28,PF02727.22,PF02728.23	Partial	None
gene-B0I36DRAFT_390173	rna-XM_046161384.1	PF00172.24,PF11951.14	Partial	None
gene-B0I36DRAFT_233693	rna-XM_046149248.1	PF00171.28	Partial	None
gene-B0I36DRAFT_356989	rna-XM_046157730.1	PF00205.29,PF02775.27,PF02776.24	Complete	None
gene-B0I36DRAFT_258628	rna-XM_046151087.1	PF01565.29,PF02913.25	Partial	None
gene-B0I36DRAFT_426242	rna-XM_046162384.1	PF00890.31,PF01593.31,PF13450.13	Partial	None
gene-B0I36DRAFT_232683	rna-XM_046149161.1	PF03332.20,PF08282.19	Partial	None
gene-B0I36DRAFT_343449	rna-XM_046156161.1	PF00026.29	Partial	None
gene-B0I36DRAFT_378745	rna-XM_046160729.1	PF00171.28	Partial	None
gene-B0I36DRAFT_370676	rna-XM_046159933.1	PF00172.24,PF04082.24	Partial	None
gene-B0I36DRAFT_139	rna-XM_046148338.1	PF01557.24	Partial	None
gene-B0I36DRAFT_356996	rna-XM_046157731.1	PF11578.14	Partial	None
gene-B0I36DRAFT_419187	rna-XM_046162124.1	PF00083.31,PF07690.22	Partial	None
gene-B0I36DRAFT_308934	rna-XM_046152065.1	PF07883.18	Partial	None
gene-B0I36DRAFT_426249	rna-XM_046162385.1	PF03055.22	Partial	None
