protein_id	length
GML000001_mRNA1	340
GML000101_mRNA1	211
GML000201_mRNA1	314
GML000301_mRNA1	550
GML000401_mRNA1	673
GML000501_mRNA1	478
GML000601_mRNA1	230
GML000701_mRNA1	943
GML000801_mRNA1	870
GML000901_mRNA1	1292
GML001001_mRNA1	1608
GML001101_mRNA1	773
GML001201_mRNA1	213
GML001301_mRNA1	937
GML001401_mRNA1	95
GML001501_mRNA1	400
GML001601_mRNA1	233
GML001701_mRNA1	420
GML001801_mRNA1	60
GML001901_mRNA1	465
GML002001_mRNA1	749
GML002101_mRNA1	1024
GML002201_mRNA1	576
GML002301_mRNA1	923
GML002401_mRNA1	747
GML002501_mRNA1	844
GML002601_mRNA1	542
GML002701_mRNA1	663
GML002801_mRNA1	374
GML002901_mRNA1	436
GML003001_mRNA1	208
GML003101_mRNA1	115
GML003201_mRNA1	290
GML003301_mRNA1	1133
GML003401_mRNA1	500
GML003501_mRNA1	235
GML003601_mRNA1	874
GML003701_mRNA1	1418
GML003801_mRNA1	373
GML003901_mRNA1	411
GML004001_mRNA1	196
GML004101_mRNA1	260
GML004201_mRNA1	557
GML004301_mRNA1	263
GML004401_mRNA1	82
GML004501_mRNA1	694
GML004601_mRNA1	709
GML004701_mRNA1	475
GML004801_mRNA1	943
GML004901_mRNA1	664
GML005001_mRNA1	613
GML005101_mRNA1	972
GML005201_mRNA1	112
GML005301_mRNA1	191
GML005401_mRNA1	552
GML005501_mRNA1	3042
GML005601_mRNA1	562
GML005701_mRNA1	330
GML005801_mRNA1	194
GML005901_mRNA1	194
GML006001_mRNA1	1418
GML006101_mRNA1	581
GML006201_mRNA1	372
GML006301_mRNA1	318
GML006401_mRNA1	846
GML006501_mRNA1	250
GML006601_mRNA1	277
GML006701_mRNA1	537
GML006801_mRNA1	447
GML006901_mRNA1	396
GML007001_mRNA1	855
GML007101_mRNA1	234
GML007201_mRNA1	232
GML007301_mRNA1	550
GML007401_mRNA1	414
GML007501_mRNA1	355
GML007601_mRNA1	305
GML007701_mRNA1	364
GML007801_mRNA1	268
GML007901_mRNA1	661
GML008001_mRNA1	556
GML008101_mRNA1	586
GML008201_mRNA1	190
GML008301_mRNA1	195
GML008401_mRNA1	449
GML008501_mRNA1	488
GML008601_mRNA1	129
GML008701_mRNA1	313
GML008801_mRNA1	690
GML008901_mRNA1	104
GML009001_mRNA1	225
GML009101_mRNA1	245
GML009201_mRNA1	196
GML009301_mRNA1	98
GML009401_mRNA1	442
