protein_id	length
rna-XM_048043227.1	836
rna-XM_048041906.1	616
rna-XM_048043303.1	775
rna-XM_048032494.1	518
rna-XM_048036777.1	782
rna-XM_048031344.1	502
rna-XM_048037082.1	573
rna-XM_048039551.1	357
rna-XM_048037341.1	295
rna-XM_048037493.1	84
rna-XM_048042679.1	260
rna-XM_048032130.1	351
rna-XM_048030308.1	851
rna-XM_048036597.1	546
rna-XM_048030364.1	703
rna-XM_048038413.1	292
rna-XM_048041479.1	943
rna-XM_048030384.1	120
rna-XM_048030412.1	945
rna-XM_048030436.1	352
rna-XM_048039710.1	111
rna-XM_048033376.1	250
rna-XM_048030460.1	226
rna-XM_048042769.1	245
rna-XM_048034883.1	585
rna-XM_048033389.1	361
rna-XM_048044967.1	398
rna-XM_048034898.1	474
rna-XM_048039568.1	76
rna-XM_048030596.1	118
rna-XM_048040218.1	465
rna-XM_048031680.1	572
rna-XM_048041588.1	605
rna-XM_048030653.1	144
rna-XM_048030690.1	226
rna-XM_048045082.1	453
rna-XM_048042156.1	293
rna-XM_048030715.1	851
rna-XM_048035677.1	925
rna-XM_048031698.1	142
rna-XM_048045181.1	384
rna-XM_048032475.1	802
rna-XM_048042888.1	638
rna-XM_048031716.1	566
rna-XM_048042172.1	350
rna-XM_048042910.1	344
rna-XM_048035701.1	244
rna-XM_048039641.1	362
rna-XM_048036323.1	862
rna-XM_048041593.1	251
rna-XM_048045347.1	460
rna-XM_048045392.1	127
rna-XM_048041595.1	2326
rna-XM_048035716.1	304
rna-XM_048037014.1	451
rna-XM_048031391.1	763
rna-XM_048043629.1	1310
rna-XM_048031413.1	538
rna-XM_048043730.1	386
rna-XM_048037086.1	396
rna-XM_048037106.1	324
rna-XM_048033574.1	59
rna-XM_048037145.1	609
rna-XM_048041244.1	399
rna-XM_048042201.1	209
rna-XM_048036346.1	242
rna-XM_048041597.1	558
rna-XM_048032369.1	160
rna-XM_048037237.1	142
rna-XM_048037253.1	209
rna-XM_048031788.1	445
rna-XM_048031009.1	220
rna-XM_048033691.1	395
rna-XM_048037316.1	931
rna-XM_048028290.1	304
rna-XM_048028314.1	72
rna-XM_048037352.1	130
rna-XM_048028360.1	61
rna-XM_048039431.1	277
rna-XM_048041513.1	77
rna-XM_048035309.1	346
rna-XM_048031830.1	311
rna-XM_048040446.1	236
rna-XM_048037468.1	74
rna-XM_048041333.1	501
rna-XM_048037524.1	71
rna-XM_048043897.1	493
rna-XM_048043932.1	60
rna-XM_048043969.1	106
rna-XM_048043988.1	204
rna-XM_048036190.1	781
rna-XM_048028550.1	113
rna-XM_048037650.1	458
rna-XM_048033872.1	334
rna-XM_048031115.1	547
rna-XM_048037712.1	199
rna-XM_048039512.1	210
rna-XM_048032393.1	355
rna-XM_048028754.1	1054
rna-XM_048028795.1	104
rna-XM_048042326.1	253
rna-XM_048041757.1	357
rna-XM_048031897.1	687
rna-XM_048040557.1	398
rna-XM_048042342.1	157
rna-XM_048037911.1	219
rna-XM_048031914.1	149
rna-XM_048037940.1	588
rna-XM_048033070.1	81
rna-XM_048033087.1	223
rna-XM_048036205.1	137
rna-XM_048031522.1	493
rna-XM_048038034.1	176
rna-XM_048038055.1	191
rna-XM_048034029.1	1282
rna-XM_048040600.1	142
rna-XM_048041396.1	384
rna-XM_048041398.1	408
rna-XM_048029128.1	60
rna-XM_048029150.1	237
rna-XM_048039446.1	240
rna-XM_048040647.1	205
rna-XM_048032651.1	232
rna-XM_048034156.1	241
rna-XM_048035960.1	624
rna-XM_048035964.1	284
rna-XM_048044339.1	1870
rna-XM_048031568.1	232
rna-XM_048036468.1	1809
rna-XM_048035477.1	470
rna-XM_048031215.1	112
rna-XM_048029315.1	474
rna-XM_048040686.1	135
rna-XM_048041605.1	333
rna-XM_048029397.1	399
rna-XM_048034280.1	223
rna-XM_048036495.1	509
rna-XM_048034310.1	142
rna-XM_048036227.1	593
rna-XM_048033193.1	939
rna-XM_048041471.1	339
rna-XM_048036501.1	559
rna-XM_048038626.1	307
rna-XM_048040763.1	524
rna-XM_048029598.1	220
rna-XM_048038667.1	241
rna-XM_048034405.1	522
rna-XM_048043190.1	638
rna-XM_048039374.1	225
rna-XM_048033221.1	58
rna-XM_048040078.1	237
rna-XM_048034444.1	114
rna-XM_048029754.1	111
rna-XM_048038800.1	291
rna-XM_048029803.1	514
rna-XM_048040854.1	153
rna-XM_048029870.1	69
rna-XM_048035531.1	969
rna-XM_048029918.1	649
rna-XM_048032539.1	396
rna-XM_048033260.1	344
rna-XM_048044658.1	479
rna-XM_048038975.1	248
rna-XM_048038991.1	268
rna-XM_048039404.1	290
rna-XM_048030014.1	209
rna-XM_048042632.1	917
rna-XM_048042072.1	298
rna-XM_048039094.1	215
rna-XM_048044729.1	399
rna-XM_048030093.1	720
rna-XM_048030128.1	141
rna-XM_048030150.1	474
rna-XM_048042672.1	321
rna-XM_048034698.1	281
