gene_id	pfam_ids	go_ids	bin_id
GML000001	PF18803.7	NA	100
GML000002		NA	100
GML000003		NA	100
GML000004		NA	100
GML000005		NA	100
GML000006		NA	100
GML000007	PF17917.8,PF17917.8,PF17919.8,PF17921.8,PF17921.8	NA	1
GML000008	PF00078.33,PF08284.17,PF30863.1	NA	1
GML000009	PF30901.1	NA	100
GML000010	PF01565.29	GO:0050660	100
GML000011		NA	100
GML000012		NA	100
GML000013		NA	100
GML000014		NA	100
GML000015		NA	100
GML000016		NA	100
GML000017		NA	100
GML000018		NA	100
GML000019		NA	100
GML000020	PF07992.21,PF07992.21,PF13450.13,PF13450.13	GO:0016491	8
GML000021		NA	100
GML000022		NA	100
GML000023	PF01185.24	GO:0005199,GO:0009277	7
GML000024		NA	100
GML000025	PF24855.2	NA	100
GML000026		NA	100
GML000027		NA	100
GML000028		NA	100
GML000029		NA	100
GML000030		NA	100
GML000031	PF00078.33,PF00385.31,PF00385.31,PF00665.33,PF00665.33,PF17917.8,PF17919.8,PF17921.8,PF17921.8,PF24626.2,PF24626.2,PF30863.1	NA	1
GML000032	PF19259.5,PF30901.1	NA	100
GML000033	PF12340.14,PF12359.14,PF20255.4	NA	100
GML000034		NA	100
GML000035	PF00067.28,PF00067.28,PF00067.28,PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000036		NA	100
GML000037		NA	100
GML000038		NA	100
GML000039		NA	100
GML000040	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000041	PF20152.5	NA	100
GML000042	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000043	PF00385.31,PF00385.31,PF17917.8,PF17921.8,PF24626.2,PF24626.2	NA	1
GML000044	PF30901.1	NA	100
GML000045	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000046		NA	100
GML000047		NA	100
GML000048		NA	100
GML000049		NA	100
GML000050	PF01184.25	GO:0016020	100
GML000051	PF01185.24	GO:0005199,GO:0009277	7
GML000052	PF20236.4,PF20236.4	NA	100
GML000053	PF00153.33,PF00153.33	NA	100
GML000054	PF20236.4	NA	100
GML000055		NA	100
GML000056	PF11443.14,PF25043.1	NA	100
GML000057	PF01073.26,PF01370.28,PF07993.19,PF13460.13,PF16363.12	GO:0006694,GO:0016616	8
GML000058	PF01073.26,PF01370.28,PF07993.19,PF13460.13,PF16363.12	GO:0006694,GO:0016616	8
GML000059	PF00106.32,PF00106.32,PF08659.17,PF08659.17,PF13561.13,PF13561.13	NA	100
GML000060	PF00348.23	GO:0004659,GO:0008299	8
GML000061	PF00350.30,PF00350.30,PF01031.26,PF01031.26,PF01031.26,PF01031.26,PF02212.24,PF02212.24	GO:0003924,GO:0005525	8
GML000062		NA	100
GML000063	PF00505.26	NA	100
GML000064		NA	100
GML000065	PF00150.25	GO:0000272,GO:0004553	8
GML000066	PF01285.25	GO:0003700,GO:0006355	3
GML000067		NA	100
GML000068	PF04734.19,PF04734.19,PF04734.19,PF04734.19,PF04734.19,PF17048.12,PF17048.12,PF17048.12,PF17048.12,PF17048.12,PF17048.12	NA	100
GML000069	PF01756.25,PF01756.25,PF14749.12,PF14749.12,PF22924.2,PF22924.2	GO:0003997,GO:0005777,GO:0006635	8
GML000070		NA	100
GML000071	PF01565.29,PF01565.29	GO:0050660	100
GML000072	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000073		NA	100
GML000074	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000075		NA	100
GML000076		NA	100
GML000077	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
GML000078	PF00067.28,PF00067.28,PF07727.20,PF13976.12,PF25597.2	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000079		NA	100
GML000080	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000081	PF06985.18	NA	100
GML000082		NA	100
GML000083	PF00240.30	GO:0005515	100
GML000084		NA	100
GML000085	PF13359.13	NA	100
GML000086		NA	100
GML000087	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF14510.12,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
GML000088	PF00328.28	NA	100
GML000089		NA	100
GML000090	PF26792.1,PF26792.1	NA	100
GML000091		NA	100
GML000092		NA	100
GML000093	PF00656.28,PF00656.28,PF31181.1,PF31181.1	GO:0004197,GO:0006508	5
GML000094		NA	100
GML000095	PF00078.33,PF00385.31,PF08284.17,PF17917.8,PF17919.8,PF17921.8,PF24626.2,PF30863.1	NA	1
GML000096		NA	100
GML000097		NA	100
GML000098		NA	100
GML000099	PF19259.5,PF30901.1	NA	100
GML000100	PF00078.33,PF00385.31,PF00665.33,PF08284.17,PF17917.8,PF17919.8,PF17921.8,PF24626.2,PF30863.1	NA	1
GML000101		NA	100
GML000102		NA	100
GML000103		NA	100
GML000104	PF00385.31	NA	100
GML000105	PF18759.8,PF18759.8	NA	100
GML000106		NA	100
