gene_id	pfam_ids	go_ids	bin_id
gene-SODALDRAFT_325968	PF00027.36,PF01734.28,PF24179.2	GO:0006629	8
gene-SODALDRAFT_267094	PF02383.24	GO:0016791	8
gene-SODALDRAFT_255695	PF10521.15	GO:0110078	100
gene-SODALDRAFT_335782	PF01150.24	GO:0016787	8
gene-SODALDRAFT_325971	PF05603.18,PF21057.3	NA	100
gene-SODALDRAFT_325972	PF00328.28,PF08443.17,PF18086.8	NA	100
gene-SODALDRAFT_325973	PF00400.39,PF00400.39,PF04192.18,PF25168.2,PF25171.2	GO:0005515,GO:0006364,GO:0032040	8
gene-SODALDRAFT_346946	PF01743.27,PF12627.13	GO:0003723,GO:0006396,GO:0016779	4
gene-SODALDRAFT_267680	PF01702.26	GO:0006400	8
gene-SODALDRAFT_325976	PF11709.14	NA	100
gene-SODALDRAFT_302663	PF00833.24	GO:0003735,GO:0005840,GO:0006412	4
gene-SODALDRAFT_241351	PF04181.19	NA	100
gene-SODALDRAFT_225	PF12867.13	NA	100
gene-SODALDRAFT_325977	PF05577.19	GO:0006508,GO:0070008	5
gene-SODALDRAFT_374214		NA	100
gene-SODALDRAFT_353910	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-SODALDRAFT_335794	PF06911.19	NA	100
gene-SODALDRAFT_302678	PF04130.19,PF17681.7	GO:0043015	100
gene-SODALDRAFT_302682		NA	100
gene-SODALDRAFT_342		NA	100
gene-SODALDRAFT_375	PF00018.35,PF25459.2	GO:0005515	100
gene-SODALDRAFT_346957		NA	100
gene-SODALDRAFT_302687	PF01008.24	NA	100
gene-SODALDRAFT_325986	PF07933.21	GO:0006897,GO:0016020	6
gene-SODALDRAFT_454		NA	100
gene-SODALDRAFT_459		NA	100
gene-SODALDRAFT_346960	PF02037.34,PF02735.23,PF03730.20,PF03731.22	GO:0003677,GO:0003678,GO:0006303	3
gene-SODALDRAFT_286647	PF00762.25	GO:0004325,GO:0006783	8
gene-SODALDRAFT_269415	PF00004.36,PF13401.13	GO:0005524,GO:0016887	8
