gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-CC78DRAFT_573123	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573123	PF01328.23	Partial	None
gene-CC78DRAFT_573124	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573124		None	None
gene-CC78DRAFT_15	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA15	PF25438.2	Partial	None
gene-CC78DRAFT_73	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA73		None	None
gene-CC78DRAFT_69	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA69		None	None
gene-CC78DRAFT_67	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA67	PF11970.15	Complete	None
gene-CC78DRAFT_102	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA102		None	None
gene-CC78DRAFT_103	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA103		None	None
gene-CC78DRAFT_106	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA106		None	None
gene-CC78DRAFT_527779	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA527779	PF01157.25	Partial	None
gene-CC78DRAFT_610845	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA610845	PF00163.25,PF01479.31	Complete	None
gene-CC78DRAFT_610846	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA610846	PF01791.16,PF01791.16	Partial	None
gene-CC78DRAFT_527782	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA527782		None	None
gene-CC78DRAFT_450897	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA450897	PF00025.28,PF00071.29,PF08477.20	Partial	None
gene-CC78DRAFT_287	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA287	PF01399.34	Complete	None
gene-CC78DRAFT_283	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA283		None	None
gene-CC78DRAFT_325	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA325	PF10275.16	Partial	None
gene-CC78DRAFT_527787	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA527787	PF00400.39,PF00400.39	Complete	None
gene-CC78DRAFT_527788	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA527788	PF03959.20	Partial	None
gene-CC78DRAFT_527789	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA527789	PF01399.34,PF18098.7,PF22241.3,PF22241.3	Complete	None
gene-CC78DRAFT_588598	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA588598	PF00179.32,PF05743.20	Complete	None
gene-CC78DRAFT_573144	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573144		None	None
gene-CC78DRAFT_573145	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573145		None	None
gene-CC78DRAFT_610854	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA610854		None	None
gene-CC78DRAFT_573147	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573147		None	None
gene-CC78DRAFT_573148	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573148		None	None
gene-CC78DRAFT_549889	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA549889	PF28332.1	Complete	None
gene-CC78DRAFT_573151	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573151		None	None
gene-CC78DRAFT_527797	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA527797	PF00172.24	Complete	None
gene-CC78DRAFT_556993	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA556993	PF03531.22,PF08512.19,PF17292.9,PF21103.4	Complete	None
gene-CC78DRAFT_610863	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA610863	PF00172.24,PF11951.14	Partial	None
gene-CC78DRAFT_573155	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573155		None	None
gene-CC78DRAFT_538533	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA538533		None	None
gene-CC78DRAFT_556995	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA556995		None	None
gene-CC78DRAFT_902	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA902	PF07690.22	Partial	None
gene-CC78DRAFT_610867	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA610867		None	None
gene-CC78DRAFT_573161	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA573161		None	None
gene-CC78DRAFT_985	rna-gnl|WGS:JAAEIZ|CC78DRAFT_mRNA985	PF00187.25,PF00187.25,PF00187.25,PF07250.18,PF09118.18	Complete	None
