gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000003	PF01553.27	GO:0016746	8
GML000004	PF09994.15	NA	100
GML000005	PF00067.28,PF03098.21,PF03098.21	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000006	PF12296.14	NA	100
GML000007	PF05014.22	NA	100
GML000008		NA	100
GML000009	PF00082.28,PF00082.28,PF09286.17,PF09286.17	GO:0006508,GO:0008236	5
GML000010	PF03188.22,PF16010.11	NA	100
GML000011		NA	100
GML000012	PF06985.18	NA	100
GML000013		NA	100
GML000014		NA	100
GML000015		NA	100
GML000016	PF00069.32,PF00069.32,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000017	PF14033.13,PF14033.13,PF21666.3,PF21666.3	NA	100
GML000018		NA	100
GML000019		NA	100
GML000020	PF06985.18	NA	100
GML000021		NA	100
GML000022	PF01822.25	NA	100
GML000023		NA	100
GML000024	PF01728.26,PF06325.20,PF08003.18,PF08241.19,PF13649.13,PF13847.13,PF22528.2	GO:0008168,GO:0008757,GO:0032259	8
GML000025	PF00382.25,PF00382.25,PF07741.19	GO:0017025	100
GML000026		NA	100
GML000027		NA	100
GML000028	PF00004.36,PF08740.17,PF25426.2	GO:0005524,GO:0016887	8
GML000029		NA	100
GML000030	PF01184.25	GO:0016020	100
GML000031	PF00903.32,PF00903.32,PF13669.13,PF13669.13	NA	100
GML000032	PF00703.28,PF00703.28,PF00703.28,PF02836.24,PF02836.24,PF02836.24,PF02837.25,PF02837.25,PF02837.25,PF22666.3,PF22666.3,PF22666.3	GO:0004553,GO:0005975	8
GML000033	PF01485.28,PF01485.28,PF01485.28,PF01485.28,PF22191.3,PF22191.3	GO:0008270	100
GML000034	PF01872.23	GO:0008703,GO:0009231	8
GML000035	PF00296.27	GO:0016705	8
GML000036		NA	100
GML000037		NA	100
GML000038		NA	100
GML000039		NA	100
GML000040		NA	100
GML000041		NA	100
GML000042	PF06985.18,PF06985.18	NA	100
GML000043		NA	100
GML000044	PF07690.22	GO:0022857,GO:0055085	6
GML000045	PF02732.22,PF14716.14,PF21136.3	GO:0003677	4
GML000046	PF00408.27,PF02878.23,PF02878.23,PF21404.4,PF21405.3	GO:0005975,GO:0016868	8
GML000047		NA	100
GML000048		NA	100
GML000049		NA	100
GML000050		NA	100
GML000051		NA	100
GML000052		NA	100
GML000053	PF03171.27,PF14226.13	NA	100
GML000054	PF07690.22	GO:0022857,GO:0055085	6
GML000055	PF17645.7	NA	100
GML000056	PF07876.19,PF07876.19	NA	100
GML000057	PF01494.26,PF13450.13	GO:0071949	100
GML000058	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000059	PF00732.26,PF00732.26,PF05199.20,PF05199.20	GO:0016614,GO:0050660	8
GML000060	PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
GML000061	PF06985.18,PF06985.18	NA	100
GML000062	PF06985.18,PF26639.1	NA	100
GML000063	PF00171.28	GO:0016491	8
GML000064		NA	100
GML000065	PF00583.32,PF13302.14	GO:0016747	8
GML000066		NA	100
GML000067		NA	100
GML000068	PF00561.27,PF06441.19	NA	100
GML000069	PF02133.22	GO:0016020,GO:0022857,GO:0055085	6
GML000070		NA	100
GML000071		NA	100
GML000072	PF01494.26,PF22607.3	GO:0071949	100
GML000073	PF01370.28,PF01370.28,PF07993.19,PF07993.19	NA	100
GML000074	PF00651.38,PF00651.38,PF00651.38	GO:0005515	100
GML000075	PF00753.34	NA	100
GML000076		NA	100
GML000077	PF04488.22	NA	100
GML000078	PF01757.29	GO:0016747	8
GML000079		NA	100
GML000080	PF27584.1,PF27595.1,PF27596.1,PF30849.1	NA	100
GML000081	PF09295.17	NA	100
GML000082		NA	100
GML000083		NA	100
GML000084		NA	100
GML000085		NA	100
GML000086	PF03198.21	NA	100
GML000087	PF00933.28,PF01915.28	GO:0004553,GO:0005975	8
GML000088		NA	100
GML000089	PF20150.5	NA	100
GML000090	PF11429.13	GO:0004540	1
GML000091		NA	100
GML000092		NA	100
GML000093		NA	100
GML000094	PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000095	PF00317.27,PF02867.21,PF03477.22	GO:0004748,GO:0005524,GO:0009263	8
GML000096		NA	100
GML000097	PF06985.18,PF26633.1	NA	100
GML000098		NA	100
GML000099		NA	100
GML000100	PF02096.27	NA	100
GML000101	PF00534.27,PF13692.13,PF15924.12	GO:0016757	8
GML000102	PF01019.28,PF01019.28	NA	100
GML000103	PF00135.35,PF07859.20,PF20434.6	GO:0016787	8
GML000104	PF24864.1	NA	100
GML000105	PF00172.24,PF00172.24,PF11951.14,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000106	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF24883.3,PF24883.3,PF24883.3,PF24883.3,PF24883.3	GO:0005515	100
GML000107	PF00755.26,PF00755.26,PF00755.26	NA	100
GML000108		NA	100
GML000109	PF11790.15	NA	100
GML000110		NA	100
GML000111		NA	100
GML000112	PF27975.1	NA	100
GML000113	PF00385.31	NA	100
GML000114	PF16782.12,PF29875.1	GO:0000774,GO:0005783	100
GML000115	PF08241.19	GO:0008757	8
GML000116	PF00070.34,PF02852.29,PF07992.21,PF13738.13	GO:0016491	8
GML000117	PF09814.15	NA	100
GML000118	PF09814.15	NA	100
GML000119	PF01494.26,PF01494.26,PF13450.13	GO:0071949	100
GML000120	PF14027.12	GO:0016491	8
GML000121	PF03215.22,PF25812.2	NA	100
GML000122	PF06985.18,PF06985.18	NA	100
GML000123	PF00097.32,PF13445.13,PF13639.13,PF13920.13,PF13923.13,PF14634.13	GO:0046872	100
GML000124	PF08423.18	NA	100
GML000125		NA	100
GML000126		NA	100
GML000127		NA	100
GML000128	PF28329.1,PF28329.1,PF28329.1,PF28347.1,PF28347.1,PF28347.1	NA	100
GML000129	PF00106.32,PF13561.13	NA	100
GML000130	PF07522.20,PF07522.20,PF07522.20	NA	100
GML000131		NA	100
GML000132		NA	100
GML000133	PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13637.13	GO:0005515	100
GML000134	PF12351.14	GO:0016020	100
GML000135	PF01073.26	GO:0006694,GO:0016616	8
GML000136		NA	100
GML000137		NA	100
GML000138	PF06985.18,PF06985.18	NA	100
GML000139		NA	100
GML000140	PF00082.28,PF00082.28,PF00082.28,PF24476.2,PF24476.2,PF24476.2	GO:0006508,GO:0008236	5
GML000141	PF01201.28	NA	100
GML000142	PF00829.27,PF00829.27	GO:0005840	100
GML000143	PF11915.14,PF11915.14	NA	100
GML000144	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000145		NA	100
GML000146	PF01435.25	GO:0004222,GO:0006508	5
GML000147		NA	100
GML000148		NA	100
GML000149	PF00026.29	NA	100
GML000150		NA	100
GML000151	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000152	PF13472.13	NA	100
GML000153	PF01399.34,PF22241.3	NA	100
GML000154	PF00387.26,PF00388.26	GO:0004435,GO:0006629,GO:0007165,GO:0035556	3
GML000155	PF02270.23,PF17683.7	NA	100
GML000156	PF00642.31,PF00642.31	GO:0046872	100
GML000157	PF00170.27,PF03131.23,PF07716.21	GO:0003677,GO:0003700,GO:0006355	3
GML000158	PF08238.19,PF08238.19,PF08238.19	NA	100
GML000159	PF03914.24,PF26702.1	NA	100
GML000160	PF05405.20,PF05405.20	GO:0015078,GO:0015986	6
GML000161	PF20150.5	NA	100
GML000162		NA	100
GML000163	PF01266.31	NA	100
GML000164	PF02225.28,PF04389.23	NA	100
GML000165		NA	100
GML000166		NA	100
GML000167	PF01498.25,PF13358.13	GO:0003677,GO:0006313,GO:0015074	1
GML000168		NA	100
GML000169	PF01979.27,PF07969.18	GO:0016787	8
GML000170	PF01177.28	GO:0047661	8
GML000171	PF00795.28	NA	100
GML000172	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000173	PF01697.34,PF01697.34	NA	100
GML000174	PF01408.29,PF02894.23,PF22725.2	GO:0000166	100
GML000175	PF00443.36,PF00443.36,PF13423.13,PF13423.13	GO:0004843,GO:0016579	8
GML000176	PF11711.14	NA	100
GML000177	PF12569.15,PF12895.14,PF13181.13,PF13181.13,PF31234.1	GO:0005515	100
GML000178	PF09774.15	GO:0005758	100
GML000179	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000180	PF27604.1	NA	100
GML000181	PF01398.27,PF19445.5	GO:0005515,GO:0008233,GO:0008237	8
GML000182	PF00670.28,PF02826.26,PF05221.24,PF05221.24	GO:0051287	100
GML000183		NA	100
GML000184	PF04108.18,PF04108.18,PF10377.15,PF10377.15	NA	100
GML000185	PF00856.34,PF29521.1	GO:0005515	100
GML000186	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13606.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13637.13,PF13857.13,PF13857.13,PF13857.13,PF17109.11,PF22939.3,PF24883.3	GO:0005515	100
GML000187	PF05837.18,PF05837.18	GO:0000776,GO:0051382	100
GML000188	PF00505.26,PF09011.17	NA	100
GML000189	PF23074.2,PF23074.2,PF23076.2,PF23076.2	NA	100
GML000190	PF00773.26,PF13638.13,PF17215.10,PF17216.10,PF17849.8,PF17876.8	GO:0003723,GO:0004540	1
GML000191	PF06985.18	NA	100
GML000192	PF01926.30,PF08701.17	GO:0005525	100
GML000193	PF00702.33,PF13242.13,PF13419.13	NA	100
GML000194		NA	100
GML000195	PF00004.36,PF05496.19,PF06068.20,PF17856.8	GO:0005524,GO:0006281,GO:0006310,GO:0009378,GO:0016887	3
GML000196	PF00046.36	GO:0003677	4
GML000197		NA	100
GML000198	PF06985.18	NA	100
GML000199	PF00171.28,PF00171.28	GO:0016491	8
GML000200	PF00010.32	GO:0046983	100
GML000201	PF00150.25,PF28394.1	GO:0000272,GO:0004553	8
GML000202		NA	100
GML000203		NA	100
GML000204		NA	100
GML000205		NA	100
GML000206	PF04616.21	GO:0004553,GO:0005975	8
GML000207		NA	100
GML000208	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
GML000209		NA	100
GML000210	PF00004.36	GO:0005524,GO:0016887	8
GML000211		NA	100
GML000212	PF09783.15,PF09783.15	NA	100
GML000213	PF02792.20	GO:0008380,GO:0035145	8
GML000214	PF01602.27,PF07718.19,PF12717.14,PF14806.12	GO:0005198,GO:0006886,GO:0016192,GO:0030117,GO:0030126	6
GML000215	PF00781.30,PF00781.30,PF00781.30,PF24321.2,PF24321.2,PF24321.2	GO:0016301	3
GML000216	PF05997.18	GO:0006364,GO:0030688	8
GML000217	PF00856.34,PF05033.23	GO:0005515,GO:0005634,GO:0008270,GO:0042054	8
GML000218		NA	100
GML000219		NA	100
GML000220	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000221	PF02845.23	GO:0043130	100
GML000222		NA	100
GML000223	PF11160.14	NA	100
GML000224	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000225	PF01391.24,PF01391.24,PF01391.24,PF01391.24,PF01391.24,PF01391.24,PF01391.24,PF01391.24,PF01391.24,PF01391.24,PF01822.25,PF01822.25,PF01822.25,PF01822.25	NA	100
GML000226		NA	100
GML000227	PF24883.3,PF24883.3,PF25053.1,PF25053.1	NA	100
GML000228	PF00179.32	NA	100
GML000229	PF00566.26,PF00566.26,PF23436.2,PF23436.2	NA	100
GML000230	PF00225.30,PF00225.30	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
GML000231	PF31032.1	NA	100
GML000232		NA	100
GML000233	PF00326.28,PF01738.25,PF20434.6	GO:0006508,GO:0008236,GO:0016787	5
GML000234	PF01055.33,PF21365.4	GO:0004553,GO:0005975	8
GML000235	PF01425.27	NA	100
GML000236	PF01494.26,PF01494.26,PF07976.20,PF07976.20	GO:0071949	100
GML000237	PF00111.33,PF00941.28,PF01315.28,PF01799.26,PF02738.24,PF03450.23,PF20256.4	GO:0016491,GO:0046872,GO:0051536	8
GML000238	PF00724.27	GO:0010181,GO:0016491	8
GML000239	PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000240	PF01494.26,PF05834.19,PF13450.13	GO:0071949	100
GML000241	PF05730.17	NA	100
GML000242	PF10644.16,PF14881.13	NA	100
GML000243	PF13911.13	NA	100
GML000244	PF06985.18	NA	100
GML000245	PF00749.28,PF00749.28,PF00749.28,PF03950.24,PF03950.24,PF03950.24,PF20974.3,PF20974.3,PF20974.3	GO:0000166,GO:0004812,GO:0005524,GO:0005737,GO:0006418,GO:0043039	8
GML000246	PF00439.31,PF00583.32	GO:0005515,GO:0016747	8
GML000247	PF02515.23	GO:0003824	8
GML000248		NA	100
GML000249		NA	100
GML000250	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000251	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000252	PF01734.28,PF11815.14	GO:0004806,GO:0006629	8
GML000253	PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20,PF09439.17	GO:0003924,GO:0005525	8
GML000254	PF10446.15,PF10446.15	NA	100
GML000255		NA	100
GML000256	PF02823.23,PF21334.3	GO:0015986	8
GML000257		NA	100
GML000258	PF00583.32,PF13673.14	GO:0016747	8
GML000259		NA	100
GML000260		NA	100
GML000261		NA	100
GML000262	PF09362.16	NA	100
GML000263	PF03633.21,PF06165.19,PF17167.11	NA	100
GML000264	PF07690.22	GO:0022857,GO:0055085	6
GML000265	PF00023.37,PF00023.37,PF03009.24,PF03105.25,PF12796.14,PF13606.13,PF13637.13,PF25329.2	GO:0005515,GO:0006629,GO:0008081	8
GML000266	PF00248.28	NA	100
GML000267		NA	100
GML000268	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF08477.20	GO:0003924,GO:0005525	8
GML000269	PF05178.18,PF12936.13	NA	100
GML000270		NA	100
GML000271	PF10261.16,PF10261.16,PF10261.16	GO:0005789,GO:0010945,GO:0019915	8
GML000272		NA	100
GML000273		NA	100
GML000274	PF01636.30	NA	100
GML000275	PF00933.28,PF01915.28,PF14310.13	GO:0004553,GO:0005975	8
GML000276	PF02705.23,PF22776.1	NA	100
GML000277	PF00172.24,PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000278	PF00169.36,PF16016.12,PF16746.11	GO:0005515,GO:0005737	100
GML000279	PF11274.15	NA	100
GML000280		NA	100
GML000281	PF01636.30	NA	100
GML000282	PF13409.13,PF13410.12,PF13417.13,PF22041.2,PF22041.2	NA	100
GML000283	PF01189.24,PF21148.4,PF21153.4	NA	100
GML000284		NA	100
GML000285		NA	100
GML000286		NA	100
GML000287	PF20179.4	NA	100
GML000288	PF00734.24	GO:0005576,GO:0005975,GO:0030248	8
GML000289	PF02840.21,PF08799.18	GO:0005681,GO:0008380	8
GML000290	PF06487.19	NA	100
GML000291		NA	100
GML000292	PF02798.27,PF13409.13,PF13417.13,PF14497.12	NA	100
GML000293		NA	100
GML000294		NA	100
GML000295		NA	100
GML000296		NA	100
GML000297	PF28681.1	NA	100
GML000298		NA	100
GML000299	PF12223.14	NA	100
GML000300	PF17107.12,PF24883.3,PF24883.3,PF25053.1,PF25053.1	NA	100
GML000301	PF00018.35,PF00018.35,PF01544.24,PF01544.24,PF07653.24,PF07653.24,PF14604.13,PF14604.13	GO:0005515,GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
GML000302		NA	100
GML000303	PF00096.33,PF00096.33,PF28334.1,PF28334.1	NA	100
GML000304	PF04457.18,PF04457.18	NA	100
GML000305	PF06966.18	NA	100
GML000306	PF01131.26,PF01751.29	GO:0003677,GO:0003916,GO:0006265	4
GML000307	PF10330.15	NA	100
GML000308	PF21762.4,PF21762.4	NA	100
GML000309	PF03656.19	NA	100
GML000310	PF01246.27	NA	100
GML000311		NA	100
GML000312		NA	100
GML000313		NA	100
GML000314	PF11709.14	NA	100
GML000315		NA	100
GML000316	PF00155.28,PF00155.28	GO:0009058,GO:0030170	8
GML000317		NA	100
GML000318	PF10791.15	GO:0015986	8
GML000319	PF04800.18	GO:0022900	8
GML000320	PF00270.36,PF00271.38,PF00575.30,PF04408.30,PF07717.23,PF21010.3	GO:0003676,GO:0005524	4
GML000321		NA	100
GML000322	PF00635.33	NA	100
GML000323	PF00789.27	GO:0005515	100
GML000324	PF04098.22	NA	100
GML000325		NA	100
GML000326		NA	100
GML000327		NA	100
GML000328	PF00266.26,PF00266.26	NA	100
GML000329	PF01717.25,PF08267.19	GO:0003871,GO:0008270,GO:0008652	8
GML000330	PF00617.25,PF00618.26	GO:0005085,GO:0007264	3
GML000331	PF00487.31,PF08557.16	GO:0006629	8
GML000332		NA	100
GML000333	PF00330.26,PF00330.26,PF00694.26,PF00694.26	NA	100
GML000334	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
GML000335	PF07714.24	GO:0004672,GO:0006468	3
GML000336		NA	100
GML000337	PF02434.24,PF04646.19	GO:0016020,GO:0016757	8
GML000338	PF03097.25,PF03097.25,PF13949.12,PF13949.12	GO:0005515	100
GML000339	PF00795.28,PF00795.28,PF02540.24,PF02540.24	NA	100
GML000340	PF24537.2,PF24537.2	NA	100
GML000341	PF00782.26	GO:0016311	8
GML000342	PF08432.16	NA	100
GML000343	PF00206.26,PF14698.12	NA	100
GML000344	PF04564.22,PF10408.15	GO:0000151,GO:0004842,GO:0006511,GO:0016567,GO:0034450	5
GML000345	PF00226.37,PF09320.17	NA	100
GML000346		NA	100
GML000347	PF09779.15	NA	100
GML000348	PF08660.18,PF08660.18	GO:0006488	8
GML000349	PF10484.16,PF13741.13,PF13741.13	GO:0003735,GO:0005763,GO:0005840,GO:0006412	4
GML000350	PF01535.27,PF01535.27	NA	100
GML000351		NA	100
GML000352		NA	100
GML000353	PF08512.19,PF08512.19	NA	100
GML000354	PF31054.1	NA	100
GML000355	PF04420.20	GO:0071816	100
GML000356	PF01239.29,PF01239.29,PF01239.29,PF29177.1,PF29177.1	GO:0008318,GO:0018342	8
GML000357	PF12454.14	NA	100
GML000358	PF02550.23,PF13336.13	GO:0008410	8
GML000359	PF09531.16	NA	100
GML000360	PF05739.27,PF14523.13	GO:0016020	100
GML000361	PF10375.15	NA	100
GML000362		NA	100
GML000363		NA	100
GML000364	PF03707.22,PF03707.22,PF31008.1,PF31008.1	NA	100
GML000365	PF00076.29,PF01585.29	GO:0003676,GO:0003723	4
GML000366	PF00501.35,PF13193.13	NA	100
GML000367	PF04434.23,PF13639.13	GO:0008270	100
GML000368		NA	100
GML000369	PF10303.15,PF10303.15	NA	100
GML000370	PF00428.25	NA	100
GML000371	PF03795.21,PF03795.21	NA	100
GML000372	PF00505.26,PF09011.17	NA	100
GML000373		NA	100
GML000374	PF08559.16,PF08559.16	GO:0005634,GO:0031144,GO:0071630	8
GML000375	PF00185.31,PF02729.27	GO:0006520,GO:0016597,GO:0016743	8
GML000376	PF01459.29	GO:0005741,GO:0055085	6
GML000377		NA	100
GML000378		NA	100
GML000379	PF04614.18	GO:0005777	100
GML000380	PF00179.32	NA	100
GML000381	PF00733.28,PF00733.28,PF12481.14,PF13522.13,PF13537.12	NA	100
GML000382		NA	100
GML000383	PF00557.30,PF00557.30	NA	100
GML000384	PF00226.37	NA	100
GML000385	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000386	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000387	PF11807.14	GO:0043386	2
GML000388	PF00288.33,PF18376.7,PF22700.3	GO:0005524	100
GML000389	PF01265.23	GO:0004408,GO:0005739	8
GML000390	PF04884.21,PF04884.21	NA	100
GML000391	PF02141.27,PF03455.25,PF03456.26	NA	100
GML000392	PF00270.36,PF00271.38,PF04851.22,PF08148.18,PF13234.13,PF21408.3,PF22527.3	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000393		NA	100
GML000394	PF09637.16	GO:0003712,GO:0006357,GO:0016592	100
GML000395	PF12296.14	NA	100
GML000396	PF10937.14	GO:0006103	8
GML000397	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000398	PF01966.29	NA	100
GML000399	PF00743.26,PF07992.21,PF13434.13,PF13450.13,PF13738.13	GO:0004499,GO:0016491,GO:0050660,GO:0050661	2
GML000400	PF00246.30	GO:0004181,GO:0006508,GO:0008270	5
GML000401		NA	100
GML000402		NA	100
GML000403		NA	100
GML000404		NA	100
GML000405		NA	100
GML000406		NA	100
GML000407		NA	100
GML000408		NA	100
GML000409		NA	100
GML000410		NA	100
GML000411		NA	100
GML000412	PF01842.32,PF10369.16,PF22629.3	NA	100
GML000413	PF00013.36,PF22675.3,PF23469.2	GO:0003723	4
GML000414	PF00856.34	GO:0005515	100
GML000415	PF06159.19,PF23647.3	NA	100
GML000416	PF22786.3,PF22786.3,PF26150.1,PF26150.1,PF26153.1,PF26153.1,PF26174.1,PF26174.1	NA	100
GML000417		NA	100
GML000418		NA	100
GML000419	PF00615.25,PF00615.25	NA	100
GML000420	PF01490.25,PF01490.25	NA	100
GML000421	PF24883.3,PF25053.1	NA	100
GML000422		NA	100
GML000423	PF00230.26	GO:0015267,GO:0016020,GO:0055085	6
GML000424	PF02544.22,PF06966.18	GO:0006629,GO:0016627	8
GML000425		NA	100
GML000426		NA	100
GML000427		NA	100
GML000428	PF20150.5	NA	100
GML000429	PF07478.19,PF13535.12,PF18130.7	GO:0008716	8
GML000430	PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
GML000431		NA	100
GML000432	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000433		NA	100
GML000434	PF22847.4	NA	100
GML000435	PF00004.36	GO:0005524,GO:0016887	8
GML000436	PF24809.2,PF24809.2	NA	100
GML000437		NA	100
GML000438		NA	100
GML000439		NA	100
GML000440		NA	100
GML000441	PF08325.17,PF08325.17	NA	100
GML000442	PF00810.24	GO:0006621,GO:0016020,GO:0046923	100
GML000443	PF00111.33,PF00384.28,PF09326.17,PF10588.15,PF13510.12,PF22117.3,PF22151.3	GO:0016491,GO:0016651,GO:0051536	8
GML000444	PF20237.4,PF20237.4	NA	100
GML000445		NA	100
GML000446	PF03345.22,PF23358.2	NA	100
GML000447	PF04479.19	GO:0016020	100
GML000448	PF01979.27,PF07969.18	GO:0016787	8
GML000449		NA	100
GML000450	PF20253.4	NA	100
GML000451	PF00141.29,PF00141.29	GO:0004601,GO:0006979,GO:0020037	3
GML000452		NA	100
GML000453	PF07690.22	GO:0022857,GO:0055085	6
GML000454		NA	100
GML000455	PF00082.28,PF05922.22	GO:0006508,GO:0008236	5
GML000456	PF00400.39,PF00400.39,PF02138.24,PF02138.24,PF13385.14,PF13385.14,PF14844.13,PF14844.13,PF23295.2,PF23295.2	GO:0005515	100
GML000457		NA	100
GML000458		NA	100
GML000459	PF01636.30,PF01636.30	NA	100
GML000460	PF03853.22,PF03853.22	NA	100
GML000461	PF00886.25	GO:0003735,GO:0005840,GO:0006412	4
