gene_id	pfam_ids	go_ids	bin_id
GML000001	PF25597.2	NA	100
GML000002	PF07971.19,PF07971.19,PF07971.19,PF07971.19,PF17678.8,PF17678.8,PF17678.8,PF17678.8	NA	100
GML000003		NA	100
GML000004		NA	100
GML000005	PF21034.4,PF21034.4	NA	100
GML000006	PF01263.27	GO:0005975,GO:0016853	8
GML000007		NA	100
GML000008		NA	100
GML000009		NA	100
GML000010		NA	100
GML000011		NA	100
GML000012	PF07971.19,PF17678.8	NA	100
GML000013	PF20149.5,PF20149.5,PF20149.5	NA	100
GML000014	PF18759.8	NA	100
GML000015		NA	100
GML000016	PF10551.16,PF10551.16	NA	100
GML000017		NA	100
GML000018	PF00141.29,PF00141.29,PF11895.14,PF11895.14	GO:0004601,GO:0006979,GO:0020037	3
GML000019		NA	100
GML000020	PF03171.27,PF14226.13	NA	100
GML000021		NA	100
GML000022		NA	100
GML000023	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF23098.2	GO:0005515	100
GML000024	PF09696.16	GO:0007064,GO:0031390	100
GML000025	PF01717.25	GO:0003871,GO:0008270	8
GML000026	PF00096.33,PF00096.33	NA	100
GML000027	PF00096.33,PF00096.33,PF00096.33,PF00096.33	NA	100
GML000028		NA	100
GML000029		NA	100
GML000030	PF00096.33,PF00096.33	NA	100
GML000031		NA	100
GML000032	PF03171.27,PF14226.13	NA	100
GML000033	PF03171.27,PF03171.27,PF14226.13,PF14226.13	NA	100
GML000034		NA	100
GML000035	PF03171.27,PF03171.27,PF14226.13,PF14226.13	NA	100
GML000036	PF03171.27,PF14226.13	NA	100
GML000037		NA	100
GML000038		NA	100
GML000039		NA	100
GML000040	PF03443.21,PF03443.21	NA	100
GML000041	PF20236.4	NA	100
GML000042	PF06068.20,PF17856.8	GO:0005524	100
GML000043	PF00004.36,PF05496.19,PF06068.20	GO:0005524,GO:0006281,GO:0006310,GO:0009378,GO:0016887	3
GML000044	PF00125.31,PF00125.31,PF00125.31,PF00125.31,PF00808.30,PF00808.30,PF00808.30,PF00808.30	GO:0003677	4
GML000045		NA	100
GML000046	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
GML000047	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
GML000048		NA	100
GML000049	PF16862.11	NA	100
GML000050	PF00394.29,PF07731.21,PF07732.22	GO:0005507,GO:0016491	8
GML000051	PF00450.29	GO:0004185,GO:0006508	5
GML000052		NA	100
GML000053		NA	100
GML000054		NA	100
GML000055		NA	100
GML000056		NA	100
GML000057		NA	100
GML000058		NA	100
GML000059	PF00704.35,PF00704.35	GO:0005975	8
GML000060		NA	100
GML000061		NA	100
GML000062		NA	100
GML000063		NA	100
GML000064	PF00704.35,PF00704.35,PF00704.35	GO:0005975	8
GML000065	PF00704.35,PF00704.35	GO:0005975	8
GML000066		NA	100
GML000067		NA	100
GML000068	PF00450.29	GO:0004185,GO:0006508	5
GML000069	PF00704.35,PF00704.35	GO:0005975	8
GML000070	PF00704.35	GO:0005975	8
GML000071		NA	100
GML000072		NA	100
GML000073		NA	100
GML000074	PF00704.35,PF00704.35	GO:0005975	8
GML000075	PF12937.13	GO:0005515	100
GML000076	PF00226.37	NA	100
GML000077		NA	100
GML000078	PF12937.13,PF12937.13	GO:0005515	100
GML000079		NA	100
GML000080	PF00478.32	GO:0003824	8
GML000081	PF00478.32,PF00478.32	GO:0003824	8
GML000082	PF00478.32,PF00478.32,PF00571.34,PF00571.34,PF01070.25,PF01070.25	GO:0003824,GO:0016491	8
GML000083	PF00331.27,PF00734.24	GO:0004553,GO:0005576,GO:0005975,GO:0030248	8
GML000084		NA	100
GML000085		NA	100
GML000086		NA	100
GML000087		NA	100
GML000088		NA	100
GML000089	PF20411.4,PF20411.4	NA	100
GML000090		NA	100
GML000091	PF01048.27	GO:0003824,GO:0009116	8
GML000092		NA	100
GML000093		NA	100
GML000094	PF05183.18,PF05183.18,PF05183.18,PF05183.18	NA	100
GML000095		NA	100
GML000096	PF16862.11	NA	100
GML000097	PF20411.4,PF20411.4	NA	100
GML000098		NA	100
GML000099	PF20411.4	NA	100
GML000100		NA	100
GML000101		NA	100
GML000102	PF00704.35,PF00704.35	GO:0005975	8
GML000103	PF00704.35	GO:0005975	8
GML000104		NA	100
GML000105		NA	100
GML000106		NA	100
GML000107		NA	100
GML000108	PF00004.36,PF00533.34,PF03215.22,PF08519.18,PF25361.2	GO:0003689,GO:0005524,GO:0005663,GO:0006260,GO:0016887	4
GML000109		NA	100
GML000110		NA	100
GML000111	PF00478.32	GO:0003824	8
GML000112		NA	100
GML000113		NA	100
GML000114		NA	100
GML000115		NA	100
GML000116	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000117	PF05183.18	NA	100
GML000118	PF05183.18,PF05183.18	NA	100
GML000119		NA	100
GML000120	PF06609.19,PF06609.19,PF07690.22,PF07690.22	GO:0022857,GO:0055085	6
GML000121	PF00291.32	NA	100
GML000122	PF01205.26	NA	100
GML000123		NA	100
GML000124		NA	100
