gene_id	pfam_ids	go_ids	bin_id
gene-HD553DRAFT_337938		NA	100
gene-HD553DRAFT_346784		NA	100
gene-HD553DRAFT_332863	PF05368.20	NA	100
gene-HD553DRAFT_302012		NA	100
gene-HD553DRAFT_302014	PF00173.34,PF00174.26,PF00175.27,PF00970.31,PF00970.31,PF03404.23	GO:0016491,GO:0030151	8
gene-HD553DRAFT_278742	PF00070.34,PF00355.33,PF01077.28,PF03460.23,PF04324.21,PF07992.21,PF13806.13	GO:0008942,GO:0016491,GO:0020037,GO:0051536,GO:0051537	8
gene-HD553DRAFT_302018	PF04982.20	NA	100
gene-HD553DRAFT_346791	PF13499.13,PF27909.1,PF30624.1	GO:0005509	100
gene-HD553DRAFT_337947		NA	100
gene-HD553DRAFT_320999		NA	100
gene-HD553DRAFT_266472	PF25597.2	NA	100
gene-HD553DRAFT_266677		NA	100
gene-HD553DRAFT_321002	PF00172.24,PF04082.24,PF05592.19,PF08531.17,PF17389.9,PF17390.8,PF25788.3	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-HD553DRAFT_302042	PF00083.31	GO:0016020,GO:0022857,GO:0055085	6
gene-HD553DRAFT_337956	PF00083.31	GO:0016020,GO:0022857,GO:0055085	6
gene-HD553DRAFT_302043		NA	100
gene-HD553DRAFT_302044	PF04828.23	GO:0016846	8
gene-HD553DRAFT_321006		NA	100
gene-HD553DRAFT_353477		NA	100
gene-HD553DRAFT_321008		NA	100
gene-HD553DRAFT_332873		NA	100
gene-HD553DRAFT_321010		NA	100
gene-HD553DRAFT_321011		NA	100
gene-HD553DRAFT_321012		NA	100
gene-HD553DRAFT_346798		NA	100
gene-HD553DRAFT_337966		NA	100
gene-HD553DRAFT_302046	PF01920.26	GO:0006457,GO:0016272,GO:0051082	5
gene-HD553DRAFT_337968	PF02290.21	GO:0005786,GO:0006614,GO:0008312,GO:0030942	4
gene-HD553DRAFT_376		NA	100
gene-HD553DRAFT_389		NA	100
gene-HD553DRAFT_278752	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-HD553DRAFT_337971		NA	100
gene-HD553DRAFT_337972		NA	100
gene-HD553DRAFT_346804		NA	100
gene-HD553DRAFT_278757	PF01852.26	GO:0008289	100
gene-HD553DRAFT_302054	PF04118.21,PF24597.2,PF24598.2,PF26706.1	NA	100
gene-HD553DRAFT_346807		NA	100
gene-HD553DRAFT_346808		NA	100
gene-HD553DRAFT_321021		NA	100
gene-HD553DRAFT_321022		NA	100
gene-HD553DRAFT_332880		NA	100
gene-HD553DRAFT_337980		NA	100
gene-HD553DRAFT_346809		NA	100
gene-HD553DRAFT_353502		NA	100
gene-HD553DRAFT_321026		NA	100
