gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BCR37DRAFT_401529	rna-XM_040871838.1	PF00067.28	Partial	None
gene-BCR37DRAFT_390081	rna-XM_040870800.1	PF00702.33,PF13419.13	Partial	None
gene-BCR37DRAFT_16	rna-XM_040866159.1	PF00202.28	Partial	None
gene-BCR37DRAFT_340245	rna-XM_040867355.1	PF00730.32	Partial	None
gene-BCR37DRAFT_25	rna-XM_040866611.1	PF00454.34,PF00613.27,PF19274.5	Complete	None
gene-BCR37DRAFT_384867	rna-XM_040870303.1	PF12656.13	Complete	None
gene-BCR37DRAFT_12	rna-XM_040865987.1	PF04707.21	Partial	None
gene-BCR37DRAFT_11	rna-XM_040865918.1	PF07946.20	Partial	None
gene-BCR37DRAFT_32	rna-XM_040866987.1	PF00278.29,PF02784.23	Complete	None
gene-BCR37DRAFT_873	rna-XM_040872519.1		None	None
gene-BCR37DRAFT_390088	rna-XM_040870801.1		None	None
gene-BCR37DRAFT_403990	rna-XM_040872048.1	PF04106.19,PF20638.4	Complete	None
gene-BCR37DRAFT_342921	rna-XM_040867464.1	PF00909.27	Partial	None
gene-BCR37DRAFT_384874	rna-XM_040870304.1		None	None
gene-BCR37DRAFT_86	rna-XM_040872511.1		None	None
gene-BCR37DRAFT_276	rna-XM_040866790.1		None	None
gene-BCR37DRAFT_84	rna-XM_040872505.1	PF02383.24,PF22669.3	Complete	None
gene-BCR37DRAFT_401536	rna-XM_040871839.1	PF00611.29,PF00620.33	Complete	None
gene-BCR37DRAFT_390095	rna-XM_040870802.1		None	None
gene-BCR37DRAFT_375403	rna-XM_040868366.1		None	None
gene-BCR37DRAFT_384879	rna-XM_040870305.1	PF11712.14	Partial	None
gene-BCR37DRAFT_375404	rna-XM_040868367.1	PF11976.15	Complete	None
gene-BCR37DRAFT_403999	rna-XM_040872049.1	PF01380.28,PF01380.28,PF13522.13,PF13537.12	Complete	None
gene-BCR37DRAFT_375407	rna-XM_040868368.1		None	None
gene-BCR37DRAFT_363140	rna-XM_040868239.1	PF01490.25	Partial	None
gene-BCR37DRAFT_184	rna-XM_040866298.1	PF04791.22	Partial	None
gene-BCR37DRAFT_375410	rna-XM_040868369.1		None	None
gene-BCR37DRAFT_375411	rna-XM_040868370.1	PF00390.25,PF03949.22	Partial	None
gene-BCR37DRAFT_189	rna-XM_040866301.1	PF00010.32	Partial	None
gene-BCR37DRAFT_375414	rna-XM_040868371.1		None	None
gene-BCR37DRAFT_342594	rna-XM_040867439.1	PF00069.32,PF03109.23,PF06293.21,PF07714.24,PF14531.13	Partial	None
gene-BCR37DRAFT_231	rna-XM_040866507.1	PF00675.26,PF05193.27	Partial	None
gene-BCR37DRAFT_195	rna-XM_040866338.1	PF00491.27	Partial	None
gene-BCR37DRAFT_98	rna-XM_040872557.1	PF00501.35,PF13193.13	Complete	None
gene-BCR37DRAFT_375420	rna-XM_040868372.1	PF13454.13	Partial	None
gene-BCR37DRAFT_375421	rna-XM_040868373.1	PF08118.17	Partial	None
gene-BCR37DRAFT_375423	rna-XM_040868374.1	PF22891.3	Partial	None
gene-BCR37DRAFT_1102	rna-XM_040865921.1	PF16755.12	Partial	None
gene-BCR37DRAFT_396037	rna-XM_040871701.1		None	None
gene-BCR37DRAFT_411270	rna-XM_040872194.1	PF07989.17,PF10495.15	Complete	None
gene-BCR37DRAFT_363165	rna-XM_040868240.1	PF00085.27,PF06201.20	Partial	None
gene-BCR37DRAFT_375430	rna-XM_040868375.1	PF15477.12	Partial	None
gene-BCR37DRAFT_375433	rna-XM_040868376.1	PF00141.29	Partial	None
gene-BCR37DRAFT_1216	rna-XM_040865996.1	PF02668.23,PF06155.18	Partial	None
gene-BCR37DRAFT_375435	rna-XM_040868377.1	PF00982.28,PF02358.23	Complete	None
gene-BCR37DRAFT_375436	rna-XM_040868378.1	PF03006.27	Partial	None
gene-BCR37DRAFT_1457	rna-XM_040866090.1	PF13001.14,PF23731.2,PF24492.2	Complete	None
gene-BCR37DRAFT_1155	rna-XM_040865954.1	PF00505.26,PF00536.38,PF07647.25,PF09011.17	Complete	None
gene-BCR37DRAFT_1584	rna-XM_040866150.1	PF10277.16	Partial	None
gene-BCR37DRAFT_375440	rna-XM_040868379.1	PF20665.4,PF22766.3	Complete	None
gene-BCR37DRAFT_390125	rna-XM_040870803.1		None	None
gene-BCR37DRAFT_375443	rna-XM_040868380.1	PF13181.13,PF13432.13,PF22890.2	Complete	None
gene-BCR37DRAFT_336013	rna-XM_040867209.1	PF01602.27,PF12717.14	Partial	None
gene-BCR37DRAFT_1174	rna-XM_040865967.1	PF01205.26,PF05773.28	Partial	None
gene-BCR37DRAFT_390129	rna-XM_040870804.1	PF01564.24,PF17284.8	Partial	None
gene-BCR37DRAFT_342654	rna-XM_040867440.1	PF00133.29,PF00133.29,PF09334.18	Partial	None
gene-BCR37DRAFT_340833	rna-XM_040867377.1	PF01207.24	Partial	None
gene-BCR37DRAFT_337502	rna-XM_040867264.1		None	None
gene-BCR37DRAFT_331686	rna-XM_040867031.1		None	None
gene-BCR37DRAFT_1659	rna-XM_040866223.1	PF18126.7	Partial	None
gene-BCR37DRAFT_375450	rna-XM_040868381.1	PF01412.24	Partial	None
gene-BCR37DRAFT_390135	rna-XM_040870805.1		None	None
gene-BCR37DRAFT_375454	rna-XM_040868382.1	PF00244.27	Partial	None
gene-BCR37DRAFT_1992	rna-XM_040866351.1		None	None
gene-BCR37DRAFT_1633	rna-XM_040866194.1		None	None
gene-BCR37DRAFT_1634	rna-XM_040866196.1		None	None
gene-BCR37DRAFT_1649	rna-XM_040866217.1		None	None
