protein_id	length
GML000001_mRNA1	709
GML000101_mRNA1	517
GML000201_mRNA1	510
GML000301_mRNA1	338
GML000401_mRNA1	446
GML000501_mRNA1	319
GML000601_mRNA1	252
GML000701_mRNA1	260
GML000801_mRNA1	725
GML000901_mRNA1	591
GML001001_mRNA1	251
GML001101_mRNA1	914
GML001201_mRNA1	553
GML001301_mRNA1	240
GML001401_mRNA1	343
GML001501_mRNA1	490
GML001601_mRNA1	270
GML001701_mRNA1	385
GML001801_mRNA1	459
GML001901_mRNA1	298
GML002001_mRNA1	165
GML002101_mRNA1	615
GML002201_mRNA1	418
GML002301_mRNA1	393
GML002401_mRNA1	940
GML002501_mRNA1	334
GML002601_mRNA1	799
GML002701_mRNA1	1176
GML002801_mRNA1	387
GML002901_mRNA1	198
GML003001_mRNA1	554
GML003101_mRNA1	475
GML003201_mRNA1	129
GML003301_mRNA1	715
GML003401_mRNA1	450
GML003501_mRNA1	170
GML003601_mRNA1	513
GML003701_mRNA1	199
GML003801_mRNA1	640
GML003901_mRNA1	500
GML004001_mRNA1	577
GML004101_mRNA1	372
GML004201_mRNA1	964
GML004301_mRNA1	618
GML004401_mRNA1	315
GML004501_mRNA1	262
GML004601_mRNA1	331
GML004701_mRNA1	178
GML004801_mRNA1	420
GML004901_mRNA1	382
GML005001_mRNA1	127
GML005101_mRNA1	712
GML005201_mRNA1	780
GML005301_mRNA1	147
GML005401_mRNA1	335
GML005501_mRNA1	384
GML005601_mRNA1	123
GML005701_mRNA1	261
GML005801_mRNA1	247
GML005901_mRNA1	567
GML006001_mRNA1	512
GML006101_mRNA1	76
GML006201_mRNA1	164
GML006301_mRNA1	351
GML006401_mRNA1	131
GML006501_mRNA1	544
GML006601_mRNA1	383
GML006701_mRNA1	306
GML006801_mRNA1	126
GML006901_mRNA1	501
GML007001_mRNA1	668
GML007101_mRNA1	411
GML007201_mRNA1	548
GML007301_mRNA1	609
GML007401_mRNA1	283
GML007501_mRNA1	956
GML007601_mRNA1	275
GML007701_mRNA1	449
GML007801_mRNA1	505
GML007901_mRNA1	206
GML008001_mRNA1	451
GML008101_mRNA1	99
GML008201_mRNA1	801
GML008301_mRNA1	54
GML008401_mRNA1	338
GML008501_mRNA1	1293
GML008601_mRNA1	349
GML008701_mRNA1	194
GML008801_mRNA1	323
GML008901_mRNA1	516
GML009001_mRNA1	470
GML009101_mRNA1	390
GML009201_mRNA1	395
GML009301_mRNA1	145
GML009401_mRNA1	298
GML009501_mRNA1	409
GML009601_mRNA1	407
GML009701_mRNA1	98
GML009800_mRNA1	231
GML009901_mRNA1	355
GML010001_mRNA1	500
GML010101_mRNA1	580
GML010201_mRNA1	627
GML010301_mRNA1	269
GML010401_mRNA1	96
GML010501_mRNA1	276
GML010601_mRNA1	252
GML010701_mRNA1	661
GML010801_mRNA1	419
GML010901_mRNA1	315
GML011001_mRNA1	343
GML011101_mRNA1	1419
GML011201_mRNA1	316
GML011301_mRNA1	510
GML011401_mRNA1	602
GML011501_mRNA1	308
GML011601_mRNA1	94
GML011701_mRNA1	496
GML011801_mRNA1	608
GML011901_mRNA1	334
GML012001_mRNA1	142
GML012101_mRNA1	233
GML012201_mRNA1	205
GML012301_mRNA1	334
GML012401_mRNA1	1365
GML012501_mRNA1	439
GML012601_mRNA1	497
GML012701_mRNA1	418
GML012801_mRNA1	153
GML012901_mRNA1	110
GML013001_mRNA1	516
GML013101_mRNA1	268
GML013201_mRNA1	229
GML013301_mRNA1	352
GML013401_mRNA1	278
GML013501_mRNA1	309
GML013601_mRNA1	803
GML013701_mRNA1	424
GML013801_mRNA1	124
GML013901_mRNA1	345
GML014001_mRNA1	866
GML014101_mRNA1	126
