gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-F4804DRAFT_295824	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295824	PF00069.32,PF00069.32,PF07714.24,PF07714.24	Partial	None
gene-F4804DRAFT_295825	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295825	PF01585.29,PF13821.12	Complete	None
gene-F4804DRAFT_7	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA7	PF00383.30,PF14437.13	Partial	None
gene-F4804DRAFT_40	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA40	PF00628.36,PF01426.25,PF13831.13,PF13832.13	Complete	None
gene-F4804DRAFT_339637	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA339637	PF00270.36,PF00271.38,PF20470.5,PF21099.3,PF25453.2	Complete	None
gene-F4804DRAFT_120	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA120	PF00651.38	Partial	None
gene-F4804DRAFT_106	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA106	PF00561.27	Partial	None
gene-F4804DRAFT_339639	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA339639		None	None
gene-F4804DRAFT_184	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA184	PF09335.17	Partial	None
gene-F4804DRAFT_295857	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295857	PF08590.16,PF14608.13,PF14608.13,PF28536.1	Complete	None
gene-F4804DRAFT_295860	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295860	PF00646.39,PF02373.29,PF12937.13,PF13621.13	Complete	None
gene-F4804DRAFT_295863	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295863	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-F4804DRAFT_347454	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA347454		None	None
gene-F4804DRAFT_339643	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA339643	PF00326.28	Complete	None
gene-F4804DRAFT_295872	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295872	PF09340.16	Partial	None
gene-F4804DRAFT_295875	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295875	PF01480.23	Partial	None
gene-F4804DRAFT_295877	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295877		None	None
gene-F4804DRAFT_469	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA469	PF01557.24	Partial	None
gene-F4804DRAFT_479	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA479	PF00704.35	Partial	None
gene-F4804DRAFT_328813	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA328813	PF07156.21,PF13450.13	Partial	None
gene-F4804DRAFT_549	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA549	PF02366.25,PF02815.26,PF16192.11	Complete	None
gene-F4804DRAFT_328815	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA328815	PF01042.27	Partial	None
gene-F4804DRAFT_328816	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA328816		None	None
gene-F4804DRAFT_295885	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295885		None	None
gene-F4804DRAFT_347476	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA347476	PF28329.1,PF28347.1	Complete	None
gene-F4804DRAFT_295895	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295895	PF04080.20	Partial	None
gene-F4804DRAFT_295897	rna-gnl|WGS:JAJKKJ|F4804DRAFT_mRNA295897	PF26410.1	Partial	None
