gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-ASCRUDRAFT_10765	rna-XM_020188694.1		None	None
gene-ASCRUDRAFT_78384	rna-XM_020194237.1		None	None
gene-ASCRUDRAFT_78385	rna-XM_020194238.1		None	None
gene-ASCRUDRAFT_73128	rna-XM_020192159.1	PF00076.29	Partial	None
gene-ASCRUDRAFT_67350	rna-XM_020191377.1		None	None
gene-ASCRUDRAFT_73130	rna-XM_020192161.1	PF07961.18	Partial	None
gene-ASCRUDRAFT_73131	rna-XM_020192162.1	PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-ASCRUDRAFT_73132	rna-XM_020192163.1	PF01926.30	Complete	None
gene-ASCRUDRAFT_78391	rna-XM_020194239.1	PF00118.30	Partial	None
gene-ASCRUDRAFT_73134	rna-XM_020192164.1	PF00709.28	Partial	None
gene-ASCRUDRAFT_5267	rna-XM_020191099.1	PF04137.21	Partial	None
gene-ASCRUDRAFT_73135	rna-XM_020192165.1		None	None
gene-ASCRUDRAFT_93612	rna-XM_020195132.1		None	None
gene-ASCRUDRAFT_67358	rna-XM_020191378.1	PF03031.25	Partial	None
gene-ASCRUDRAFT_73137	rna-XM_020192166.1		None	None
gene-ASCRUDRAFT_30658	rna-XM_020190202.1	PF00909.27	Partial	None
gene-ASCRUDRAFT_51950	rna-XM_020191088.1	PF07915.20,PF12999.13,PF13015.13	Complete	None
gene-ASCRUDRAFT_5272	rna-XM_020191100.1		None	None
gene-ASCRUDRAFT_30257	rna-XM_020190172.1	PF01048.27	Partial	None
gene-ASCRUDRAFT_5274	rna-XM_020191101.1	PF00248.28	Partial	None
gene-ASCRUDRAFT_73142	rna-XM_020192167.1	PF00150.25	Partial	None
gene-ASCRUDRAFT_28924	rna-XM_020190077.1		None	None
gene-ASCRUDRAFT_93650	rna-XM_020195133.1		None	None
gene-ASCRUDRAFT_5278	rna-XM_020191103.1	PF05091.19	Partial	None
gene-ASCRUDRAFT_78401	rna-XM_020194240.1	PF04177.19	Partial	None
gene-ASCRUDRAFT_19462	rna-XM_020189586.1	PF03639.20,PF17652.8	Partial	None
gene-ASCRUDRAFT_73145	rna-XM_020192168.1	PF00977.28	Partial	None
gene-ASCRUDRAFT_73146	rna-XM_020192169.1	PF04677.21	Complete	None
gene-ASCRUDRAFT_73147	rna-XM_020192170.1	PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	Partial	None
gene-ASCRUDRAFT_73148	rna-XM_020192171.1		None	None
gene-ASCRUDRAFT_5285	rna-XM_020191104.1	PF04935.18,PF15459.12	Partial	None
gene-ASCRUDRAFT_73150	rna-XM_020192172.1	PF00012.27,PF00012.27,PF06723.20	Partial	None
gene-ASCRUDRAFT_73151	rna-XM_020192173.1	PF12929.13	Partial	None
gene-ASCRUDRAFT_78410	rna-XM_020194241.1	PF00733.28,PF00733.28,PF12481.14,PF13522.13,PF13537.12	Partial	None
gene-ASCRUDRAFT_78411	rna-XM_020194242.1	PF00682.26,PF08502.16,PF22615.2	Complete	None
gene-ASCRUDRAFT_5289	rna-XM_020191105.1	PF00687.27	Partial	None
gene-ASCRUDRAFT_93757	rna-XM_020195135.1		None	None
gene-ASCRUDRAFT_40426	rna-XM_020191021.1	PF01269.24	Partial	None
gene-ASCRUDRAFT_22072	rna-XM_020189725.1	PF00278.29,PF02784.23	Partial	None
gene-ASCRUDRAFT_93772	rna-XM_020195136.1		None	None
gene-ASCRUDRAFT_73158	rna-XM_020192174.1		None	None
gene-ASCRUDRAFT_73159	rna-XM_020192175.1	PF00670.28,PF02826.26,PF05221.24,PF05221.24	Partial	None
gene-ASCRUDRAFT_73160	rna-XM_020192176.1	PF00071.29	Partial	None
gene-ASCRUDRAFT_67386	rna-XM_020191379.1	PF00172.24	Complete	None
gene-ASCRUDRAFT_83243	rna-XM_020194833.1	PF12157.14,PF15288.12	Complete	None
gene-ASCRUDRAFT_78421	rna-XM_020194244.1	PF03660.21	Partial	None
gene-ASCRUDRAFT_16143	rna-XM_020189400.1	PF05093.19	Partial	None
gene-ASCRUDRAFT_93798	rna-XM_020195137.1	PF09729.16	Partial	None
gene-ASCRUDRAFT_78424	rna-XM_020194245.1	PF00324.28,PF13520.13	Partial	None
gene-ASCRUDRAFT_5300	rna-XM_020191109.1	PF00172.24,PF11951.14	Partial	None
gene-ASCRUDRAFT_67392	rna-XM_020191380.1		None	None
gene-ASCRUDRAFT_40449	rna-XM_020191022.1	PF13489.13	Partial	None
gene-ASCRUDRAFT_67394	rna-XM_020191381.1		None	None
gene-ASCRUDRAFT_78428	rna-XM_020194246.1		None	None
gene-ASCRUDRAFT_5304	rna-XM_020191110.1		None	None
gene-ASCRUDRAFT_67396	rna-XM_020191382.1	PF10302.16,PF13373.12	Partial	None
gene-ASCRUDRAFT_52018	rna-XM_020191089.1	PF00202.28	Partial	None
gene-ASCRUDRAFT_19520	rna-XM_020189590.1	PF08620.16	Partial	None
gene-ASCRUDRAFT_30077	rna-XM_020190159.1	PF00004.36,PF01434.25,PF06480.21,PF17862.8	Complete	None
gene-ASCRUDRAFT_78433	rna-XM_020194247.1	PF00125.31	Partial	None
gene-ASCRUDRAFT_73177	rna-XM_020192177.1	PF01728.26,PF07780.18,PF11861.14	Complete	None
gene-ASCRUDRAFT_78435	rna-XM_020194248.1	PF29342.1	Partial	None
gene-ASCRUDRAFT_78436	rna-XM_020194249.1	PF14938.13	Partial	None
gene-ASCRUDRAFT_83259	rna-XM_020194834.1	PF00072.31,PF00512.32,PF02518.32	Complete	None
gene-ASCRUDRAFT_17799	rna-XM_020189505.1	PF09801.15	Partial	None
gene-ASCRUDRAFT_67405	rna-XM_020191383.1	PF09494.17	Complete	None
gene-ASCRUDRAFT_78438	rna-XM_020194250.1	PF00324.28,PF13520.13	Partial	None
gene-ASCRUDRAFT_67407	rna-XM_020191384.1	PF00533.34,PF08605.17,PF16589.13	Complete	None
gene-ASCRUDRAFT_73183	rna-XM_020192178.1	PF01156.25	Partial	None
gene-ASCRUDRAFT_83265	rna-XM_020194835.1	PF13589.13	Partial	None
gene-ASCRUDRAFT_73185	rna-XM_020192179.1	PF01926.30,PF08153.18	Complete	None
gene-ASCRUDRAFT_67411	rna-XM_020191385.1		None	None
gene-ASCRUDRAFT_73186	rna-XM_020192180.1	PF00240.30,PF11976.15	Partial	None
gene-ASCRUDRAFT_29251	rna-XM_020190102.1	PF06093.20	Partial	None
gene-ASCRUDRAFT_52060	rna-XM_020191090.1	PF00481.27,PF00481.27	Partial	None
gene-ASCRUDRAFT_73189	rna-XM_020192181.1		None	None
gene-ASCRUDRAFT_67414	rna-XM_020191386.1	PF00113.29,PF03952.22,PF13378.13	Partial	None
gene-ASCRUDRAFT_16948	rna-XM_020189463.1	PF02383.24	Partial	None
gene-ASCRUDRAFT_73190	rna-XM_020192182.1	PF01257.26	Partial	None
gene-ASCRUDRAFT_73191	rna-XM_020192183.1	PF00227.32	Partial	None
gene-ASCRUDRAFT_5319	rna-XM_020191113.1	PF29655.1	Complete	None
gene-ASCRUDRAFT_73192	rna-XM_020192184.1		None	None
gene-ASCRUDRAFT_5321	rna-XM_020191114.1		None	None
gene-ASCRUDRAFT_73194	rna-XM_020192185.1	PF01592.22	Partial	None
gene-ASCRUDRAFT_94217	rna-XM_020195142.1	PF08286.17	Partial	None
gene-ASCRUDRAFT_5324	rna-XM_020191115.1	PF01012.28	Partial	None
gene-ASCRUDRAFT_29483	rna-XM_020190122.1		None	None
gene-ASCRUDRAFT_73197	rna-XM_020192186.1		None	None
gene-ASCRUDRAFT_78452	rna-XM_020194251.1		None	None
gene-ASCRUDRAFT_5327	rna-XM_020191116.1		None	None
gene-ASCRUDRAFT_67427	rna-XM_020191387.1		None	None
gene-ASCRUDRAFT_5329	rna-XM_020191117.1	PF00107.33,PF08240.18,PF13602.13	Partial	None
gene-ASCRUDRAFT_5330	rna-XM_020191118.1	PF08227.17	Partial	None
gene-ASCRUDRAFT_28998	rna-XM_020190086.1	PF16035.11	Partial	None
gene-ASCRUDRAFT_26207	rna-XM_020189939.1	PF00294.30	Partial	None
gene-ASCRUDRAFT_30059	rna-XM_020190157.1	PF04227.18	Partial	None
gene-ASCRUDRAFT_73204	rna-XM_020192187.1	PF10521.15	Partial	None
gene-ASCRUDRAFT_73206	rna-XM_020192188.1		None	None
gene-ASCRUDRAFT_73207	rna-XM_020192189.1	PF00009.34,PF00025.28,PF00071.29,PF00071.29,PF08477.20,PF08477.20	Partial	None
gene-ASCRUDRAFT_94348	rna-XM_020195144.1		None	None
gene-ASCRUDRAFT_78459	rna-XM_020194252.1	PF05693.20	Partial	None
gene-ASCRUDRAFT_73209	rna-XM_020192190.1		None	None
gene-ASCRUDRAFT_94404	rna-XM_020195146.1		None	None
gene-ASCRUDRAFT_67438	rna-XM_020191388.1	PF10444.15	Partial	None
gene-ASCRUDRAFT_30335	rna-XM_020190179.1	PF00092.35,PF04056.21,PF13519.13	Partial	None
gene-ASCRUDRAFT_5341	rna-XM_020191124.1		None	None
gene-ASCRUDRAFT_31092	rna-XM_020190246.1	PF00152.26,PF01336.32	Partial	None
