gene_id	pfam_ids	go_ids	bin_id
gene-BQ2448_7861		NA	100
gene-BQ2448_7862		NA	100
gene-BQ2448_7863		NA	100
gene-BQ2448_7864		NA	100
gene-BQ2448_7865		NA	100
gene-BQ2448_7866		NA	100
gene-BQ2448_7867		NA	100
gene-BQ2448_7868		NA	100
gene-BQ2448_7869		NA	100
gene-BQ2448_7870		NA	100
gene-BQ2448_7871		NA	100
gene-BQ2448_7872		NA	100
gene-BQ2448_7873		NA	100
gene-BQ2448_7874		NA	100
gene-BQ2448_7875		NA	100
gene-BQ2448_7876		NA	100
gene-BQ2448_7877		NA	100
gene-BQ2448_7878		NA	100
gene-BQ2448_7879		NA	100
gene-BQ2448_7880		NA	100
gene-BQ2448_7881		NA	100
gene-BQ2448_7882		NA	100
gene-BQ2448_7883		NA	100
gene-BQ2448_7884		NA	100
gene-BQ2448_7885		NA	100
gene-BQ2448_7886		NA	100
gene-BQ2448_7887		NA	100
gene-BQ2448_7888		NA	100
gene-BQ2448_7889		NA	100
gene-BQ2448_7890		NA	100
gene-BQ2448_7891		NA	100
gene-BQ2448_7892		NA	100
gene-BQ2448_7893		NA	100
gene-BQ2448_7894		NA	100
gene-BQ2448_7895		NA	100
gene-BQ2448_7896		NA	100
gene-BQ2448_7897		NA	100
gene-BQ2448_7898		NA	100
gene-BQ2448_7899		NA	100
gene-BQ2448_7900		NA	100
gene-BQ2448_7901		NA	100
gene-BQ2448_7902		NA	100
gene-BQ2448_7903		NA	100
gene-BQ2448_7904		NA	100
gene-BQ2448_7905		NA	100
gene-BQ2448_7906		NA	100
gene-BQ2448_7907		NA	100
gene-BQ2448_7908		NA	100
gene-BQ2448_7909		NA	100
gene-BQ2448_7910		NA	100
gene-BQ2448_7911		NA	100
gene-BQ2448_7912		NA	100
gene-BQ2448_7913		NA	100
gene-BQ2448_7914		NA	100
gene-BQ2448_7915		NA	100
gene-BQ2448_7916		NA	100
gene-BQ2448_7917		NA	100
gene-BQ2448_7918		NA	100
gene-BQ2448_7919		NA	100
gene-BQ2448_7920		NA	100
gene-BQ2448_7921		NA	100
gene-BQ2448_7922		NA	100
gene-BQ2448_7923		NA	100
gene-BQ2448_7924		NA	100
gene-BQ2448_7925		NA	100
gene-BQ2448_7926		NA	100
gene-BQ2448_7927		NA	100
gene-BQ2448_7928		NA	100
gene-BQ2448_7929		NA	100
gene-BQ2448_7930		NA	100
gene-BQ2448_7931		NA	100
gene-BQ2448_7932		NA	100
gene-BQ2448_7933		NA	100
gene-BQ2448_7934		NA	100
gene-BQ2448_7935		NA	100
gene-BQ2448_7936		NA	100
gene-BQ2448_7937		NA	100
gene-BQ2448_7938		NA	100
gene-BQ2448_7939		NA	100
gene-BQ2448_7940		NA	100
gene-BQ2448_7941		NA	100
gene-BQ2448_7942		NA	100
gene-BQ2448_7943		NA	100
gene-BQ2448_7944		NA	100
gene-BQ2448_7945		NA	100
gene-BQ2448_7946		NA	100
gene-BQ2448_7947		NA	100
gene-BQ2448_7948		NA	100
gene-BQ2448_7949	PF01535.27,PF01535.27,PF13041.13,PF13041.13,PF13812.13,PF13812.13,PF23276.3	NA	100
gene-BQ2448_7950		NA	100
gene-BQ2448_7951		NA	100
gene-BQ2448_7952		NA	100
gene-BQ2448_7953		NA	100
gene-BQ2448_7954		NA	100
gene-BQ2448_7955		NA	100
gene-BQ2448_7956		NA	100
gene-BQ2448_7957		NA	100
gene-BQ2448_7958		NA	100
gene-BQ2448_7959		NA	100
gene-BQ2448_7960		NA	100
gene-BQ2448_7961		NA	100
gene-BQ2448_7962		NA	100
gene-BQ2448_7963		NA	100
gene-BQ2448_7964		NA	100
gene-BQ2448_7965		NA	100
gene-BQ2448_7966		NA	100
gene-BQ2448_7967		NA	100
gene-BQ2448_7968		NA	100
gene-BQ2448_7969		NA	100
gene-BQ2448_7970		NA	100
gene-BQ2448_7971		NA	100
gene-BQ2448_7972		NA	100
gene-BQ2448_7973		NA	100
gene-BQ2448_7974		NA	100
gene-BQ2448_7975		NA	100
gene-BQ2448_7976		NA	100
gene-BQ2448_7977		NA	100
gene-BQ2448_7978		NA	100
gene-BQ2448_7979		NA	100
gene-BQ2448_7980		NA	100
gene-BQ2448_7981		NA	100
gene-BQ2448_7982		NA	100
gene-BQ2448_7983		NA	100
gene-BQ2448_7984		NA	100
gene-BQ2448_7985		NA	100
gene-BQ2448_7986		NA	100
gene-BQ2448_7987		NA	100
gene-BQ2448_7988		NA	100
gene-BQ2448_7989		NA	100
gene-BQ2448_7990		NA	100
gene-BQ2448_7991		NA	100
gene-BQ2448_7992		NA	100
gene-BQ2448_7993		NA	100
gene-BQ2448_7994		NA	100
gene-BQ2448_7995		NA	100
gene-BQ2448_7996		NA	100
gene-BQ2448_7997		NA	100
gene-BQ2448_7998		NA	100
gene-BQ2448_7999		NA	100
gene-BQ2448_8000		NA	100
gene-BQ2448_8001		NA	100
gene-BQ2448_8002		NA	100
gene-BQ2448_8003		NA	100
gene-BQ2448_8004		NA	100
gene-BQ2448_8005		NA	100
gene-BQ2448_8006		NA	100
gene-BQ2448_8007		NA	100
gene-BQ2448_8008		NA	100
gene-BQ2448_8009		NA	100
gene-BQ2448_8010		NA	100
gene-BQ2448_8011		NA	100
gene-BQ2448_8012		NA	100
gene-BQ2448_8013		NA	100
gene-BQ2448_8014		NA	100
gene-BQ2448_8015		NA	100
gene-BQ2448_8016		NA	100
gene-BQ2448_8017	PF05180.18	GO:0008270	100
gene-BQ2448_8018		NA	100
gene-BQ2448_8019		NA	100
gene-BQ2448_8020		NA	100
gene-BQ2448_8021		NA	100
gene-BQ2448_8022		NA	100
gene-BQ2448_8023		NA	100
gene-BQ2448_8024		NA	100
gene-BQ2448_8025		NA	100
gene-BQ2448_8026		NA	100
gene-BQ2448_8027		NA	100
gene-BQ2448_8028		NA	100
gene-BQ2448_8029		NA	100
gene-BQ2448_8030		NA	100
gene-BQ2448_8031		NA	100
gene-BQ2448_8032		NA	100
gene-BQ2448_8033		NA	100
gene-BQ2448_8034		NA	100
gene-BQ2448_8035		NA	100
gene-BQ2448_8036		NA	100
gene-BQ2448_8037		NA	100
gene-BQ2448_8038		NA	100
gene-BQ2448_8039		NA	100
gene-BQ2448_8040		NA	100
gene-BQ2448_8041		NA	100
gene-BQ2448_8042		NA	100
gene-BQ2448_8043		NA	100
gene-BQ2448_8044		NA	100
gene-BQ2448_8045		NA	100
gene-BQ2448_8046		NA	100
gene-BQ2448_8047		NA	100
gene-BQ2448_8048		NA	100
gene-BQ2448_8049		NA	100
