gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-L6R40_000001	rna-L6R40_000001-T1		None	None
gene-L6R40_000002	rna-L6R40_000002-T1	PF13434.13	Partial	None
gene-L6R40_000003	rna-L6R40_000003-T1		None	None
gene-L6R40_000004	rna-L6R40_000004-T1		None	None
gene-L6R40_000005	rna-L6R40_000005-T1	PF00443.36,PF03663.21,PF06337.18	Complete	None
gene-L6R40_000006	rna-L6R40_000006-T1	PF00787.30	Partial	None
gene-L6R40_000007	rna-L6R40_000007-T1		None	None
gene-L6R40_000008	rna-L6R40_000008-T1		None	None
gene-L6R40_000009	rna-L6R40_000009-T1	PF10350.16,PF25150.2,PF25151.2,PF26523.1	Complete	None
gene-L6R40_000010	rna-L6R40_000010-T1	PF02466.25	Partial	None
gene-L6R40_000011	rna-L6R40_000011-T1		None	None
gene-L6R40_000012	rna-L6R40_000012-T1	PF00808.30	Complete	None
gene-L6R40_000013	rna-L6R40_000013-T1	PF10257.16,PF19314.5	Complete	None
gene-L6R40_000014	gene-L6R40_000014		None	None
gene-L6R40_000015	rna-L6R40_000015-T1	PF30906.1	Partial	None
gene-L6R40_000016	rna-L6R40_000016-T1		None	None
gene-L6R40_000017	rna-L6R40_000017-T1		None	None
gene-L6R40_000018	rna-L6R40_000018-T1	PF01544.24	Partial	None
gene-L6R40_000019	rna-L6R40_000019-T1	PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-L6R40_000020	rna-L6R40_000020-T1	PF00241.26,PF24483.2	Partial	None
gene-L6R40_000021	rna-L6R40_000021-T1	PF00561.27	Partial	None
gene-L6R40_000022	rna-L6R40_000022-T1	PF04696.19	Partial	None
gene-L6R40_000023	rna-L6R40_000023-T1	PF03660.21	Partial	None
gene-L6R40_000024	rna-L6R40_000024-T1	PF03657.21,PF17833.8	Partial	None
gene-L6R40_000025	rna-L6R40_000025-T1	PF03914.24,PF07540.17	Complete	None
gene-L6R40_000026	rna-L6R40_000026-T1	PF04857.27	Partial	None
gene-L6R40_000027	rna-L6R40_000027-T1	PF04857.27	Partial	None
gene-L6R40_000028	rna-L6R40_000028-T1		None	None
gene-L6R40_000029	rna-L6R40_000029-T1	PF00557.30,PF05195.23,PF05390.17	Partial	None
gene-L6R40_000030	rna-L6R40_000030-T1	PF08613.17	Partial	None
gene-L6R40_000031	rna-L6R40_000031-T1		None	None
gene-L6R40_000032	rna-L6R40_000032-T1		None	None
gene-L6R40_000033	rna-L6R40_000033-T1	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF13606.13,PF13637.13	Complete	None
gene-L6R40_000034	rna-L6R40_000034-T1	PF01926.30,PF09439.17	Partial	None
gene-L6R40_000035	rna-L6R40_000035-T1	PF00291.32,PF00571.34	Complete	None
gene-L6R40_000036	rna-L6R40_000036-T1	PF01699.30,PF01699.30	Complete	None
gene-L6R40_000037	rna-L6R40_000037-T1		None	None
gene-L6R40_000038	rna-L6R40_000038-T1	PF18922.6	Partial	None
gene-L6R40_000039	rna-L6R40_000039-T1	PF21547.4,PF24173.2	Complete	None
gene-L6R40_000040	rna-L6R40_000040-T1	PF01873.24,PF02020.25	Complete	None
gene-L6R40_000041	rna-L6R40_000041-T1	PF02110.21,PF02581.24	Partial	None
gene-L6R40_000042	rna-L6R40_000042-T1	PF00186.25	Partial	None
gene-L6R40_000043	rna-L6R40_000043-T1	PF06179.18	Complete	None
gene-L6R40_000044	rna-L6R40_000044-T1	PF04176.19	Partial	None
gene-L6R40_000045	rna-L6R40_000045-T1	PF00069.32,PF03109.23,PF07714.24,PF14531.13	Partial	None
gene-L6R40_000046	rna-L6R40_000046-T1	PF09768.16	Partial	None
gene-L6R40_000047	rna-L6R40_000047-T1	PF00696.34,PF01472.27	Complete	None
gene-L6R40_000048	rna-L6R40_000048-T1		None	None
gene-L6R40_000049	rna-L6R40_000049-T1	PF14378.13	Partial	None
gene-L6R40_000050	rna-L6R40_000050-T1	PF22998.3	Partial	None
gene-L6R40_000051	rna-L6R40_000051-T1		None	None
gene-L6R40_000052	rna-L6R40_000052-T1		None	None
gene-L6R40_000053	rna-L6R40_000053-T1	PF00657.29	Partial	None
gene-L6R40_000054	rna-L6R40_000054-T1	PF07366.19,PF12680.14	Partial	None
gene-L6R40_000055	rna-L6R40_000055-T1	PF00654.26	Partial	None
gene-L6R40_000056	rna-L6R40_000056-T1	PF01138.28,PF03725.21	Complete	None
gene-L6R40_000057	rna-L6R40_000057-T1	PF04889.18	Partial	None
gene-L6R40_000058	rna-L6R40_000058-T1	PF04889.18	Partial	None
gene-L6R40_000059	rna-L6R40_000059-T1	PF00005.34,PF00005.34,PF03981.18,PF12698.14,PF13304.13	Complete	None
gene-L6R40_000060	rna-L6R40_000060-T1	PF01433.27,PF09127.18,PF17900.7	Complete	None
gene-L6R40_000061	rna-L6R40_000061-T1	PF00856.34	Partial	None
gene-L6R40_000062	rna-L6R40_000062-T1	PF00238.25	Partial	None
gene-L6R40_000063	rna-L6R40_000063-T1	PF00397.33,PF00639.28,PF13616.13	Complete	None
gene-L6R40_000064	rna-L6R40_000064-T1		None	None
