protein_id	length
GML000001_mRNA1	181
GML000101_mRNA1	121
GML000201_mRNA1	689
GML000301_mRNA1	531
GML000401_mRNA1	784
GML000501_mRNA1	586
GML000601_mRNA1	136
GML000701_mRNA1	845
GML000801_mRNA1	366
GML000901_mRNA1	938
GML001001_mRNA1	893
GML001101_mRNA1	73
GML001201_mRNA1	153
GML001301_mRNA1	192
GML001401_mRNA1	1075
GML001501_mRNA1	585
GML001601_mRNA1	331
GML001701_mRNA1	961
GML001801_mRNA1	609
GML001901_mRNA1	334
GML002001_mRNA1	326
GML002101_mRNA1	185
GML002201_mRNA1	596
GML002301_mRNA1	218
GML002401_mRNA1	354
GML002501_mRNA1	319
GML002601_mRNA1	571
GML002701_mRNA1	607
GML002801_mRNA1	16
GML002901_mRNA1	341
GML003001_mRNA1	226
GML003101_mRNA1	537
GML003201_mRNA1	70
GML003301_mRNA1	557
GML003401_mRNA1	475
GML003501_mRNA1	285
GML003601_mRNA1	296
GML003701_mRNA1	1051
GML003801_mRNA1	416
GML003901_mRNA1	589
GML004001_mRNA1	364
GML004101_mRNA1	544
GML004201_mRNA1	586
GML004301_mRNA1	663
GML004401_mRNA1	437
GML004501_mRNA1	694
GML004601_mRNA1	921
GML004701_mRNA1	898
GML004801_mRNA1	527
GML004901_mRNA1	735
GML005001_mRNA1	640
GML005101_mRNA1	1195
GML005201_mRNA1	559
GML005301_mRNA1	359
GML005401_mRNA1	1062
GML005501_mRNA1	494
GML005601_mRNA1	968
GML005701_mRNA1	456
GML005801_mRNA1	569
GML005901_mRNA1	712
GML006001_mRNA1	438
GML006101_mRNA1	2411
GML006201_mRNA1	189
GML006301_mRNA1	1225
GML006401_mRNA1	561
GML006501_mRNA1	503
GML006601_mRNA1	764
GML006701_mRNA1	240
GML006801_mRNA1	519
GML006901_mRNA1	181
GML007001_mRNA1	562
GML007101_mRNA1	334
GML007201_mRNA1	669
GML007301_mRNA1	334
GML007401_mRNA1	1819
GML007501_mRNA1	305
GML007601_mRNA1	985
GML007701_mRNA1	124
GML007801_mRNA1	62
GML007901_mRNA1	380
GML008001_mRNA1	548
GML008101_mRNA1	132
GML008201_mRNA1	587
GML008301_mRNA1	94
GML008401_mRNA1	229
GML008501_mRNA1	79
GML008601_mRNA1	355
GML008701_mRNA1	215
GML008801_mRNA1	484
GML008901_mRNA1	667
GML009001_mRNA1	450
GML009101_mRNA1	203
GML009201_mRNA1	524
GML009301_mRNA1	386
GML009401_mRNA1	1080
GML009501_mRNA1	421
GML009601_mRNA1	611
GML009701_mRNA1	151
GML009801_mRNA1	161
GML009901_mRNA1	512
GML010001_mRNA1	1147
GML010101_mRNA1	284
GML010201_mRNA1	212
GML010301_mRNA1	456
