gene_id	pfam_ids	go_ids	bin_id
gene-BDU57DRAFT_560749		NA	100
gene-BDU57DRAFT_8	PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01424.29	GO:0003676,GO:0005634,GO:0008270	4
gene-BDU57DRAFT_508056	PF20520.4,PF27676.2	NA	100
gene-BDU57DRAFT_508057		NA	100
gene-BDU57DRAFT_560759	PF00331.27	GO:0004553,GO:0005975	8
gene-BDU57DRAFT_87	PF13577.13	NA	100
gene-BDU57DRAFT_83	PF01328.23	GO:0004601	8
gene-BDU57DRAFT_221	PF00789.27,PF13098.14,PF13899.13,PF14555.13	GO:0005515	100
gene-BDU57DRAFT_508063	PF13001.14,PF24492.2	GO:0043248,GO:0060090	100
gene-BDU57DRAFT_440216	PF00620.33	GO:0007165	3
gene-BDU57DRAFT_508067	PF00432.28	GO:0003824	8
gene-BDU57DRAFT_533831		NA	100
gene-BDU57DRAFT_591270	PF04750.20	GO:0016020	100
gene-BDU57DRAFT_525183	PF00933.28,PF01915.28,PF14310.13	GO:0004553,GO:0005975	8
gene-BDU57DRAFT_583547	PF10311.15	NA	100
gene-BDU57DRAFT_435685	PF01244.29	GO:0006508,GO:0070573	5
gene-BDU57DRAFT_560799	PF00056.30,PF02866.24	GO:0016491,GO:0016616	8
gene-BDU57DRAFT_508079	PF00856.34,PF11764.14,PF11767.15	GO:0005515	100
gene-BDU57DRAFT_508081		NA	100
gene-BDU57DRAFT_508084		NA	100
gene-BDU57DRAFT_437932	PF00885.25,PF00885.25	GO:0009231,GO:0009349	8
gene-BDU57DRAFT_591277	PF01380.28,PF01380.28,PF13522.13,PF13537.12	GO:0097367,GO:1901135	8
gene-BDU57DRAFT_508096		NA	100
gene-BDU57DRAFT_508097	PF01490.25	NA	100
gene-BDU57DRAFT_583553	PF00324.28,PF03522.21,PF03522.21,PF13520.13	GO:0006811,GO:0016020,GO:0022857,GO:0055085	6
gene-BDU57DRAFT_439802	PF01239.29,PF01239.29,PF01239.29,PF01239.29,PF01239.29	GO:0008318,GO:0018342	8
gene-BDU57DRAFT_313	PF00291.32	NA	100
gene-BDU57DRAFT_463544		NA	100
gene-BDU57DRAFT_533846	PF11951.14	NA	100
gene-BDU57DRAFT_485883	PF00106.32,PF00106.32,PF01370.28,PF13561.13	NA	100
gene-BDU57DRAFT_552517	PF00400.39,PF00400.39	GO:0005515	100
gene-BDU57DRAFT_508107	PF07529.19,PF13921.13	NA	100
gene-BDU57DRAFT_508109		NA	100
gene-BDU57DRAFT_508111	PF03124.21	GO:0016020	100
gene-BDU57DRAFT_485897	PF01193.30,PF13656.12	GO:0003899,GO:0006351,GO:0046983	8
gene-BDU57DRAFT_438520		NA	100
gene-BDU57DRAFT_508114	PF00501.35,PF13193.13	NA	100
gene-BDU57DRAFT_508115	PF13622.13,PF20789.4	NA	100
gene-BDU57DRAFT_435759	PF01158.24	GO:0003735,GO:0005840,GO:0006412	4
gene-BDU57DRAFT_1476		NA	100
gene-BDU57DRAFT_508121	PF00789.27,PF11470.15	GO:0005515	100
gene-BDU57DRAFT_436540	PF00085.27,PF06201.20	NA	100
gene-BDU57DRAFT_1549		NA	100
gene-BDU57DRAFT_1674	PF00096.33,PF00096.33,PF12874.14,PF13894.13	NA	100
gene-BDU57DRAFT_1693	PF01042.27,PF01902.25,PF28410.1	NA	100
gene-BDU57DRAFT_463587	PF08118.17	GO:0000001,GO:0005743,GO:0007005	100
gene-BDU57DRAFT_508133	PF22891.3	NA	100
gene-BDU57DRAFT_1806	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BDU57DRAFT_533863		NA	100
gene-BDU57DRAFT_583573	PF24883.3	NA	100
gene-BDU57DRAFT_508138	PF00168.37	NA	100
gene-BDU57DRAFT_591300	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BDU57DRAFT_485934	PF00501.35,PF00550.32,PF01370.28,PF07993.19,PF23562.3	NA	100
gene-BDU57DRAFT_508146		NA	100
gene-BDU57DRAFT_508147	PF24808.2	NA	100
gene-BDU57DRAFT_435425	PF01210.30,PF07479.20	GO:0005975,GO:0006072,GO:0016616,GO:0046168,GO:0051287	8
gene-BDU57DRAFT_591305	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF14510.12	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
gene-BDU57DRAFT_583580	PF00651.38	GO:0005515	100
gene-BDU57DRAFT_508153	PF00227.32	GO:0005839,GO:0030163	8
gene-BDU57DRAFT_438580	PF01073.26,PF01370.28,PF16363.12	GO:0006694,GO:0016616	8
gene-BDU57DRAFT_591309	PF00227.32	GO:0005839,GO:0030163	8
gene-BDU57DRAFT_508157	PF07818.19	GO:0006355	100
gene-BDU57DRAFT_508158	PF01323.27	GO:0016491	8
gene-BDU57DRAFT_2142		NA	100
gene-BDU57DRAFT_2173		NA	100
gene-BDU57DRAFT_440242	PF00266.26,PF03473.24,PF03476.22	GO:0003824,GO:0030151,GO:0030170	8
gene-BDU57DRAFT_508165		NA	100
gene-BDU57DRAFT_2152	PF08229.17	NA	100
gene-BDU57DRAFT_508170	PF00493.30,PF01078.28,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF24901.3	GO:0003677,GO:0005524,GO:0016887	4
gene-BDU57DRAFT_485972	PF00004.36,PF00004.36,PF09262.18,PF17862.8	GO:0005524,GO:0005777,GO:0007031,GO:0016887	8
gene-BDU57DRAFT_583591	PF03650.20	GO:0005743,GO:0006850	6
gene-BDU57DRAFT_533886	PF01423.29	NA	100
gene-BDU57DRAFT_2362	PF00281.25,PF00673.27	NA	100
gene-BDU57DRAFT_440212	PF30929.1	NA	100
gene-BDU57DRAFT_533889		NA	100
gene-BDU57DRAFT_508181	PF00113.29,PF03952.22	NA	100
gene-BDU57DRAFT_2613		NA	100
gene-BDU57DRAFT_508183	PF00227.32	GO:0005839,GO:0030163	8
gene-BDU57DRAFT_583597	PF01761.27,PF24621.3	NA	100
gene-BDU57DRAFT_2674	PF01596.24,PF13578.13	GO:0008171	8
gene-BDU57DRAFT_2696		NA	100
gene-BDU57DRAFT_533895	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08625.17,PF23098.2	GO:0005515,GO:0006364,GO:0032040	8
gene-BDU57DRAFT_533896		NA	100
gene-BDU57DRAFT_2777		NA	100
gene-BDU57DRAFT_508189	PF00225.30,PF16796.12	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
gene-BDU57DRAFT_2800		NA	100
gene-BDU57DRAFT_2815	PF00443.36,PF02148.26	GO:0004843,GO:0008270,GO:0016579	8
gene-BDU57DRAFT_486010	PF00118.30	GO:0005524	100
gene-BDU57DRAFT_508193	PF00069.32,PF06479.18,PF07714.24	GO:0004540,GO:0004672,GO:0005524,GO:0006397,GO:0006468	1
gene-BDU57DRAFT_508194	PF01209.25,PF08241.19,PF08242.19,PF13489.13,PF13649.13	GO:0008757	8
gene-BDU57DRAFT_508195	PF03364.26	NA	100
gene-BDU57DRAFT_2884		NA	100
gene-BDU57DRAFT_463686	PF00004.36,PF09079.18,PF13191.13,PF13401.13,PF17872.8,PF22606.3	GO:0005524,GO:0016887	8
gene-BDU57DRAFT_560911		NA	100
gene-BDU57DRAFT_508197		NA	100
gene-BDU57DRAFT_543870		NA	100
gene-BDU57DRAFT_486031	PF07281.18	NA	100
gene-BDU57DRAFT_508203	PF00009.34,PF03144.32,PF09173.18	GO:0003924,GO:0005525	8
gene-BDU57DRAFT_3104	PF00076.29	GO:0003723	4
gene-BDU57DRAFT_3004	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-BDU57DRAFT_508208	PF00289.29,PF00364.29,PF00682.26,PF02436.24,PF02785.26,PF02786.23,PF07478.19,PF25917.1	GO:0003824,GO:0005524,GO:0008716	8
gene-BDU57DRAFT_508214	PF00637.27,PF00637.27,PF00637.27,PF00637.27,PF00637.27,PF00637.27,PF00637.27,PF13838.13	NA	100
gene-BDU57DRAFT_508215	PF12757.13	NA	100
gene-BDU57DRAFT_508217	PF03162.19,PF13350.12	GO:0004721	8
gene-BDU57DRAFT_3259	PF02353.27,PF08241.19,PF13489.13,PF13649.13	GO:0008757	8
gene-BDU57DRAFT_552578	PF00962.29	GO:0019239	8
gene-BDU57DRAFT_583619	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-BDU57DRAFT_3431	PF28338.1	NA	100
gene-BDU57DRAFT_3446	PF18142.7	NA	100
gene-BDU57DRAFT_463724	PF28293.1,PF28293.1	NA	100
gene-BDU57DRAFT_552583	PF26061.1	NA	100
gene-BDU57DRAFT_3626		NA	100
gene-BDU57DRAFT_463733	PF22890.2	NA	100
gene-BDU57DRAFT_525272	PF01602.27	GO:0006886,GO:0016192,GO:0030117	6
gene-BDU57DRAFT_508232		NA	100
gene-BDU57DRAFT_508235	PF28274.1	NA	100
gene-BDU57DRAFT_533925	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-BDU57DRAFT_435873	PF08566.16	GO:0001405	100
gene-BDU57DRAFT_403708	PF26652.1	NA	100
gene-BDU57DRAFT_3801	PF26652.1	NA	100
gene-BDU57DRAFT_404785	PF26652.1	NA	100
gene-BDU57DRAFT_552592	PF01435.25,PF16491.11	GO:0004222,GO:0006508	5
gene-BDU57DRAFT_3856		NA	100
gene-BDU57DRAFT_486093	PF00468.23	GO:0003735,GO:0005840,GO:0006412	4
gene-BDU57DRAFT_3846	PF01205.26	NA	100
gene-BDU57DRAFT_463758		NA	100
gene-BDU57DRAFT_525279		NA	100
gene-BDU57DRAFT_508251		NA	100
gene-BDU57DRAFT_508252	PF20174.5	NA	100
gene-BDU57DRAFT_508253		NA	100
gene-BDU57DRAFT_508254	PF01546.34,PF04389.23,PF07687.20	GO:0016787	8
gene-BDU57DRAFT_439944	PF00675.26,PF05193.27,PF05193.27,PF08367.17,PF22516.2	GO:0006508	5
gene-BDU57DRAFT_437415	PF09728.15	GO:0019905	100
gene-BDU57DRAFT_3938	PF00478.32,PF03060.22	GO:0003824	8
gene-BDU57DRAFT_508260	PF00069.32,PF03109.23,PF07714.24,PF14531.13	GO:0004672,GO:0005524,GO:0006468	3
gene-BDU57DRAFT_508266	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-BDU57DRAFT_508269	PF00248.28	NA	100
gene-BDU57DRAFT_552604	PF00254.35	GO:0003755	8
gene-BDU57DRAFT_508274	PF00226.37	NA	100
gene-BDU57DRAFT_440064	PF03208.25	NA	100
gene-BDU57DRAFT_508277		NA	100
gene-BDU57DRAFT_508278		NA	100
gene-BDU57DRAFT_508279		NA	100
gene-BDU57DRAFT_508282	PF01412.24	GO:0005096	100
gene-BDU57DRAFT_436084		NA	100
gene-BDU57DRAFT_437481		NA	100
gene-BDU57DRAFT_4672		NA	100
gene-BDU57DRAFT_4684		NA	100
gene-BDU57DRAFT_4681		NA	100
gene-BDU57DRAFT_t16		NA	100
gene-BDU57DRAFT_508292		NA	100
gene-BDU57DRAFT_508297		NA	100
gene-BDU57DRAFT_508299		NA	100
gene-BDU57DRAFT_560975	PF00097.32	GO:0046872	100
gene-BDU57DRAFT_552616	PF08597.16	GO:0003743,GO:0005737,GO:0005852	100
gene-BDU57DRAFT_4980	PF00288.33,PF08544.19	GO:0005524	100
gene-BDU57DRAFT_560993		NA	100
gene-BDU57DRAFT_508304		NA	100
gene-BDU57DRAFT_508309	PF00339.35,PF02752.28	NA	100
gene-BDU57DRAFT_508311		NA	100
gene-BDU57DRAFT_533958	PF00004.36,PF07728.21	GO:0005524,GO:0016887	8
gene-BDU57DRAFT_552622	PF02714.21,PF13967.12,PF14703.13	GO:0016020	100
gene-BDU57DRAFT_533960		NA	100
gene-BDU57DRAFT_5253		NA	100
gene-BDU57DRAFT_508317	PF01408.29,PF22725.2	GO:0000166	100
gene-BDU57DRAFT_508318		NA	100
gene-BDU57DRAFT_543922	PF02777.24,PF02777.24	GO:0004784,GO:0006801,GO:0046872	8
gene-BDU57DRAFT_486177	PF00097.32,PF00176.30,PF00271.38,PF13639.13,PF13920.13,PF13923.13,PF26021.1	GO:0005524,GO:0046872	100
gene-BDU57DRAFT_5412	PF09766.15	NA	100
gene-BDU57DRAFT_508323		NA	100
gene-BDU57DRAFT_5476	PF00023.37,PF00023.37,PF12796.14,PF12796.14,PF12796.14,PF13857.13	GO:0005515	100
gene-BDU57DRAFT_552631	PF01634.24,PF08029.17	GO:0000105,GO:0000287,GO:0003879,GO:0005737	8
gene-BDU57DRAFT_437599	PF28230.1	NA	100
gene-BDU57DRAFT_438776	PF04900.19,PF18477.8	GO:0032040	100
gene-BDU57DRAFT_508328		NA	100
gene-BDU57DRAFT_438017	PF00793.27	GO:0009058	8
gene-BDU57DRAFT_5615		NA	100
gene-BDU57DRAFT_508332	PF00106.32,PF00106.32,PF13561.13,PF13561.13	NA	100
gene-BDU57DRAFT_508334		NA	100
gene-BDU57DRAFT_508336	PF11976.15	NA	100
gene-BDU57DRAFT_533983	PF00544.26	NA	100
gene-BDU57DRAFT_591396	PF03982.19	GO:0008374	8
gene-BDU57DRAFT_5966	PF10494.16	NA	100
gene-BDU57DRAFT_5933	PF01544.24	GO:0016020,GO:0030001,GO:0046873,GO:0055085	6
gene-BDU57DRAFT_436220	PF05730.17,PF20684.4	NA	100
gene-BDU57DRAFT_508350	PF27522.2	NA	100
gene-BDU57DRAFT_543939		NA	100
gene-BDU57DRAFT_525324		NA	100
gene-BDU57DRAFT_525325		NA	100
gene-BDU57DRAFT_508352		NA	100
gene-BDU57DRAFT_508353		NA	100
gene-BDU57DRAFT_525327		NA	100
gene-BDU57DRAFT_508358	PF00122.26,PF00689.27,PF00690.32,PF00702.33,PF08282.19,PF13246.13	NA	100
gene-BDU57DRAFT_6020	PF00072.31,PF02518.32	GO:0000160	3
gene-BDU57DRAFT_6225		NA	100
gene-BDU57DRAFT_6274		NA	100
gene-BDU57DRAFT_525332	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-BDU57DRAFT_508365		NA	100
gene-BDU57DRAFT_561054	PF14273.12	NA	100
gene-BDU57DRAFT_6306	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BDU57DRAFT_437450	PF00701.29	GO:0016829	8
gene-BDU57DRAFT_437539	PF01408.29,PF02894.23,PF22725.2	GO:0000166	100
gene-BDU57DRAFT_464396	PF20238.5	NA	100
gene-BDU57DRAFT_525338		NA	100
gene-BDU57DRAFT_486702	PF00226.37,PF28755.1	NA	100
gene-BDU57DRAFT_508372		NA	100
gene-BDU57DRAFT_591415	PF24864.1	NA	100
gene-BDU57DRAFT_525342	PF00406.30,PF13207.13,PF13238.13	NA	100
gene-BDU57DRAFT_440191	PF01399.34,PF18005.7	NA	100
gene-BDU57DRAFT_464410		NA	100
gene-BDU57DRAFT_508378	PF00703.28,PF02836.24,PF02837.25,PF02929.24,PF16353.12,PF22666.3	GO:0004553,GO:0004565,GO:0005975,GO:0009341	8
gene-BDU57DRAFT_6448	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-BDU57DRAFT_552660	PF01161.27	NA	100
gene-BDU57DRAFT_6471		NA	100
gene-BDU57DRAFT_508383	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-BDU57DRAFT_508384		NA	100
gene-BDU57DRAFT_6593		NA	100
gene-BDU57DRAFT_552663	PF00171.28,PF00171.28	GO:0016491	8
gene-BDU57DRAFT_525351	PF30970.1	NA	100
gene-BDU57DRAFT_552665		NA	100
gene-BDU57DRAFT_508393		NA	100
gene-BDU57DRAFT_6751		NA	100
gene-BDU57DRAFT_534019		NA	100
gene-BDU57DRAFT_525355		NA	100
gene-BDU57DRAFT_561102	PF03815.25	NA	100
gene-BDU57DRAFT_534022		NA	100
gene-BDU57DRAFT_439471	PF00122.26,PF00702.33,PF24534.2	NA	100
gene-BDU57DRAFT_438038	PF00067.28,PF03098.21,PF03098.21	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
